Player,Team,Bye,Rec,Yard,TD,Att,Yard,TD,FPts
Antonio Brown,PIT,9,108,1388,11,1,11,0,205.9
Odell Beckham Jr.,NYG,8,97,1382,11,0,0,0,204.2
Julio Jones,ATL,5,100,1487,9,0,0,0,202.7
Mike Evans,TB,1,92,1302,10,0,0,0,190.2
Jordy Nelson,GB,8,86,1225,11,0,0,0,188.5
Michael Thomas,NO,5,97,1265,8,0,0,0,174.5
A.J. Green,CIN,6,80,1188,8,0,0,0,166.8
T.Y. Hilton,IND,11,80,1225,6,0,0,0,158.5
Doug Baldwin,SEA,6,87,1102,8,0,0,0,158.2
Brandin Cooks,NE,9,74,1018,7,7,52,1,155.0
Dez Bryant,DAL,6,73,1067,8,0,0,0,154.7
Amari Cooper,OAK,10,78,1122,7,0,0,0,154.2
Demaryius Thomas,DEN,5,87,1115,7,0,0,0,153.5
Allen Robinson,JAC,8,79,1086,7,0,0,0,150.6
Tyreek Hill,KC,10,69,775,6,26,220,2,147.5
Michael Crabtree,OAK,10,83,985,8,0,0,0,146.5
DeAndre Hopkins,HOU,7,80,1075,6,0,0,0,143.5
Larry Fitzgerald,ARI,8,91,992,7,0,0,0,141.2
Kelvin Benjamin,CAR,11,74,985,7,0,0,0,140.5
Pierre Garcon,SF,11,86,1080,5,0,0,0,138.0
Golden Tate,DET,7,92,1045,5,3,22,0,136.7
Stefon Diggs,MIN,9,87,1045,5,0,0,0,134.5
Keenan Allen,LAC,9,83,976,6,0,0,0,133.6
Emmanuel Sanders,DEN,5,73,966,6,0,0,0,132.6
Jamison Crowder,WAS,5,81,993,5,0,0,0,129.3
Sammy Watkins,LAR,8,60,932,6,0,0,0,129.2
Alshon Jeffery,PHI,10,71,979,5,0,0,0,127.9
Jarvis Landry,MIA,1,79,921,5,6,36,0,125.7
Tyrell Williams,LAC,9,61,886,6,0,0,0,124.6
Davante Adams,GB,8,65,884,6,0,0,0,124.4
DeVante Parker,MIA,1,60,864,6,0,0,0,122.4
Kenny Britt,CLE,9,62,856,6,0,0,0,121.6
Mike Wallace,BAL,10,63,875,5,5,36,0,121.1
Martavis Bryant,PIT,9,54,844,6,0,0,0,120.4
Adam Thielen,MIN,9,64,837,6,0,0,0,119.7
Rishard Matthews,TEN,8,61,836,6,0,0,0,119.6
Terrelle Pryor,WAS,5,66,875,5,0,0,0,117.5
Randall Cobb,GB,8,75,785,6,3,25,0,117.0
DeSean Jackson,TB,1,54,825,5,0,0,0,112.5
Brandon Marshall,NYG,8,59,755,6,0,0,0,111.5
Willie Snead,NO,5,60,806,5,0,0,0,110.6
Jeremy Maclin,BAL,10,62,784,5,0,0,0,108.4
Kenny Stills,MIA,1,51,780,5,0,0,0,108.0
Jordan Matthews,BUF,6,63,777,5,0,0,0,107.7
Chris Hogan,NE,9,56,775,5,0,0,0,107.5
Robby Anderson,NYJ,11,56,746,5,0,0,0,104.6
Marvin Jones,DET,7,53,735,5,0,0,0,103.5
