Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steve Smith Sr., Bal WR",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Andre Johnson, Ten WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Anquan Boldin, Buf WR",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Larry Fitzgerald, Ari WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Jerricho Cotchery, Car WR",@TB,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Wes Welker, LAR WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Roddy White, Atl WR",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Vincent Jackson, TB WR",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Joshua Cribbs, Ind WR",@Cin,L 23-24,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Nate Washington, NE WR",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Lance Moore, Atl WR",@NYJ,W 25-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Greg Jennings, Mia WR",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Devin Hester, Sea WR",Hou,W 41-38,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Derek Hagan, Ten WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Jason Avant, KC WR",Den,W 29-19,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brandon Marshall, NYG WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Marques Colston, NO WR",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Miles Austin, Phi WR",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Calvin Johnson, Det WR",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Ted Ginn Jr., NO WR",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Dwayne Bowe, Cle WR",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jacoby Jones, Pit WR",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"James Jones, LAC WR",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Eric Weems, Ten WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Jordy Nelson, Oak WR",@Buf,L 14-34,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Eddie Royal, Chi WR",@NO,L 12-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jerome Simpson, SF WR",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"DeSean Jackson, TB WR",Car,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Harry Douglas, Ten WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Andre Jerome Caldwell, Det WR",Pit,L 15-20,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Matthew Slater, NE WR",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Pierre Garcon, SF WR",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Stevie Johnson, LAC WR",@NE,L 13-21,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Danny Amendola, Mia WR",@Bal,L 0-40,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kenny Britt, NE WR",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Michael Crabtree, Bal WR",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brandon Gibson, NE WR",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brian Hartline, Cle WR",Min,L 16-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Percy Harvin*, Buf WR",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Darrius Heyward-Bey, Pit WR",@Det,W 20-15,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Brandon LaFell, Cin WR",Ind,W 24-23,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jeremy Maclin, Bal WR",Mia,W 40-0,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Louis Murphy, SF WR",@Phi,L 10-33,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Hakeem Nicks, NO WR",Chi,W 20-12,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Jordan Norwood, Den WR",@KC,L 19-29,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Kevin Ogletree, NYG WR",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,WR
"Brandon Tate, Buf WR",Oak,W 34-14,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Mike Wallace, Phi WR",SF,W 33-10,--/--,--,--,--,--,--,--,--,--,--,--,WR
"Julian Edelman, NE WR",LAC,W 21-13,--/--,--,--,--,--,--,--,--,--,--,--,WR
