Player,Team,GP,Rush Att,Rush Yds,Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,Return Yds,Fum Lost,Fum,Tack,Fum Rec,POS
Peyton Barber,TB,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Giovani Bernard,CIN,1.0,11.0,52.0,1.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,RB
LeGarrette Blount,DET,1.0,18.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,1.0,9.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,1.0,19.0,54.0,1.0,0.0,5.0,30.0,0.0,0.0,1.0,1.0,0.0,0.0,RB
Rex Burkhead,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,RB
Travaris Cadet,CAR,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Isaiah Crowell,NYJ,1.0,11.0,29.0,1.0,0.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ezekiel Elliott,DAL,1.0,22.0,96.0,0.0,0.0,4.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tyler Ervin,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,0.0,0.0,RB
Josh Ferguson,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,RB
Devonta Freeman,ATL,1.0,11.0,35.0,1.0,0.0,4.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Gillislee,,1.0,12.0,85.0,1.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Melvin Gordon,LAC,1.0,23.0,111.0,0.0,1.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Frank Gore,MIA,1.0,9.0,37.0,0.0,0.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Derrick Henry,TEN,1.0,16.0,60.0,1.0,0.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jeremy Hill,NE,1.0,20.0,76.0,1.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,1.0,26.0,153.0,1.0,1.0,4.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Ingram,NO,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,RB
Chris Ivory,BUF,1.0,4.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,RB
David Johnson,ARI,1.0,10.0,24.0,0.0,0.0,7.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Duke Johnson,CLE,1.0,4.0,29.0,0.0,0.0,6.0,87.0,0.0,28.0,0.0,0.0,0.0,0.0,RB
Rob Kelley,WAS,1.0,21.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Daniel Lasco,NO,1.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,RB
Christine Michael,,1.0,10.0,40.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Lamar Miller,HOU,1.0,17.0,56.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Latavius Murray,MIN,1.0,11.0,48.0,0.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamize Olawale,DAL,1.0,1.0,-1.0,0.0,0.0,2.0,69.0,0.0,0.0,0.0,0.0,1.0,0.0,RB
Bilal Powell,NYJ,1.0,6.0,76.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jay Prosch,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,RB
C.J. Prosise,SEA,1.0,4.0,23.0,0.0,0.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
