Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Steven Jackson, NE RB",@Oak,W 33-8,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Frank Gore, Mia RB",TB,L 20-30,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren Sproles, Phi RB",@Dal,W 37-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"John Kuhn, NO RB",Wsh,W 34-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Reggie Bush, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeAngelo Williams, Pit RB",Ten,W 40-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Fred Jackson, Sea RB",Atl,L 31-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Adrian Peterson, Ari RB",@Hou,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marshawn Lynch, Oak RB",NE,L 8-33,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ahmad Bradshaw, Ind RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Pierre Thomas, Wsh RB",@NO,L 31-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darren McFadden, Dal RB",Phi,L 9-37,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jonathan Stewart, NYG RB",KC,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Johnson, Ari RB",@Hou,L 21-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Matt Forte, NYJ RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Jamaal Charles, Den RB",Cin,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jerome Felton, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tim Hightower, SF RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Justin Forsett, Den RB",Cin,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mike Tolbert, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcel Reece, Sea RB",Atl,L 31-34,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Danny Woodhead, Bal RB",@GB,W 23-0,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Donald Brown, NE RB",@Oak,W 33-8,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Arian Foster, Mia RB",TB,L 20-30,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Rashad Jennings, NYG RB",KC,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Jorvorskie Lane, TB RB",@Mia,W 30-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LeSean McCoy, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Cedric Peerman, Cin RB",@Den,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Marcus Thigpen, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Darrel Young, Car RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Antone Smith, TB RB",@Mia,W 30-20,--/--,--,--,--,--,--,--,--,--,--,--,RB
"C.J. Spiller, KC RB",@NYG,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ryan Mathews, Phi RB",@Dal,W 37-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Dexter McCluster, LAC RB",Buf,W 54-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ben Tate, Pit RB",Ten,W 40-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Toby Gerhart, Jax RB",@Cle,W 19-7,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Boobie Dixon, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"LeGarrette Blount, Det RB",@Chi,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"James Starks, GB RB",Bal,L 0-23,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Joique Bell, Det RB",@Chi,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Chris Ivory, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
"James Develin, NE RB",@Oak,W 33-8,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Tyler Clutts, Dal RB",Phi,L 9-37,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Mark Ingram, NO RB",Wsh,W 34-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"DeMarco Murray, Ten RB",@Pit,L 17-40,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Shane Vereen, NYG RB",KC,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Stevan Ridley, Pit RB",Ten,W 40-17,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Ryan Williams, Dal RB",Phi,L 9-37,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Daniel Thomas, Mia RB",TB,L 20-30,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Bilal Powell, NYJ RB",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,RB
"Anthony Sherman, KC RB",@NYG,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Kendall Hunter, NO RB",Wsh,W 34-31,--/--,--,--,--,--,--,--,--,--,--,--,RB
"Taiwan Jones, Buf RB",@LAC,L 24-54,--/--,--,--,--,--,--,--,--,--,--,--,RB
