Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@Det,W 30-26,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,Den,W 26-16,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,Pit,W 23-17,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,@GB,L 24-27,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,@Ind,L 28-31,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@Ari,W 28-17,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@Buf,L 16-26,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,Atl,L 26-30,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,Cin,W 27-24,--,--,--,--,--,--,--,--,DST
Titans D/ST D/ST,Sea,W 33-27,--,--,--,--,--,--,--,--,DST
Colts D/ST D/ST,Cle,W 31-28,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,@LAC,W 24-10,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@Wsh,L 10-27,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,@SF,W 41-39,--,--,--,--,--,--,--,--,DST
Dolphins D/ST D/ST,@NYJ,L 6-20,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,TB,W 34-17,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,Hou,W 36-33,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,@Car,W 34-13,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,@Phi,L 24-27,--,--,--,--,--,--,--,--,DST
Jets D/ST D/ST,Mia,W 20-6,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,NYG,W 27-24,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,Dal,L 17-28,--,--,--,--,--,--,--,--,DST
Steelers D/ST D/ST,@Chi,L 17-23,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,KC,L 10-24,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,LAR,L 39-41,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,@Ten,L 27-33,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,@Min,L 17-34,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,Oak,W 27-10,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,NO,L 13-34,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,Bal,W 44-7,--,--,--,--,--,--,--,--,DST
Ravens D/ST D/ST,@Jax,L 7-44,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,@NE,L 33-36,--,--,--,--,--,--,--,--,DST
