Player,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"David Johnson, Ari RB",0/0,0,0,0,307.1,1227.8,11.7,77.7,779.4,4.1,368.9,RB
"Le'Veon Bell, Pit RB",0/0,0,0,0,303.6,1396.6,9.8,81.9,672.1,3.7,368.6,RB
"Ezekiel Elliott, Dal RB",0/0,0,0,0,318.2,1495.5,11.7,44.3,388.3,2,310.2,RB
"LeSean McCoy, Buf RB",0/0,0,0,0,240.8,1196.6,7.4,53,417.1,1.6,265.6,RB
"Devonta Freeman, Atl RB",0/0,0,0,0,203,860.9,9.6,52.1,446.1,3.4,260.8,RB
"Todd Gurley II, LAR RB",0/0,0,0,0,291.6,1125.1,8.6,46.2,356.4,1.4,252.2,RB
"Melvin Gordon, LAC RB",0/0,0,0,0,295.7,1200.4,6.9,43,345.6,1.9,247.1,RB
"Jay Ajayi, Phi RB",0/0,0,0,0,295.3,1312.3,8.9,29.1,223.9,1.4,240.7,RB
"Jordan Howard, Chi RB",0/0,0,0,0,273.4,1240.4,8.2,31.9,263.5,1.4,238,RB
"DeMarco Murray, Ten RB",0/0,0,0,0,239.6,1049.7,7.6,43.6,311.6,1.8,234,RB
"Leonard Fournette, Jax RB",0/0,0,0,0,277.5,1240.3,8.4,30.7,245.8,0.7,229.8,RB
"Kareem Hunt, KC RB",0/0,0,0,0,224.9,924.9,8.2,41.8,330,0.9,218.8,RB
"Marshawn Lynch, Oak RB",0/0,0,0,0,222.5,970.5,8.9,34.7,286.8,1.4,216.6,RB
"Lamar Miller, Hou RB",0/0,0,0,0,256.5,1048.1,6.3,38.2,304,1.1,216.3,RB
"Carlos Hyde, Cle RB",0/0,0,0,0,237.1,983.9,6.5,38.2,281.7,1.2,205.8,RB
"Christian McCaffrey, Car RB",0/0,0,0,0,142.3,639.2,4.1,52.6,477.4,2.3,202.2,RB
"Isaiah Crowell, NYJ RB",0/0,0,0,0,224.8,965.3,6.3,36.3,278.7,1,202.1,RB
"Mark Ingram, NO RB",0/0,0,0,0,165,749.9,6.6,41.4,311.6,2.1,198.4,RB
"Dalvin Cook, Min RB",0/0,0,0,0,207.2,898.6,6.7,34.3,284.8,1,195.5,RB
"Ty Montgomery, GB RB",0/0,0,0,0,159.4,711,4.1,44,356,2.6,189.1,RB
"Bilal Powell, NYJ RB",0/0,0,0,0,154.7,697.6,3.2,53.8,395.2,1.2,188.7,RB
"Danny Woodhead, Bal RB",0/0,0,0,0,98,407.1,2.6,64.4,527.2,2.9,187.8,RB
"Frank Gore, Mia RB",0/0,0,0,0,230.1,934.1,5.9,28.8,234.6,1.3,187.6,RB
"Terrance West, Bal RB",0/0,0,0,0,222.4,913.3,5.3,34.1,242.9,1.4,187.6,RB
