Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Return TD,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Blk TD,Blk,Saf,Fum Yds,TFL,POS
LeGarrette Blount,DET,16.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,766.0,2.0,0.0,0.0,1.0,8.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alfred Blue,HOU,9.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,262.0,1.0,0.0,0.0,1.0,7.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tommy Bohanon,JAX,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,6.0,43.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brandon Bolden,MIA,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,67.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devontae Booker,DEN,13.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,299.0,1.0,0.0,0.0,0.0,30.0,275.0,0.0,0.0,0.0,0.0,276.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Matt Breida,SF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,465.0,2.0,0.0,0.0,0.0,21.0,180.0,1.0,0.0,0.0,0.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Mack Brown,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,29.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Malcolm Brown,LA,11.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,246.0,1.0,0.0,0.0,0.0,9.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,RB
Rex Burkhead,NE,10.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,264.0,5.0,0.0,0.0,0.0,30.0,254.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RB
Michael Burton,CHI,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Travaris Cadet,CAR,7.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,96.0,0.0,0.0,0.0,0.0,16.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Carson,SEA,4.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,208.0,0.0,0.0,0.0,0.0,7.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Cethan Carter,CIN,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jamaal Charles,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,296.0,1.0,0.0,0.0,0.0,23.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Corey Clement,PHI,15.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,321.0,4.0,0.0,0.0,0.0,10.0,123.0,2.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Tarik Cohen,CHI,16.0,2.0,1.0,1.0,21.0,1.0,0.0,87.0,370.0,2.0,0.0,0.0,0.0,53.0,353.0,1.0,0.0,0.0,0.0,855.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tevin Coleman,ATL,15.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,628.0,5.0,0.0,0.0,0.0,27.0,299.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Collins,BAL,15.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,973.0,6.0,0.0,0.0,2.0,23.0,187.0,0.0,0.0,0.0,0.0,50.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
James Conner,PIT,12.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dalvin Cook,MIN,4.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,354.0,2.0,0.0,0.0,1.0,11.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Isaiah Crowell,NYJ,16.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,853.0,2.0,0.0,0.0,1.0,28.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Benny Cunningham,CHI,14.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,20.0,240.0,2.0,0.0,0.0,0.0,147.0,0.0,1.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Orleans Darkwa,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,751.0,5.0,1.0,1.0,2.0,19.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Justin Davis,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Davis,SEA,6.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,240.0,0.0,0.0,0.0,0.0,15.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Matt Dayes,SF,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,4.0,29.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
James Develin,NE,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Patrick DiMarco,BUF,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kenyan Drake,MIA,16.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,644.0,3.0,2.0,1.0,2.0,32.0,239.0,1.0,0.0,0.0,0.0,147.0,0.0,2.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Trey Edmunds,PIT,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Austin Ekeler,LAC,14.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,260.0,2.0,0.0,0.0,0.0,27.0,279.0,3.0,0.0,0.0,0.0,85.0,0.0,2.0,2.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Andre Ellington,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,55.0,1.0,0.0,0.0,0.0,39.0,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Ezekiel Elliott,DAL,10.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,983.0,7.0,0.0,0.0,5.0,26.0,269.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tyler Ervin,BAL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,8.0,38.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Josh Ferguson,HOU,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Fluellen,TEN,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
D'Onta Foreman,HOU,9.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,327.0,2.0,0.0,0.0,0.0,6.0,83.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Leonard Fournette,JAX,13.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,1040.0,9.0,2.0,2.0,5.0,36.0,302.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Jalston Fowler,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devonta Freeman,ATL,14.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,865.0,7.0,0.0,0.0,2.0,36.0,317.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Wayne Gallman,NYG,13.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,476.0,0.0,0.0,0.0,0.0,34.0,193.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Mike Gillislee,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,383.0,5.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Melvin Gordon,LAC,16.0,0.0,0.0,0.0,0.0,0.0,0.0,284.0,1105.0,8.0,1.0,1.0,2.0,58.0,476.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Frank Gore,MIA,16.0,0.0,0.0,0.0,0.0,0.0,0.0,261.0,961.0,3.0,0.0,0.0,2.0,29.0,245.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-8.0,0.0,RB
Corey Grant,JAX,14.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,248.0,2.0,1.0,1.0,0.0,3.0,41.0,0.0,0.0,0.0,0.0,479.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tion Green,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,165.0,2.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Todd Gurley,LA,15.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,1305.0,13.0,1.0,1.0,6.0,64.0,788.0,6.0,2.0,2.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Ham,MIN,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,1.0,0.0,0.0,0.0,7.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
De'Angelo Henderson Sr.,NYJ,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,2.0,36.0,1.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Derrick Henry,TEN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,744.0,5.0,2.0,2.0,2.0,11.0,136.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Brian Hill,ATL,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,0.0,0.0,0.0,0.0,2.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Bronson Hill,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jeremy Hill,NE,7.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,116.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jordan Howard,CHI,16.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,1122.0,9.0,0.0,0.0,5.0,23.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Akeem Hunt,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kareem Hunt,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,1327.0,8.0,2.0,2.0,6.0,53.0,455.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Carlos Hyde,JAX,16.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,938.0,8.0,0.0,0.0,1.0,59.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Mark Ingram,NO,16.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,1124.0,12.0,1.0,1.0,4.0,58.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Chris Ivory,BUF,14.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,382.0,1.0,0.0,0.0,0.0,21.0,175.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Andy Janovich,DEN,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,4.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
David Johnson,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,0.0,0.0,0.0,0.0,6.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Duke Johnson,CLE,16.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,348.0,4.0,0.0,0.0,0.0,74.0,693.0,3.0,1.0,0.0,0.0,17.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,RB
Aaron Jones,GB,10.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,448.0,4.0,1.0,0.0,2.0,9.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Taiwan Jones,BUF,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kyle Juszczyk,SF,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,0.0,0.0,0.0,33.0,315.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alvin Kamara,NO,16.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,728.0,8.0,1.0,1.0,1.0,81.0,826.0,5.0,0.0,0.0,1.0,347.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Rob Kelley,WAS,7.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,194.0,3.0,0.0,0.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Joe Kerridge,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Eddie Lacy,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,179.0,0.0,0.0,0.0,0.0,6.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Daniel Lasco,NO,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Dion Lewis,TEN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,896.0,6.0,0.0,0.0,2.0,32.0,214.0,3.0,0.0,0.0,0.0,570.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Zach Line,NO,8.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,28.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marshawn Lynch,OAK,15.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,891.0,7.0,1.0,1.0,2.0,20.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Marlon Mack,IND,14.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,358.0,3.0,0.0,0.0,0.0,21.0,225.0,1.0,0.0,0.0,0.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Tre Madden,SEA,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Doug Martin,OAK,11.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,406.0,3.0,0.0,0.0,0.0,9.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Devante Mays,CLE,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Christian McCaffrey,CAR,16.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,435.0,2.0,0.0,0.0,0.0,80.0,651.0,5.0,0.0,0.0,1.0,220.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
LeSean McCoy,BUF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,1138.0,6.0,1.0,0.0,4.0,59.0,448.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Elijah McGuire,NYJ,15.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,315.0,1.0,1.0,1.0,0.0,17.0,177.0,1.0,0.0,0.0,0.0,93.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jerick McKinnon,SF,16.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,570.0,3.0,1.0,1.0,0.0,51.0,421.0,2.0,0.0,0.0,1.0,312.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
J.D. McKissic,SEA,12.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,187.0,1.0,0.0,0.0,0.0,34.0,266.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
