Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Rush Att,Rush Yds,Rush TD,40+ Rush TD,50+ Rush TD,100-199 Rush Yds,Receptions,Rec Yds,Rec TD,40+ Rec TD,50+ Rec TD,100-199 Rec Yds,Return Yds,Return TD,Fum Lost,Fum,2PT,Tack,Ast,Frc Fum,Fum Rec,Blk TD,Blk,Saf,Fum Yds,TFL,POS
Ameer Abdullah,MIN,14.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,552.0,4.0,0.0,0.0,0.0,25.0,162.0,1.0,0.0,0.0,0.0,179.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Jay Ajayi,PHI,14.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,873.0,1.0,1.0,0.0,2.0,24.0,158.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Javorius Allen,BAL,16.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,591.0,4.0,0.0,0.0,0.0,46.0,250.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
C.J. Anderson,LA,16.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,1007.0,3.0,0.0,0.0,2.0,28.0,224.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Alex Armah,CAR,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Cameron Artis-Payne,CAR,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,95.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,RB
Peyton Barber,TB,13.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,423.0,3.0,0.0,0.0,1.0,16.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,RB
Le'Veon Bell,PIT,15.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,1291.0,9.0,0.0,0.0,4.0,85.0,655.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Giovani Bernard,CIN,16.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,458.0,2.0,0.0,0.0,1.0,43.0,389.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
Kapri Bibbs,GB,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,79.0,0.0,0.0,0.0,0.0,14.0,128.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB
