Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Buffalo Bills,DST,BUF,16.5,265.2,1.3,0.6,2.4,0.0,0.3
Los Angeles Chargers,DST,LAC,18.4,331.3,1.1,0.6,2.8,0.0,0.3
New Orleans Saints,DST,NO,22.0,392.7,1.4,0.8,2.9,0.0,0.2
Tennessee Titans,DST,TEN,18.6,353.9,0.9,0.7,2.9,0.0,0.2
Pittsburgh Steelers,DST,PIT,19.6,325.6,0.7,0.7,3.2,0.0,0.2
Detroit Lions,DST,DET,18.9,308.8,1.0,0.6,2.6,0.0,0.2
Denver Broncos,DST,DEN,21.1,338.4,1.2,0.7,2.7,0.0,0.2
Kansas City Chiefs,DST,KC,22.6,365.6,1.2,0.8,2.7,0.0,0.2
Seattle Seahawks,DST,SEA,19.7,345.5,0.9,0.7,2.3,0.0,0.2
New York Jets,DST,NYJ,19.8,302.7,1.0,0.6,2.3,0.0,0.2
Carolina Panthers,DST,CAR,24.4,366.8,0.9,0.6,2.9,0.1,0.2
Indianapolis Colts,DST,IND,28.3,377.4,0.9,0.8,2.9,0.0,0.2
Los Angeles Rams,DST,LAR,23.4,346.2,1.0,0.7,2.6,0.1,0.2
New York Giants,DST,NYG,20.4,336.1,1.4,0.6,2.0,0.0,0.2
Washington Redskins,DST,WAS,21.5,360.3,0.9,0.7,2.7,0.0,0.2
Houston Texans,DST,HOU,23.8,380.0,1.1,0.7,2.1,0.1,0.3
Arizona Cardinals,DST,ARI,21.8,337.0,0.8,0.7,3.0,0.0,0.2
Cleveland Browns,DST,CLE,23.1,349.9,1.1,0.7,2.3,0.0,0.2
Jacksonville Jaguars,DST,JAX,21.3,316.3,0.9,0.6,2.8,0.0,0.2
Chicago Bears,DST,CHI,27.5,389.3,0.8,0.7,2.6,0.1,0.2
New England Patriots,DST,NE,20.1,345.8,1.0,0.6,2.1,0.0,0.3
Dallas Cowboys,DST,DAL,20.4,342.4,0.7,0.7,2.7,0.0,0.2
Philadelphia Eagles,DST,PHI,25.0,367.7,0.7,0.6,3.0,0.0,0.2
Minnesota Vikings,DST,MIN,24.6,352.6,0.7,0.7,2.8,0.0,0.2
Green Bay Packers,DST,GB,24.6,393.7,0.8,0.6,3.0,0.0,0.1
Atlanta Falcons,DST,ATL,28.1,402.5,0.7,0.6,2.6,0.0,0.1
Baltimore Ravens,DST,BAL,27.9,362.0,0.8,0.5,2.1,0.0,0.2
San Francisco 49ers,DST,SF,25.9,369.6,0.7,0.6,2.2,0.0,0.2
Miami Dolphins,DST,MIA,31.5,444.6,0.8,0.6,1.5,0.0,0.2
Oakland Raiders,DST,OAK,29.8,440.5,1.1,0.5,1.2,0.0,0.1
Cincinnati Bengals,DST,CIN,32.5,435.5,0.7,0.5,1.8,0.0,0.2
Tampa Bay Buccaneers,DST,TB,33.3,440.4,0.5,0.7,1.7,0.0,0.1
