Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Buffalo Bills,DST,BUF,19.3,272,1.8,0.8,2.6,0.0,0.32
New Orleans Saints,DST,NO,19.9,407,1.6,0.9,2.6,0.0,0.35
New York Jets,DST,NYJ,20.2,295,1.2,0.6,2.0,0.0,0.28
New York Giants,DST,NYG,18.9,298,1.3,0.6,1.4,0.0,0.26
Detroit Lions,DST,DET,19.4,302,1.3,0.8,2.6,0.0,0.3
Denver Broncos,DST,DEN,22.8,358,1.5,1.1,3.4,0.0,0.33
Dallas Cowboys,DST,DAL,20.2,348,0.8,0.9,2.6,0.0,0.27
Pittsburgh Steelers,DST,PIT,18.8,314,0.6,0.9,3.1,0.0,0.25
New England Patriots,DST,NE,20.4,355,1.3,0.6,1.8,0.0,0.33
Seattle Seahawks,DST,SEA,19.2,360,0.9,0.9,2.4,0.0,0.25
Los Angeles Chargers,DST,LAC,18.6,311,1.1,0.6,2.1,0.0,0.32
Tennessee Titans,DST,TEN,16.9,334,0.9,0.9,2.1,0.0,0.27
Washington Redskins,DST,WAS,19.3,335,0.8,0.8,2.6,0.0,0.22
Carolina Panthers,DST,CAR,26.6,370,0.9,0.8,3.4,0.1,0.26
Los Angeles Rams,DST,LAR,22.6,330,0.9,0.9,2.7,0.1,0.29
Cleveland Browns,DST,CLE,21.7,348,1.4,0.8,2.0,0.0,0.3
Jacksonville Jaguars,DST,JAX,22.7,309,1.0,0.7,3.2,0.0,0.24
Houston Texans,DST,HOU,25.3,386,1.2,0.8,1.9,0.1,0.31
Kansas City Chiefs,DST,KC,22.5,370,1.1,0.9,1.4,0.0,0.31
Arizona Cardinals,DST,ARI,21.7,319,0.7,0.7,3.1,0.0,0.21
Green Bay Packers,DST,GB,23.8,384,0.7,0.8,2.8,0.0,0.22
Philadelphia Eagles,DST,PHI,25.9,372,0.7,0.8,2.7,0.0,0.23
Minnesota Vikings,DST,MIN,24.1,329,0.8,0.6,2.6,0.0,0.23
Baltimore Ravens,DST,BAL,26.7,322,0.8,0.5,2.4,0.0,0.24
Indianapolis Colts,DST,IND,30.6,389,1.0,0.9,2.7,0.0,0.27
Atlanta Falcons,DST,ATL,27.0,374,0.5,0.7,2.5,0.0,0.17
San Francisco 49ers,DST,SF,25.0,351,0.7,0.5,2.1,0.0,0.2
Chicago Bears,DST,CHI,28.0,380,0.8,0.8,2.2,0.1,0.26
Oakland Raiders,DST,OAK,30.1,451,1.2,0.7,0.8,0.0,0.25
Miami Dolphins,DST,MIA,29.5,431,0.7,0.6,1.2,0.0,0.24
Tampa Bay Buccaneers,DST,TB,30.9,421,0.4,0.8,1.4,0.0,0.19
