Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Block,Return TD,Pts Allow,POS
San Francisco 49ers,SF,1.0,1.89,0.76,0.57,0.03,0.1,0.08,0.02,22.74,DST
Chicago Bears,CHI,1.0,2.44,0.95,0.67,0.03,0.11,0.07,0.05,20.44,DST
Cincinnati Bengals,CIN,1.0,1.8,0.68,0.64,0.03,0.1,0.07,0.0,26.56,DST
Buffalo Bills,BUF,1.0,2.4,1.03,0.68,0.04,0.11,0.08,0.03,20.4,DST
Denver Broncos,DEN,1.0,2.45,1.05,0.69,0.03,0.09,0.12,0.01,21.85,DST
Cleveland Browns,CLE,1.0,2.29,0.85,0.7,0.04,0.1,0.11,0.01,22.39,DST
Tampa Bay Buccaneers,TB,1.0,1.76,0.77,0.61,0.03,0.1,0.09,0.01,24.43,DST
Arizona Cardinals,ARI,1.0,2.63,0.71,0.56,0.04,0.1,0.07,0.02,23.87,DST
Los Angeles Chargers,LAC,1.0,2.58,0.95,0.64,0.06,0.1,0.09,0.04,16.26,DST
Kansas City Chiefs,KC,1.0,2.72,0.96,0.69,0.05,0.1,0.09,0.04,22.63,DST
Indianapolis Colts,IND,1.0,2.79,0.84,0.55,0.03,0.1,0.09,0.0,22.72,DST
Dallas Cowboys,DAL,1.0,2.33,0.89,0.66,0.04,0.1,0.07,0.01,20.63,DST
Miami Dolphins,MIA,1.0,1.75,0.74,0.46,0.03,0.1,0.1,0.02,24.94,DST
Philadelphia Eagles,PHI,1.0,2.8,0.66,0.66,0.04,0.09,0.08,0.02,24.97,DST
Atlanta Falcons,ATL,1.0,2.08,0.76,0.56,0.04,0.1,0.09,0.0,23.48,DST
New York Giants,NYG,1.0,2.48,0.88,0.72,0.05,0.1,0.08,0.01,22.99,DST
Jacksonville Jaguars,JAX,1.0,2.87,0.89,0.59,0.04,0.09,0.07,0.01,21.94,DST
New York Jets,NYJ,1.0,2.86,0.91,0.69,0.07,0.1,0.1,0.0,23.13,DST
Detroit Lions,DET,1.0,2.68,1.02,0.61,0.04,0.09,0.08,0.01,20.48,DST
Green Bay Packers,GB,1.0,2.18,1.03,0.62,0.04,0.1,0.08,0.02,21.75,DST
Carolina Panthers,CAR,1.0,2.33,0.89,0.69,0.03,0.1,0.09,0.02,22.64,DST
New England Patriots,NE,1.0,2.53,0.9,0.63,0.04,0.1,0.09,0.0,18.87,DST
Oakland Raiders,OAK,1.0,1.36,0.63,0.53,0.04,0.1,0.11,0.01,25.77,DST
Los Angeles Rams,LA,1.0,2.6,0.91,0.62,0.03,0.1,0.12,0.02,24.84,DST
Baltimore Ravens,BAL,1.0,1.92,0.82,0.66,0.03,0.1,0.08,0.0,22.17,DST
Washington Redskins,WAS,1.0,2.52,0.9,0.6,0.04,0.1,0.08,0.01,21.17,DST
New Orleans Saints,NO,1.0,2.51,1.24,0.68,0.03,0.1,0.09,0.01,20.58,DST
Seattle Seahawks,SEA,1.0,2.16,0.89,0.71,0.04,0.09,0.06,0.04,20.76,DST
Pittsburgh Steelers,PIT,1.0,2.76,0.89,0.72,0.03,0.1,0.11,0.02,16.03,DST
Houston Texans,HOU,1.0,2.05,0.9,0.63,0.03,0.1,0.08,0.02,21.57,DST
Tennessee Titans,TEN,1.0,3.29,0.77,0.56,0.07,0.12,0.06,0.01,21.07,DST
Minnesota Vikings,MIN,1.0,2.8,0.88,0.59,0.03,0.09,0.06,0.03,21.87,DST
