Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,Saf,TD,Blk,Return Yds,PA,Pts Allow 1-6,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,YdA,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,500+ Yds Allow,POS
San Francisco 49ers,SF,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,72.0,14.0,0.0,0.0,1.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,42.0,6.0,1.0,0.0,0.0,0.0,0.0,214.0,1.0,0.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,26.0,0.0,0.0,0.0,1.0,0.0,288.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,105.0,27.0,0.0,0.0,0.0,1.0,0.0,248.0,1.0,0.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,86.0,20.0,0.0,0.0,1.0,0.0,0.0,389.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,20.0,0.0,0.0,1.0,0.0,0.0,393.0,0.0,1.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,54.0,28.0,0.0,0.0,0.0,0.0,1.0,298.0,1.0,0.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,43.0,11.0,0.0,1.0,0.0,0.0,0.0,218.0,1.0,0.0,0.0,0.0,DST
Los Angeles Chargers,LAC,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,21.0,0.0,0.0,0.0,1.0,0.0,295.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,13.0,24.0,0.0,0.0,0.0,1.0,0.0,321.0,0.0,1.0,0.0,0.0,DST
Indianapolis Colts,IND,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,21.0,0.0,0.0,0.0,1.0,0.0,315.0,0.0,1.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,41.0,23.0,0.0,0.0,0.0,1.0,0.0,256.0,1.0,0.0,0.0,0.0,DST
Miami Dolphins,MIA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,33.0,0.0,0.0,0.0,0.0,1.0,421.0,0.0,0.0,1.0,0.0,DST
Philadelphia Eagles,PHI,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,45.0,29.0,0.0,0.0,0.0,0.0,1.0,576.0,0.0,0.0,0.0,1.0,DST
Atlanta Falcons,ATL,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,28.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,1.0,0.0,0.0,DST
New York Giants,NYG,1.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,51.0,16.0,0.0,0.0,1.0,0.0,0.0,288.0,1.0,0.0,0.0,0.0,DST
Jacksonville Jaguars,JAX,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,50.0,30.0,0.0,0.0,0.0,0.0,1.0,426.0,0.0,0.0,1.0,0.0,DST
New York Jets,NYJ,1.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,186.0,23.0,0.0,0.0,0.0,1.0,0.0,368.0,0.0,1.0,0.0,0.0,DST
Detroit Lions,DET,1.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,279.0,1.0,0.0,0.0,0.0,DST
Green Bay Packers,GB,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,26.0,20.0,0.0,0.0,1.0,0.0,0.0,344.0,0.0,1.0,0.0,0.0,DST
Carolina Panthers,CAR,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,56.0,26.0,0.0,0.0,0.0,1.0,0.0,348.0,0.0,1.0,0.0,0.0,DST
New England Patriots,NE,1.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,37.0,34.0,0.0,0.0,0.0,0.0,1.0,412.0,0.0,0.0,1.0,0.0,DST
Oakland Raiders,OAK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,1.0,0.0,340.0,0.0,1.0,0.0,0.0,DST
Los Angeles Rams,LAR,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,59.0,13.0,0.0,1.0,0.0,0.0,0.0,294.0,1.0,0.0,0.0,0.0,DST
Baltimore Ravens,BAL,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,27.0,0.0,0.0,0.0,1.0,0.0,442.0,0.0,0.0,1.0,0.0,DST
Washington Redskins,WAS,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,34.0,0.0,0.0,0.0,0.0,1.0,402.0,0.0,0.0,1.0,0.0,DST
New Orleans Saints,NO,1.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,105.0,14.0,0.0,0.0,1.0,0.0,0.0,279.0,1.0,0.0,0.0,0.0,DST
Seattle Seahawks,SEA,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,17.0,7.0,0.0,1.0,0.0,0.0,0.0,276.0,1.0,0.0,0.0,0.0,DST
Pittsburgh Steelers,PIT,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,69.0,24.0,0.0,0.0,0.0,1.0,0.0,354.0,0.0,1.0,0.0,0.0,DST
Houston Texans,HOU,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,0.0,0.0,0.0,1.0,0.0,436.0,0.0,0.0,1.0,0.0,DST
Tennessee Titans,TEN,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,41.0,7.0,0.0,1.0,0.0,0.0,0.0,255.0,1.0,0.0,0.0,0.0,DST
Minnesota Vikings,MIN,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,15.0,0.0,0.0,1.0,0.0,0.0,274.0,1.0,0.0,0.0,0.0,DST
