Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Los Angeles Chargers,DST,LAC,16.0,299,1.1,0.7,3.5,0.0,0.0,0.3
Tennessee Titans,DST,TEN,16.0,280,1.0,0.7,3.1,0.0,0.1,0.30000000000000004
Buffalo Bills,DST,BUF,16.5,287,1.1,0.6,3.3,0.0,0.0,0.1
New York Giants,DST,NYG,19.5,286,1.0,0.6,2.6,0.0,0.1,0.30000000000000004
Denver Broncos,DST,DEN,23.5,354,0.9,0.6,3.0,0.0,0.1,0.30000000000000004
New England Patriots,DST,NE,20.3,353,1.0,0.7,3.3,0.1,0.1,0.2
Seattle Seahawks,DST,SEA,22.3,381,0.9,0.7,2.7,0.1,0.1,0.2
Detroit Lions,DST,DET,18.8,325,1.0,0.7,2.8,0.0,0.1,0.1
Arizona Cardinals,DST,ARI,21.8,338,0.8,0.5,2.6,0.1,0.0,0.30000000000000004
Jacksonville Jaguars,DST,JAX,21.5,334,1.0,0.6,2.6,0.1,0.0,0.30000000000000004
Pittsburgh Steelers,DST,PIT,20.5,355,0.9,0.6,2.9,0.1,0.1,0.2
New York Jets,DST,NYJ,21.0,354,1.1,0.6,2.6,0.0,0.0,0.2
New Orleans Saints,DST,NO,22.3,401,0.9,0.5,2.8,0.0,0.0,0.2
Houston Texans,DST,HOU,22.5,379,0.8,0.5,2.6,0.1,0.0,0.30000000000000004
Cleveland Browns,DST,CLE,24.0,378,0.8,0.6,2.6,0.0,0.0,0.2
Dallas Cowboys,DST,DAL,21.0,359,1.0,0.6,2.9,0.0,0.0,0.1
Chicago Bears,DST,CHI,27.0,403,0.8,0.5,2.4,0.0,0.1,0.30000000000000004
Los Angeles Rams,DST,LAR,24.0,380,0.9,0.5,2.7,0.1,0.0,0.30000000000000004
Green Bay Packers,DST,GB,23.5,374,0.8,0.6,2.5,0.0,0.0,0.1
Philadelphia Eagles,DST,PHI,24.5,393,0.7,0.4,2.1,0.1,0.1,0.2
Washington Redskins,DST,WAS,21.0,345,0.7,0.5,2.5,0.0,0.0,0.1
Minnesota Vikings,DST,MIN,23.3,399,0.7,0.4,2.2,0.1,0.0,0.30000000000000004
Indianapolis Colts,DST,IND,26.5,395,1.0,0.5,2.8,0.0,0.0,0.1
San Francisco 49ers,DST,SF,22.0,384,0.9,0.6,2.8,0.0,0.0,0.1
Atlanta Falcons,DST,ATL,27.0,366,0.7,0.5,2.2,0.0,0.0,0.1
Kansas City Chiefs,DST,KC,21.5,344,0.9,0.5,2.5,0.0,0.0,0.1
Carolina Panthers,DST,CAR,21.5,370,0.8,0.5,2.6,0.0,0.1,0.1
Tampa Bay Buccaneers,DST,TB,31.8,469,0.6,0.5,2.2,0.0,0.1,0.2
Miami Dolphins,DST,MIA,29.3,418,0.8,0.4,1.9,0.0,0.0,0.1
Cincinnati Bengals,DST,CIN,32.5,466,0.6,0.4,1.8,0.0,0.0,0.1
Baltimore Ravens,DST,BAL,28.0,430,0.7,0.5,2.1,0.1,0.0,0.2
Oakland Raiders,DST,OAK,30.5,437,0.6,0.5,2.0,0.1,0.0,0.1
