Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Buffalo Bills,DST,BUF,8.9,1.4,0.6,2.0, ,0.30000000000000004
Kansas City Chiefs,DST,KC,8.3,1.0,0.7,3.0, ,0.2
New Orleans Saints,DST,NO,7.9,1.3,0.6,3.3, ,0.2
Tennessee Titans,DST,TEN,7.8,0.6,0.5,3.3, ,0.2
Detroit Lions,DST,DET,7.7,0.8,0.4,2.2, ,0.2
Los Angeles Chargers,DST,LAC,7.6,0.7,0.4,2.9, ,0.2
Washington Redskins,DST,WAS,7.5,0.9,0.6,2.9, ,0.2
Arizona Cardinals,DST,ARI,7.3,0.7,0.6,3.3, ,0.2
New York Giants,DST,NYG,6.9,1.3,0.4,2.0, ,0.2
Los Angeles Rams,DST,LAR,6.9,0.9,0.6,2.4, ,0.2
Dallas Cowboys,DST,DAL,6.8,0.7,0.6,2.8, ,0.2
Carolina Panthers,DST,CAR,6.5,1.0,0.6,2.7, ,0.2
New York Jets,DST,NYJ,6.3,0.8,0.6,2.2, ,0.2
Pittsburgh Steelers,DST,PIT,6.3,0.5,0.5,3.1, ,0.2
Chicago Bears,DST,CHI,6.3,0.9,0.6,2.6, ,0.2
Houston Texans,DST,HOU,6.2,1.2,0.6,2.0, ,0.2
Jacksonville Jaguars,DST,JAX,6.1,0.6,0.4,2.9, ,0.2
Minnesota Vikings,DST,MIN,5.9,0.6,0.4,2.8, ,0.2
Seattle Seahawks,DST,SEA,5.9,0.8,0.6,2.5, ,0.2
Cleveland Browns,DST,CLE,5.8,0.9,0.6,2.4, ,0.2
Philadelphia Eagles,DST,PHI,5.7,0.5,0.5,3.3, ,0.2
New England Patriots,DST,NE,5.7,0.8,0.4,1.8, ,0.2
Indianapolis Colts,DST,IND,5.7,0.7,0.6,2.9, ,0.2
Denver Broncos,DST,DEN,5.7,0.9,0.5,2.3, ,0.2
San Francisco 49ers,DST,SF,5.2,0.7,0.4,2.0, ,0.1
Green Bay Packers,DST,GB,4.5,0.3,0.3,3.3, ,0.0
Miami Dolphins,DST,MIA,4.4,0.9,0.5,1.2, ,0.2
Atlanta Falcons,DST,ATL,4.2,0.4,0.5,2.4, ,0.1
Baltimore Ravens,DST,BAL,3.3,0.6,0.4,1.9, ,0.2
Cincinnati Bengals,DST,CIN,2.7,0.7,0.4,1.5, ,0.1
Oakland Raiders,DST,OAK,1.0,1.0,0.3,0.8, ,0.1
Tampa Bay Buccaneers,DST,TB,0.2,0.3,0.5,1.5, ,0.1
