Player,Team,Salary
Chicago Bears,CHI,2200
Detroit Lions,DET,2900
New York Giants,NYG,2500
Seattle Seahawks,SEA,2600
Green Bay Packers,GB,2100
New York Jets,NYJ,2400
Los Angeles Rams,LAR,2500
Tennessee Titans,TEN,2900
New Orleans Saints,NO,2700
Philadelphia Eagles,PHI,2300
Arizona Cardinals,ARI,2300
Denver Broncos,DEN,3600
Pittsburgh Steelers,PIT,3000
New England Patriots,NE,2800
Carolina Panthers,CAR,2500
Kansas City Chiefs,KC,2300
Minnesota Vikings,MIN,2400
Baltimore Ravens,BAL,2200
Indianapolis Colts,IND,2400
Buffalo Bills,BUF,3200
Tampa Bay Buccaneers,TB,2000
Jacksonville Jaguars,JAX,2800
Houston Texans,HOU,2600
Dallas Cowboys,DAL,2600
Cleveland Browns,CLE,2200
Oakland Raiders,OAK,2000
San Francisco 49ers,SF,2200
Atlanta Falcons,ATL,2200
Washington Redskins,WAS,2300
Los Angeles Chargers,LAC,3500
Cincinnati Bengals,CIN,2000
Miami Dolphins,MIA,2100
