Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,2.18,0.0,0.48,0.51,0.49,0.18,K
Chris Boswell,PIT,1.0,3.15,0.0,0.48,0.55,0.41,0.14,K
Randy Bullock,CIN,1.0,2.6,0.06,0.48,0.54,0.44,0.22,K
Harrison Butker,KC,1.0,3.12,0.01,0.48,0.51,0.7,0.22,K
Daniel Carlson,OAK,1.0,1.98,0.0,0.48,0.64,0.41,0.13,K
Chandler Catanzaro,CAR,1.0,2.22,0.0,0.5,0.65,0.47,0.15,K
Mason Crosby,GB,1.0,2.02,0.08,0.48,0.48,0.51,0.17,K
Phil Dawson,ARI,1.0,2.72,0.03,0.48,0.5,0.55,0.23,K
Jake Elliott,PHI,1.0,2.04,0.01,0.48,0.53,0.46,0.14,K
Ka'imi Fairbairn,HOU,1.0,2.84,0.03,0.48,0.49,0.4,0.24,K
Graham Gano,CAR,1.0,2.31,0.0,0.48,0.69,0.49,0.18,K
Stephen Gostkowski,NE,1.0,2.73,0.05,0.48,0.51,0.43,0.19,K
Robbie Gould,SF,1.0,1.7,0.05,0.48,0.51,0.42,0.27,K
Stephen Hauschka,BUF,1.0,1.89,0.0,0.48,0.5,0.52,0.24,K
Dustin Hopkins,WAS,1.0,2.2,0.03,0.48,0.51,0.36,0.23,K
Sebastian Janikowski,SEA,1.0,2.44,0.0,0.48,0.49,0.4,0.23,K
Greg Joseph,CLE,1.0,1.27,0.0,0.48,0.52,0.43,0.2,K
Josh Lambo,JAX,1.0,2.43,0.04,0.48,0.5,0.49,0.22,K
Wil Lutz,NO,1.0,2.67,0.0,0.48,0.48,0.43,0.27,K
Brandon McManus,DEN,1.0,2.2,0.0,0.48,0.48,0.55,0.23,K
Jason Myers,NYJ,1.0,1.33,0.02,0.48,0.56,0.59,0.18,K
Cody Parkey,CHI,1.0,3.18,0.02,0.48,0.52,0.46,0.19,K
Matt Prater,DET,1.0,2.48,0.04,0.48,0.52,0.55,0.25,K
Aldrick Rosas,NYG,1.0,2.25,0.03,0.48,0.53,0.46,0.19,K
Jason Sanders,MIA,1.0,1.96,0.01,0.48,0.52,0.38,0.22,K
Justin Tucker,BAL,1.0,2.24,0.07,0.48,0.52,0.45,0.23,K
Adam Vinatieri,IND,1.0,2.04,0.0,0.48,0.49,0.39,0.18,K
Greg Zuerlein,LA,1.0,2.88,0.06,0.48,0.69,0.68,0.26,K
