Player,FG,FGA,XPT,FPTS,POS
Greg Zuerlein LAR,2.2,2.4,3.7,10.2,K
Stephen Gostkowski NE,2.1,2.3,3.0,9.3,K
Harrison Butker KC,1.9,2.1,3.4,9.0,K
Ka'imi Fairbairn HOU,2.1,2.5,2.5,8.8,K
Justin Tucker BAL,2.0,2.2,2.5,8.4,K
Randy Bullock CIN,1.9,2.2,2.8,8.4,K
Wil Lutz NO,1.8,2.1,2.8,8.3,K
Dan Bailey MIN,1.9,2.3,2.6,8.3,K
Adam Vinatieri IND,1.8,2.1,2.9,8.2,K
Cody Parkey CHI,1.8,2.1,2.7,8.2,K
Mason Crosby GB,1.8,2.2,2.5,8.0,K
Aldrick Rosas NYG,2.0,2.3,2.0,8.0,K
Robbie Gould SF,1.9,2.1,2.1,7.9,K
Dustin Hopkins WAS,1.8,2.1,2.2,7.7,K
Matt Prater DET,1.7,2.1,2.5,7.7,K
Sebastian Janikowski SEA,1.8,2.1,2.3,7.7,K
Jake Elliott PHI,1.8,2.3,2.0,7.6,K
Chandler Catanzaro CAR,1.7,2.0,2.4,7.6,K
Brandon McManus DEN,1.8,2.0,2.3,7.5,K
Daniel Carlson OAK,1.7,2.2,2.3,7.4,K
Josh Lambo JAC,1.8,2.0,1.9,7.1,K
Jason Myers NYJ,1.7,1.9,1.7,6.9,K
Greg Joseph CLE,1.6,1.9,1.8,6.8,K
Jason Sanders MIA,1.3,1.5,2.0,5.9,K
Steven Hauschka BUF,1.4,1.6,1.5,5.8,K
Matt McCrane PIT,0.8,1.1,1.2,3.5,K
Cairo Santos TB,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
