Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Greg Zuerlein, LAR K",GB,W 29-27,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,3.5/3.6,10.3,K
"Matt Prater, Det K",Sea,L 14-28,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,2.5/2.6,9.3,K
"Ka'imi Fairbairn, Hou K",Mia,W 42-23,1.3/1.4,0.6/0.8,0.2/0.4,2.1/2.6,2.2/2.4,9.3,K
"Adam Vinatieri, Ind K",@Oak,W 42-28,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,3.1/3.2,9.1,K
"Dan Bailey, Min K",NO,L 20-30,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.3,2.7/3,9,K
"Harrison Butker, KC K",Den,W 30-23,1/1,0.5/0.6,0.2/0.3,1.6/1.9,3.5/3.7,8.9,K
"Wil Lutz, NO K",@Min,W 30-20,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.9/3,8.8,K
"Stephen Gostkowski, NE K",@Buf,W 25-6,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2.1,2.9/3,8.8,K
"Justin Tucker, Bal K",@Car,L 21-36,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.3/2.4,8.6,K
"Graham Gano*, Car K IR",Bal,W 36-21,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2/2,8.5,K
"Cody Parkey, Chi K",NYJ,W 24-10,1/1.1,0.5/0.6,0.2/0.3,1.7/2.1,2.7/2.9,8.4,K
"Robbie Gould, SF K",@Ari,L 15-18,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.3/2.4,8.3,K
"Chris Boswell*, Pit K IR",Cle,W 33-18,0.9/1,0.4/0.6,0.2/0.3,1.6/1.8,2.9/3,8.1,K
"Jason Myers, NYJ K",@Chi,L 10-24,1.1/1.2,0.5/0.6,0.2/0.3,1.8/2.1,1.8/1.9,7.9,K
"Randy Bullock, Cin K",TB,W 37-34,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.9/3.2,7.8,K
"Sebastian Janikowski, Sea K Q",@Det,W 28-14,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.3/2.4,7.8,K
"Aldrick Rosas, NYG K",Wsh,L 13-20,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.3,1.8/2,7.7,K
"Mason Crosby, GB K",@LAR,L 27-29,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.9/2.2,7.7,K
"Stephen Hauschka, Buf K",NE,L 6-25,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,1.7/1.7,7.6,K
"Daniel Carlson, Oak K",Ind,L 28-42,1/1.2,0.5/0.6,0.2/0.3,1.7/2.1,1.9/2.1,7.5,K
