Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Aldrick Rosas,NYG,WAS,3,0,2,0,11.0,K
Greg Zuerlein,LAR,GB,2,0,4,0,10.0,K
Dan Bailey,MIN,NO,2,0,3,0,9.0,K
Randy Bullock,CIN,TB,2,0,3,0,9.0,K
Mason Crosby,GB,@LAR,2,0,3,0,9.0,K
Stephen Gostkowski,NE,@BUF,2,0,3,0,9.0,K
Cody Parkey,CHI,NYJ,2,0,3,0,9.0,K
Justin Tucker,BAL,@CAR,2,0,3,0,9.0,K
Daniel Carlson,OAK,IND,2,0,2,0,8.0,K
Chandler Catanzaro,TB,@CIN,2,0,2,0,8.0,K
Jake Elliott,PHI,@JAC,2,0,2,0,8.0,K
Ka'imi Fairbairn,HOU,MIA,2,0,2,0,8.0,K
Graham Gano,CAR,BAL,2,0,2,0,8.0,K
Robbie Gould,SF,@ARI,2,0,2,0,8.0,K
Dustin Hopkins,WAS,@NYG,2,0,2,0,8.0,K
Sebastian Janikowski,SEA,@DET,2,0,2,0,8.0,K
Greg Joseph,CLE,@PIT,2,0,2,0,8.0,K
Josh Lambo,JAC,PHI,2,0,2,0,8.0,K
Brandon McManus,DEN,@KC,2,0,2,0,8.0,K
Jason Myers,NYJ,@CHI,2,0,2,0,8.0,K
Chris Boswell,PIT,CLE,1,0,4,0,7.0,K
Harrison Butker,KC,DEN,1,0,4,0,7.0,K
Wil Lutz,NO,@MIN,1,0,3,0,6.0,K
Matt Prater,DET,SEA,1,0,3,0,6.0,K
Adam Vinatieri,IND,@OAK,1,0,3,0,6.0,K
Phil Dawson,ARI,SF,1,0,2,0,5.0,K
Jason Sanders,MIA,@HOU,1,0,2,0,5.0,K
Steve Hauschka,BUF,NE,1,0,1,0,4.0,K
