Player,Team,GP,Pass Att,Pass Comp,Pass Inc,Pass Yds,Pass TD,Pass Int,Sacked,300-399 Pass Yds,40+ Pass TD,50+ Pass TD,Rush Att,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,Fum,2PT,Tack,Fum Rec,Fum Yds,POS
Josh Allen,BUF,1.0,26.0,17.0,9.0,224.0,3.0,1.0,1.0,0.0,0.0,0.0,9.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Kyle Allen,CAR,1.0,27.0,16.0,11.0,228.0,2.0,0.0,0.0,0.0,1.0,1.0,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Blake Bortles,JAX,1.0,28.0,15.0,13.0,107.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,QB
Tom Brady,NE,1.0,33.0,24.0,9.0,250.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Teddy Bridgewater,NO,1.0,22.0,14.0,8.0,118.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Derek Carr,OAK,1.0,33.0,24.0,9.0,185.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,QB
Kirk Cousins,MIN,1.0,33.0,20.0,13.0,132.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB
Sam Darnold,NYJ,1.0,28.0,16.0,12.0,167.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,QB
Jeff Driskel,CIN,1.0,24.0,12.0,12.0,95.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,QB
Nick Foles,PHI,1.0,33.0,28.0,5.0,221.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,QB
