Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,184.41,1.03,0.86,47.09,0.36,0.14,0.09,QB
Kyle Allen,CAR,1.0,222.28,1.16,1.2,11.3,0.09,0.07,0.09,QB
Matt Barkley,BUF,1.0,14.73,0.04,0.18,0.01,0.01,0.0,0.03,QB
C.J. Beathard,SF,1.0,18.12,0.05,0.1,0.0,0.01,0.0,0.03,QB
Blake Bortles,JAX,1.0,211.08,0.99,0.76,21.22,0.14,0.07,0.09,QB
Tom Brady,NE,1.0,253.17,1.78,0.48,1.15,0.06,0.03,0.06,QB
Teddy Bridgewater,NO,1.0,252.51,1.63,0.8,22.94,0.23,0.09,0.1,QB
Jacoby Brissett,IND,1.0,8.08,0.03,0.04,0.06,0.01,0.01,0.03,QB
Derek Carr,OAK,1.0,242.36,1.47,0.8,4.15,0.07,0.05,0.09,QB
Matt Cassel,DET,1.0,19.59,0.05,0.07,0.04,0.01,0.01,0.05,QB
Kirk Cousins,MIN,1.0,252.96,1.58,0.85,9.62,0.1,0.07,0.09,QB
Chase Daniel,CHI,1.0,17.54,0.1,0.09,0.01,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,235.19,1.34,1.02,17.49,0.13,0.1,0.05,QB
Joshua Dobbs,PIT,1.0,10.97,0.07,0.07,0.08,0.02,0.01,0.03,QB
Jeff Driskel,CIN,1.0,193.84,1.16,0.77,17.47,0.14,0.08,0.14,QB
Joe Flacco,BAL,1.0,30.56,0.08,0.09,0.05,0.01,0.01,0.04,QB
Nick Foles,PHI,1.0,249.04,1.63,0.83,4.46,0.06,0.06,0.03,QB
Blaine Gabbert,TEN,1.0,201.92,1.12,0.73,20.86,0.11,0.05,0.06,QB
Garrett Gilbert,CAR,1.0,30.02,0.1,0.14,0.14,0.01,0.01,0.04,QB
Mike Glennon,ARI,1.0,10.49,0.04,0.05,0.0,0.0,0.0,0.06,QB
Jared Goff,LAR,1.0,247.03,1.7,0.65,9.15,0.1,0.06,0.09,QB
Chad Henne,KC,1.0,25.96,0.08,0.13,0.15,0.02,0.01,0.02,QB
Taysom Hill,NO,1.0,8.03,0.02,0.07,14.44,0.08,0.04,0.02,QB
Kevin Hogan,DEN,1.0,9.04,0.03,0.07,0.03,0.01,0.01,0.03,QB
Brian Hoyer,NE,1.0,23.06,0.09,0.08,1.1,0.04,0.02,0.01,QB
Brett Hundley,SEA,1.0,8.45,0.07,0.05,0.05,0.02,0.01,0.03,QB
Lamar Jackson,BAL,1.0,169.72,1.01,0.69,73.74,0.42,0.15,0.07,QB
Josh Johnson,WAS,1.0,189.07,1.16,0.99,30.88,0.19,0.16,0.07,QB
Case Keenum,DEN,1.0,223.2,1.21,0.91,6.44,0.1,0.03,0.03,QB
Cody Kessler,JAX,1.0,16.87,0.03,0.07,0.03,0.01,0.01,0.03,QB
DeShone Kizer,GB,1.0,10.0,0.06,0.07,0.04,0.01,0.01,0.03,QB
Andrew Luck,IND,1.0,275.16,1.79,1.06,14.94,0.1,0.12,0.13,QB
Patrick Mahomes,KC,1.0,283.58,2.11,0.7,17.72,0.14,0.06,0.07,QB
Eli Manning,NYG,1.0,229.65,1.34,0.64,0.79,0.05,0.02,0.06,QB
Sean Mannion,LAR,1.0,32.8,0.1,0.08,0.48,0.02,0.01,0.03,QB
Baker Mayfield,CLE,1.0,240.99,1.48,0.98,14.94,0.1,0.09,0.15,QB
AJ McCarron,OAK,1.0,12.96,0.04,0.06,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,10.48,0.03,0.05,0.02,0.0,0.0,0.02,QB
Nick Mullens,SF,1.0,254.93,1.55,1.0,6.94,0.08,0.05,0.07,QB
Brock Osweiler,MIA,1.0,11.99,0.04,0.11,0.28,0.01,0.0,0.06,QB
Dak Prescott,DAL,1.0,116.57,0.9,0.37,5.86,0.11,0.02,0.07,QB
Philip Rivers,LAC,1.0,261.09,1.7,0.7,1.0,0.03,0.02,0.16,QB
Aaron Rodgers,GB,1.0,254.93,1.83,0.63,18.22,0.15,0.05,0.13,QB
Ben Roethlisberger,PIT,1.0,296.1,1.95,0.7,7.23,0.11,0.04,0.22,QB
Josh Rosen,ARI,1.0,180.8,0.9,0.88,9.77,0.1,0.06,0.09,QB
Cooper Rush,DAL,1.0,63.41,0.18,0.42,3.2,0.04,0.02,0.03,QB
Matt Ryan,ATL,1.0,281.99,1.91,0.59,7.21,0.11,0.06,0.09,QB
Mark Sanchez,WAS,1.0,11.59,0.04,0.07,0.78,0.01,0.01,0.03,QB
Tom Savage,CIN,1.0,20.87,0.08,0.06,0.0,0.0,0.0,0.03,QB
Matt Schaub,ATL,1.0,6.35,0.02,0.04,0.0,0.0,0.0,0.1,QB
Trevor Siemian,MIN,1.0,6.61,0.02,0.05,0.06,0.01,0.0,0.03,QB
Geno Smith,LAC,1.0,32.33,0.16,0.14,0.77,0.02,0.02,0.03,QB
Matthew Stafford,DET,1.0,221.63,1.32,0.67,2.95,0.05,0.04,0.06,QB
Nate Sudfeld,PHI,1.0,16.29,0.05,0.1,0.0,0.01,0.01,0.03,QB
Ryan Tannehill,MIA,1.0,183.09,1.12,0.82,11.86,0.09,0.07,0.06,QB
Alex Tanney,NYG,1.0,20.35,0.09,0.1,0.0,0.01,0.01,0.03,QB
Tyrod Taylor,CLE,1.0,8.74,0.06,0.04,0.0,0.01,0.0,0.02,QB
Mitchell Trubisky,CHI,1.0,206.13,1.26,0.72,21.32,0.17,0.08,0.15,QB
Deshaun Watson,HOU,1.0,234.0,1.67,0.64,32.74,0.19,0.07,0.12,QB
Joe Webb,HOU,1.0,33.95,0.13,0.22,0.13,0.02,0.01,0.0,QB
Russell Wilson,SEA,1.0,208.59,1.47,0.7,31.54,0.21,0.01,0.09,QB
Jameis Winston,TB,1.0,249.45,1.6,0.86,22.67,0.17,0.11,0.09,QB
