Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.02,0.0,0.79,9.13,0.06,TE
Mark Andrews,BAL,1.0,0.04,0.0,1.84,21.46,0.16,TE
Dan Arnold,NO,1.0,0.03,0.0,1.58,16.64,0.09,TE
Antony Auclair,TB,1.0,0.05,0.0,0.36,4.26,0.03,TE
Blake Bell,JAX,1.0,0.06,0.0,0.7,7.91,0.04,TE
Nick Boyle,BAL,1.0,0.08,0.0,1.81,16.66,0.1,TE
Cameron Brate,TB,1.0,0.05,0.0,3.22,38.5,0.29,TE
Ben Braunecker,CHI,1.0,0.03,0.0,0.15,1.99,0.02,TE
Daniel Brown,CHI,1.0,0.03,0.0,0.17,1.79,0.01,TE
Trey Burton,CHI,1.0,0.32,0.0,3.07,37.63,0.24,TE
Derek Carrier,OAK,1.0,0.03,0.0,0.52,4.89,0.05,TE
Garrett Celek,SF,1.0,0.02,0.0,0.36,2.96,0.03,TE
Orson Charles,CLE,1.0,0.03,0.0,0.12,1.12,0.02,TE
Charles Clay,BUF,1.0,0.05,0.0,0.93,13.11,0.08,TE
Tyler Conklin,MIN,1.0,0.07,0.0,0.43,4.33,0.07,TE
Jared Cook,OAK,1.0,0.08,0.0,3.52,43.25,0.3,TE
Jason Croom,BUF,1.0,0.08,0.0,1.74,20.61,0.09,TE
Alan Cross,TB,1.0,0.02,0.0,0.27,3.2,0.03,TE
Sean Culkin,LAC,1.0,0.06,0.0,0.03,0.27,0.02,TE
Darrell Daniels,ARI,1.0,0.03,0.0,0.07,0.49,0.01,TE
Vernon Davis,WAS,1.0,0.03,0.0,1.9,20.97,0.15,TE
Seth DeValve,CLE,1.0,0.03,0.0,0.36,4.11,0.04,TE
Garrett Dickerson,NYG,1.0,0.04,0.0,0.12,1.47,0.02,TE
Ed Dickson,SEA,1.0,0.03,0.0,1.15,13.46,0.09,TE
Ross Dwelley,SF,1.0,0.02,0.0,0.18,1.81,0.02,TE
Eric Ebron,IND,1.0,1.74,0.01,4.61,52.7,0.5,TE
Rhett Ellison,NYG,1.0,0.08,0.0,2.53,25.81,0.13,TE
Zach Ertz,PHI,1.0,0.09,0.0,6.02,68.88,0.49,TE
Gerald Everett,LA,1.0,0.04,0.0,2.29,26.35,0.19,TE
Darren Fells,CLE,1.0,0.06,0.0,0.56,5.85,0.06,TE
Anthony Firkser,TEN,1.0,0.03,0.0,1.17,14.53,0.11,TE
Jordan Franks,CIN,1.0,0.02,0.0,0.46,4.45,0.04,TE
Antonio Gates,LAC,1.0,0.02,0.0,2.28,26.24,0.19,TE
Rico Gathers,DAL,1.0,0.03,0.0,0.41,5.27,0.04,TE
Mike Gesicki,MIA,1.0,0.03,0.0,1.01,13.3,0.08,TE
Dallas Goedert,PHI,1.0,0.04,0.0,1.32,14.66,0.1,TE
Jimmy Graham,GB,1.0,0.03,0.0,2.87,31.39,0.21,TE
Virgil Green,LAC,1.0,0.1,0.0,1.46,18.24,0.11,TE
Jermaine Gresham,ARI,1.0,0.06,0.0,1.03,11.71,0.08,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.36,3.91,0.04,TE
Rob Gronkowski,NE,1.0,0.07,0.0,4.43,63.17,0.41,TE
Clark Harris,CIN,1.0,0.02,0.0,0.05,1.37,0.02,TE
Demetrius Harris,KC,1.0,0.03,0.0,1.26,12.53,0.08,TE
Temarrick Hemingway,DEN,1.0,0.03,0.0,0.48,4.12,0.04,TE
Chris Herndon,NYJ,1.0,0.07,0.0,2.64,33.45,0.24,TE
Ryan Hewitt,IND,1.0,0.08,0.0,0.04,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.07,0.0,2.03,24.36,0.17,TE
Josh Hill,NO,1.0,0.26,0.0,1.54,18.35,0.12,TE
Jacob Hollister,NE,1.0,0.09,0.0,0.59,5.65,0.05,TE
Austin Hooper,ATL,1.0,0.09,0.0,3.99,38.36,0.22,TE
Hayden Hurst,BAL,1.0,0.65,0.01,1.09,12.25,0.08,TE
Jesse James,PIT,1.0,0.06,0.0,2.36,26.78,0.17,TE
Blake Jarwin,DAL,1.0,0.03,0.0,1.26,11.64,0.07,TE
Travis Kelce,KC,1.0,0.07,0.0,7.24,92.29,0.67,TE
Lance Kendricks,GB,1.0,0.06,0.0,1.48,15.33,0.1,TE
George Kittle,SF,1.0,0.85,0.0,6.27,78.18,0.47,TE
Ben Koyack,JAX,1.0,0.03,0.0,0.42,4.48,0.04,TE
Matt LaCosse,DEN,1.0,0.09,0.0,3.09,33.16,0.22,TE
Jordan Leggett,NYJ,1.0,0.03,0.0,0.87,9.54,0.05,TE
Matt Lengel,CIN,1.0,0.02,0.0,0.42,4.5,0.04,TE
Marcedes Lewis,GB,1.0,0.03,0.0,0.37,3.81,0.03,TE
Chris Manhertz,CAR,1.0,0.04,0.0,0.14,1.16,0.03,TE
Vance McDonald,PIT,1.0,0.09,0.0,3.17,35.9,0.22,TE
David Njoku,CLE,1.0,0.07,0.0,3.08,36.67,0.3,TE
Nick O'Leary,MIA,1.0,0.06,0.0,1.17,14.87,0.08,TE
James O'Shaughnessy,JAX,1.0,0.06,0.0,2.68,27.04,0.15,TE
Greg Olsen,CAR,1.0,0.05,0.0,3.86,44.48,0.36,TE
Brian Parker,DEN,1.0,0.03,0.0,0.38,3.84,0.04,TE
Logan Paulsen,ATL,1.0,0.06,0.0,0.41,4.49,0.04,TE
John Phillips,ARI,1.0,0.03,0.0,0.16,1.72,0.02,TE
MyCole Pruitt,TEN,1.0,0.03,0.0,0.28,3.15,0.03,TE
Jordan Reed,WAS,1.0,0.09,0.0,4.15,43.15,0.29,TE
Richard Rodgers,PHI,1.0,0.04,0.0,0.42,5.44,0.05,TE
Kyle Rudolph,MIN,1.0,0.04,0.0,3.81,35.67,0.24,TE
Eric Saubert,ATL,1.0,0.03,0.0,0.24,2.92,0.03,TE
Dalton Schultz,DAL,1.0,0.11,0.0,1.4,14.7,0.09,TE
Ricky Seals-Jones,ARI,1.0,0.03,0.0,1.95,22.53,0.11,TE
Adam Shaheen,CHI,1.0,0.05,0.0,0.72,9.47,0.07,TE
Scott Simonson,NYG,1.0,0.11,0.0,0.39,4.0,0.0,TE
Jonnu Smith,TEN,1.0,0.13,0.0,2.06,25.6,0.24,TE
Lee Smith,OAK,1.0,0.03,0.0,0.49,4.91,0.05,TE
Durham Smythe,MIA,1.0,0.03,0.0,0.29,4.63,0.04,TE
Jeremy Sprinkle,WAS,1.0,0.03,0.0,0.11,0.98,0.01,TE
Luke Stocker,TEN,1.0,1.83,0.01,0.65,8.03,0.06,TE
Erik Swoope,IND,1.0,0.03,0.0,1.32,14.82,0.15,TE
Ian Thomas,CAR,1.0,0.02,0.0,0.2,1.65,0.02,TE
Jordan Thomas,HOU,1.0,0.06,0.0,1.15,13.71,0.12,TE
Levine Toilolo,DET,1.0,0.06,0.0,0.64,8.43,0.05,TE
Eric Tomlinson,NYJ,1.0,0.07,0.0,0.56,5.12,0.04,TE
C.J. Uzomah,CIN,1.0,0.05,0.0,2.81,27.67,0.21,TE
Nick Vannett,SEA,1.0,0.05,0.0,2.13,24.54,0.18,TE
Benjamin Watson,NO,1.0,0.03,0.0,1.55,17.19,0.1,TE
Maxx Williams,BAL,1.0,1.29,0.01,0.37,3.66,0.03,TE
Luke Willson,DET,1.0,0.03,0.0,1.25,10.54,0.12,TE
