Player,ATT,CMP,YD,TD,INT,RATE,ATT,YD,AVG,TD,TARGT,RECPT,YD,AVG,TD,FL,FPTS,POS
"Mike Evans, TB",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,10.3,5.9,87.2,14.78,0.7,0.0,12,WR
"Odell Beckham, NYG",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,9.00,0.0,10.1,6.1,83.8,13.74,0.7,0.1,12,WR
"Antonio Brown, PIT",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,4.00,0.0,10.5,7.4,86.7,11.72,0.7,0.1,12,WR
"Doug Baldwin, SEA",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1,-1.00,0.0,7.4,5.4,61.2,11.33,0.6,0.0,9,WR
"Amari Cooper, DAL",0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.0,-0.00,0.0,9,5.6,73.5,13.12,0.4,0.0,9,WR
"T.Y. Hilton, IND",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.00,0.0,9.3,5.4,77.6,14.37,0.4,0.0,9,WR
"Jordy Nelson, OAK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.7,5.3,62.5,11.79,0.6,0.1,9,WR
"Michael Thomas, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,7.4,5.7,66.0,11.58,0.5,0.0,9,WR
"Brandin Cooks, LAR",0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.7,5.40,0.0,7.5,5.3,68.5,12.92,0.5,0.0,9,WR
"Julio Jones, ATL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,8.5,5.6,77.1,13.77,0.3,0.0,8,WR
"Julian Edelman, NE",0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.5,5.00,0.0,9.6,6.1,68.7,11.26,0.5,0.1,8,WR
"Michael Crabtree, BAL",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,9.2,5.6,59.7,10.66,0.6,0.0,8,WR
