player,team,pos,proj,cost
Derek Carr,OAK,QB,10.698333333333334,530.0
Giovani Bernard,CIN,RB,21.01933333333333,170.0
Marshawn Lynch,OAK,RB,12.962666666666665,550.0
Davante Adams,GB,WR,19.104,670.0
Stefon Diggs,MIN,WR,17.947333333333333,450.0
T.Y. Hilton,IND,WR,18.506333333333334,320.0
George Kittle,SF,TE,14.726666666666667,1590.0
Ryan Succop,TEN,K,6.26,390.0
Atlanta Falcons,ATL,DST,1.9580000000000002,250.0
,,,123.18266666666666,4920.0
