Player,FG,FGA,XPT,FPTS,POS
Greg Zuerlein LAR,2.2,2.4,2.9,9.5,K
Harrison Butker KC,2.1,2.4,2.9,9.4,K
Wil Lutz NO,2.0,2.2,3.2,9.2,K
Stephen Gostkowski NE,2.0,2.4,3.0,9.1,K
Brett Maher DAL,2.0,2.4,2.9,8.9,K
Ka'imi Fairbairn HOU,2.2,2.5,2.1,8.7,K
Ryan Succop TEN,2.0,2.3,2.4,8.4,K
Jason Myers NYJ,2.1,2.3,2.1,8.3,K
Greg Joseph CLE,1.9,2.2,2.6,8.3,K
Adam Vinatieri IND,1.8,2.1,3.0,8.3,K
Matt Bryant ATL,1.8,2.0,2.6,8.1,K
Michael Badgley LAC,1.9,2.1,2.3,7.9,K
Sebastian Janikowski SEA,1.6,1.9,3.0,7.8,K
Jake Elliott PHI,1.8,2.2,2.3,7.8,K
Robbie Gould SF,1.9,2.1,1.9,7.7,K
Cody Parkey CHI,1.7,2.1,2.3,7.6,K
Mason Crosby GB,1.7,2.1,2.5,7.6,K
Brandon McManus DEN,1.7,2.0,2.5,7.5,K
Jason Sanders MIA,1.7,2.0,2.1,7.3,K
Justin Tucker BAL,1.7,1.9,2.1,7.3,K
Dan Bailey MIN,1.6,2.0,2.6,7.3,K
Chandler Catanzaro CAR,1.6,2.0,2.2,7.1,K
Aldrick Rosas NYG,1.6,1.9,2.1,7.0,K
Daniel Carlson OAK,1.6,1.9,2.1,6.8,K
Cairo Santos TB,1.6,1.9,1.7,6.5,K
Matt Prater DET,1.6,1.8,1.8,6.5,K
Kai Forbath JAC,1.6,1.9,1.5,6.4,K
Steven Hauschka BUF,1.4,1.7,1.7,6.1,K
Randy Bullock CIN,1.3,1.6,1.8,5.8,K
Zane Gonzalez ARI,1.2,1.6,1.6,5.3,K
Dustin Hopkins WAS,1.3,1.5,1.3,5.2,K
Giorgio Tavecchio ATL,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
