Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Harrison Butker,KC,@SEA,3,0,3,0,12.0,K
Ka'imi Fairbairn,HOU,@PHI,3,0,2,0,11.0,K
Matt Bryant,ATL,@CAR,2,0,3,0,9.0,K
Stephen Gostkowski,NE,BUF,2,0,3,0,9.0,K
Greg Joseph,CLE,CIN,2,0,3,0,9.0,K
Wil Lutz,NO,PIT,2,0,3,0,9.0,K
Brett Maher,DAL,TB,2,0,3,0,9.0,K
Greg Zuerlein,LAR,@ARI,2,0,3,0,9.0,K
Mike Badgley,LAC,BAL,2,0,2,0,8.0,K
Chandler Catanzaro,CAR,ATL,2,0,2,0,8.0,K
Jake Elliott,PHI,HOU,2,0,2,0,8.0,K
Robbie Gould,SF,CHI,2,0,2,0,8.0,K
Brandon McManus,DEN,@OAK,2,0,2,0,8.0,K
Jason Myers,NYJ,GB,2,0,2,0,8.0,K
Cody Parkey,CHI,@SF,2,0,2,0,8.0,K
Jason Sanders,MIA,JAC,2,0,2,0,8.0,K
Ryan Succop,TEN,WAS,2,0,2,0,8.0,K
Kai Forbath,JAC,@MIA,2,0,1,0,7.0,K
Cairo Santos,TB,@DAL,2,0,1,0,7.0,K
Dan Bailey,MIN,@DET,1,0,3,0,6.0,K
Daniel Carlson,OAK,DEN,1,0,3,0,6.0,K
Mason Crosby,GB,@NYJ,1,0,3,0,6.0,K
Sebastian Janikowski,SEA,KC,1,0,3,0,6.0,K
Aldrick Rosas,NYG,@IND,1,0,3,0,6.0,K
Justin Tucker,BAL,@LAC,1,0,3,0,6.0,K
Adam Vinatieri,IND,NYG,1,0,3,0,6.0,K
Chris Boswell,PIT,@NO,1,0,2,0,5.0,K
Randy Bullock,CIN,@CLE,1,0,2,0,5.0,K
Zane Gonzalez,ARI,LAR,1,0,2,0,5.0,K
Steve Hauschka,BUF,@NE,1,0,2,0,5.0,K
Matt Prater,DET,MIN,1,0,2,0,5.0,K
Dustin Hopkins,WAS,@TEN,1,0,1,0,4.0,K
