Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,2.46,0.0,0.47,0.65,0.58,0.3,K
Dan Bailey,MIN,1.0,1.2,0.02,0.48,0.59,0.42,0.17,K
Chris Boswell,PIT,1.0,1.94,0.02,0.48,0.54,0.39,0.15,K
Matt Bryant,ATL,1.0,2.05,0.02,0.48,0.47,0.43,0.28,K
Randy Bullock,CIN,1.0,2.21,0.04,0.48,0.48,0.5,0.21,K
Harrison Butker,KC,1.0,2.77,0.01,0.48,0.53,0.4,0.17,K
Daniel Carlson,OAK,1.0,1.96,0.0,0.48,0.51,0.44,0.17,K
Chandler Catanzaro,CAR,1.0,2.21,0.0,0.5,0.74,0.54,0.14,K
Mason Crosby,GB,1.0,2.09,0.0,0.47,0.55,0.45,0.24,K
Jake Elliott,PHI,1.0,2.46,0.02,0.48,0.47,0.44,0.22,K
Ka'imi Fairbairn,HOU,1.0,2.19,0.04,0.48,0.52,0.42,0.24,K
Kai Forbath,JAX,1.0,1.51,0.04,0.48,0.49,0.46,0.23,K
Zane Gonzalez,ARI,1.0,1.91,0.0,0.48,0.6,0.58,0.2,K
Stephen Gostkowski,NE,1.0,2.29,0.06,0.48,0.56,0.41,0.17,K
Robbie Gould,SF,1.0,1.77,0.02,0.48,0.5,0.46,0.21,K
Stephen Hauschka,BUF,1.0,0.73,0.0,0.48,0.51,0.4,0.24,K
Dustin Hopkins,WAS,1.0,1.0,0.0,0.48,0.46,0.4,0.28,K
Sebastian Janikowski,SEA,1.0,2.44,0.09,0.47,0.47,0.4,0.18,K
Greg Joseph,CLE,1.0,2.66,0.0,0.48,0.49,0.39,0.22,K
Wil Lutz,NO,1.0,2.97,0.02,0.48,0.49,0.45,0.27,K
Brett Maher,DAL,1.0,2.54,0.01,0.48,0.52,0.39,0.22,K
Brandon McManus,DEN,1.0,1.99,0.05,0.48,0.52,0.54,0.2,K
Jason Myers,NYJ,1.0,1.71,0.01,0.47,0.54,0.56,0.26,K
Cody Parkey,CHI,1.0,1.68,0.0,0.48,0.49,0.4,0.14,K
Matt Prater,DET,1.0,2.06,0.02,0.47,0.52,0.57,0.26,K
Aldrick Rosas,NYG,1.0,1.33,0.0,0.48,0.58,0.47,0.26,K
Jason Sanders,MIA,1.0,1.79,0.08,0.48,0.52,0.62,0.2,K
Cairo Santos,TB,1.0,2.43,0.03,0.48,0.58,0.37,0.17,K
Ryan Succop,TEN,1.0,2.51,0.05,0.48,0.58,0.4,0.16,K
Justin Tucker,BAL,1.0,1.79,0.05,0.48,0.51,0.43,0.24,K
Adam Vinatieri,IND,1.0,2.78,0.01,0.48,0.5,0.45,0.24,K
Greg Zuerlein,LA,1.0,2.01,0.03,0.48,0.51,0.45,0.27,K
