Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum Lost,Fum,Tack,Ast,Fum Rec,Fum Yds,POS
Nick Boyle,BAL,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,6.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,TE
Trey Burton,CHI,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,6.0,107.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Darrell Daniels,ARI,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,4.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,6.0,66.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jack Doyle,IND,1.0,6.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,5.0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Coby Fleener,,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Antonio Gates,LAC,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,3.0,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,3.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,4.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Cole Hikutini,MIN,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,6.0,98.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TE
Travis Kelce,KC,1.0,4.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Koyack,JAX,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,4.0,23.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,2.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Chris Manhertz,CAR,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Troy Niklas,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Njoku,CLE,1.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Niles Paul,,1.0,1.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,8.0,64.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,5.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,3.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Julius Thomas,,1.0,3.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,1.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Vannett,SEA,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clive Walford,NYJ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,7.0,63.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,TE
Benjamin Watson,NO,1.0,5.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
