Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jason Witten, Dal TE",@SF,W 40-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Antonio Gates, LAC TE",Den,W 21-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Winslow, NYJ TE",@Mia,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Benjamin Watson, NO TE",@GB,W 26-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Alex Smith, Wsh TE",@Phi,L 24-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vernon Davis, Wsh TE",@Phi,L 24-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcedes Lewis, Jax TE",@Ind,W 27-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony Fasano, Mia TE",NYJ,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Owen Daniels, Den TE",@LAC,L 0-21,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Delanie Walker, Ten TE",@Cle,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Daniel Fells, NYG TE",Sea,L 7-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Olsen, Car TE",@Chi,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Spaeth, Pit TE",Cin,W 29-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Scott Chandler*, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brent Celek, Phi TE",Wsh,W 34-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clark Harris, Cin TE",@Pit,L 14-29,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Fred Davis, Wsh TE",@Phi,L 24-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Martellus Bennett, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Craig Stevens, Ten TE",@Cle,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gary Barnidge, Cle TE",Ten,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jacob Tamme, Atl TE",@NE,L 7-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Davis, NYJ TE",@Mia,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matthew Mulligan, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"David Johnson, Pit TE",Cin,W 29-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Casey, Den TE",@LAC,L 0-21,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Coffman, Ind TE",Jax,L 0-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jared Cook, Oak TE",KC,W 31-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bear Pascoe, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Pettigrew, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"John Phillips, NO TE",@GB,W 26-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Miller*, Chi TE",Car,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Myers, TB TE",@Buf,L 27-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jermaine Gresham, Ari TE",@LAR,L 0-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Gronkowski, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dennis Pitta*, Bal TE",@Min,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jimmy Graham, GB TE",NO,L 17-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ed Dickson, Sea TE",@NYG,W 24-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tony Moeaki, Chi TE",Car,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jim Dray, Ari TE",@LAR,L 0-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Graham, Den TE",@LAC,L 0-21,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clay Harbor, NO TE",@GB,W 26-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Michael Hoomanawanui, NO TE",@GB,W 26-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony McCoy, Sea TE",@NYG,W 24-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Andrew Quarless, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Richie Brockel, Car TE",@Chi,L 3-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jeff Cumberland, LAC TE",Den,W 21-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Logan Paulsen, Atl TE",@NE,L 7-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Lance Kendricks, GB TE",NO,L 17-26,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Housler, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kyle Rudolph, Min TE",Bal,W 24-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bruce Miller, SF TE",Dal,L 10-40,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Virgil Green, LAC TE",Den,W 21-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Luke Stocker, Ten TE",@Cle,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Ausberry, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Charles Clay, Buf TE",TB,W 30-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Niles Paul, Jax TE",@Ind,W 27-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"D.J. Williams, Wsh TE",@Phi,L 24-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jordan Cameron, Mia TE",NYJ,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Julius Thomas, Mia TE",NYJ,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Lee Smith, Oak TE",KC,W 31-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Coby Fleener, NO TE",@GB,W 26-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dwayne Allen, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Orson Charles, KC TE",@Oak,L 30-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ladarius Green, Pit TE",Cin,W 29-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"James Hanna, Dal TE",@SF,W 40-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rhett Ellison, NYG TE",Sea,L 7-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Scruggs, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Celek, SF TE",Dal,L 10-40,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Phillip Supernaw, Ten TE",@Cle,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Beau Brinkley, Ten TE",@Cle,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dominique Jones, Mia TE",NYJ,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Derek Carrier, Oak TE",KC,W 31-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Sean McGrath, LAC TE",Den,W 21-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Ford, Bal TE",@Min,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Cooper Helfet, Oak TE",KC,W 31-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brandon Bostick, NYJ TE",@Mia,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Larry Donnell, Bal TE",@Min,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ifeanyi Momah, Ari TE",@LAR,L 0-33,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tyler Eifert, Cin TE",@Pit,L 14-29,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Ertz, Phi TE",Wsh,W 34-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gavin Escobar, Cle TE",Ten,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Travis Kelce, KC TE",@Oak,L 30-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vance McDonald, Pit TE",Cin,W 29-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jordan Reed, Wsh TE",@Phi,L 24-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ryan Griffin, Hou TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Michael Williams, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Mychal Rivera, Jax TE",@Ind,W 27-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chris Gragg, NYJ TE",@Mia,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Dion Sims, Chi TE",Car,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Levine Toilolo, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Justice Cunningham, LAR TE",Ari,W 33-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Luke Willson, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Josh Hill, NO TE",@GB,W 26-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chris Pantale, Mia TE",NYJ,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Timothy Wright, Det TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Brandon Williams, Ind TE",Jax,L 0-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"MarQueis Gray, Mia TE",NYJ,W 31-28,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Sudfeld, NYJ TE",@Mia,L 28-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jake Stoneburner, LAR TE",Ari,W 33-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jack Doyle, Ind TE",Jax,L 0-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Eric Ebron, Ind TE",Jax,L 0-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"C.J. Fiedorowicz, Hou TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Crockett Gillmore, Bal TE",@Min,L 16-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Richard Rodgers, Phi TE",Wsh,W 34-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jace Amaro, Ten TE",@Cle,W 12-9,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Austin Seferian-Jenkins, Jax TE",@Ind,W 27-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Troy Niklas, NE TE",Atl,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Logan Thomas, Buf TE",TB,W 30-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Darren Fells, Cle TE",Ten,L 9-12,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Brian Leonhardt, Min TE",Bal,W 24-16,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Demetrius Harris, KC TE",@Oak,L 30-31,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Trey Burton, Chi TE",Car,W 17-3,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kyle Nelson, SF TE",Dal,L 10-40,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcel Jensen, Wsh TE",@Phi,L 24-34,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Asante Cleveland, LAC TE",Den,W 21-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Nic Jacobs, Jax TE",@Ind,W 27-0,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Blake Annen, Buf TE",TB,W 30-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
