Player,Team,Salary
Houston Texans,HOU,4400
Jacksonville Jaguars,JAX,3700
New York Giants,NYG,3300
Seattle Seahawks,SEA,4600
New Orleans Saints,NO,3500
New York Jets,NYJ,3700
Baltimore Ravens,BAL,4200
Denver Broncos,DEN,4500
Tampa Bay Buccaneers,TB,3200
Indianapolis Colts,IND,4200
Atlanta Falcons,ATL,3500
New England Patriots,NE,3600
Philadelphia Eagles,PHI,4100
Miami Dolphins,MIA,4100
Los Angeles Rams,LAR,4100
Dallas Cowboys,DAL,3200
Kansas City Chiefs,KC,4300
Los Angeles Chargers,LAC,3300
Carolina Panthers,CAR,3800
Buffalo Bills,BUF,4000
Detroit Lions,DET,3000
Chicago Bears,CHI,4800
Tennessee Titans,TEN,4400
Cincinnati Bengals,CIN,3600
Cleveland Browns,CLE,3200
Green Bay Packers,GB,4400
Arizona Cardinals,ARI,2800
Pittsburgh Steelers,PIT,3600
Minnesota Vikings,MIN,3300
Washington Redskins,WAS,3400
Oakland Raiders,OAK,2000
San Francisco 49ers,SF,3400
