Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Green Bay Packers,DST,GB,15.7,260,1.8,0.8,3.0,0.0,0.32
Tennessee Titans,DST,TEN,15.4,296,1.1,0.7,2.5,0.0,0.29
Chicago Bears,DST,CHI,19.3,321,0.9,0.9,2.9,0.0,0.28
Cleveland Browns,DST,CLE,26.4,359,1.5,1.0,3.2,0.0,0.32
Miami Dolphins,DST,MIA,16.2,301,1.2,0.7,2.3,0.0,0.33
Seattle Seahawks,DST,SEA,21.0,357,1.3,0.8,3.2,0.0,0.34
Kansas City Chiefs,DST,KC,19.4,352,0.7,0.9,2.1,0.0,0.35
Carolina Panthers,DST,CAR,24.5,402,1.5,0.8,2.6,0.0,0.32
Buffalo Bills,DST,BUF,23.1,307,1.6,0.8,2.4,0.0,0.3
Philadelphia Eagles,DST,PHI,16.7,316,1.1,0.6,1.9,0.0,0.26
New England Patriots,DST,NE,19.5,368,0.9,0.7,1.7,0.0,0.29
Los Angeles Rams,DST,LAR,23.2,336,0.8,1.0,2.9,0.0,0.32
Baltimore Ravens,DST,BAL,20.9,315,0.7,0.5,2.4,0.0,0.21
Houston Texans,DST,HOU,22.2,368,0.8,0.8,2.8,0.1,0.26
Denver Broncos,DST,DEN,22.1,313,1.2,0.6,2.5,0.0,0.27
New Orleans Saints,DST,NO,22.4,355,0.8,0.8,2.6,0.0,0.29
Washington Redskins,DST,WAS,24.7,360,0.8,1.1,2.4,0.0,0.22
Arizona Cardinals,DST,ARI,26.3,346,0.5,0.8,3.5,0.0,0.18
New York Jets,DST,NYJ,24.7,317,0.9,0.6,2.5,0.0,0.22
Indianapolis Colts,DST,IND,23.7,345,0.7,1.0,1.8,0.0,0.25
Tampa Bay Buccaneers,DST,TB,26.6,404,0.8,0.7,2.2,0.0,0.23
Los Angeles Chargers,DST,LAC,25.7,421,1.2,0.5,1.4,0.1,0.24
Pittsburgh Steelers,DST,PIT,23.0,380,0.7,0.6,2.3,0.0,0.21
Cincinnati Bengals,DST,CIN,24.3,394,0.8,0.5,2.4,0.0,0.18
New York Giants,DST,NYG,22.3,340,1.0,0.6,1.4,0.0,0.23
Jacksonville Jaguars,DST,JAX,27.4,386,1.3,0.6,2.1,0.1,0.28
Atlanta Falcons,DST,ATL,21.9,339,1.1,0.4,1.2,0.0,0.23
Minnesota Vikings,DST,MIN,29.4,391,0.7,0.8,1.9,0.1,0.23
Detroit Lions,DST,DET,33.9,444,0.6,0.7,2.1,0.1,0.24
San Francisco 49ers,DST,SF,30.3,344,0.6,0.4,2.5,0.0,0.17
Oakland Raiders,DST,OAK,38.8,470,0.9,0.5,1.2,0.0,0.21
