Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Seattle Seahawks,DST,SEA,17.8,296,1.1,0.8,3.4,0.1,0.1,0.2
Green Bay Packers,DST,GB,13.5,281,1.0,0.8,3.3,0.0,0.0,0.2
Denver Broncos,DST,DEN,20.0,331,0.9,0.6,2.9,0.0,0.1,0.30000000000000004
Philadelphia Eagles,DST,PHI,19.8,333,1.0,0.6,2.7,0.1,0.1,0.30000000000000004
Tennessee Titans,DST,TEN,15.3,281,0.9,0.7,2.9,0.0,0.1,0.30000000000000004
Miami Dolphins,DST,MIA,18.0,287,1.2,0.6,2.7,0.0,0.0,0.2
Chicago Bears,DST,CHI,21.5,334,1.0,0.6,3.1,0.0,0.1,0.30000000000000004
Kansas City Chiefs,DST,KC,21.0,367,1.1,0.7,3.3,0.0,0.0,0.2
Los Angeles Rams,DST,LAR,21.8,359,1.0,0.6,3.0,0.1,0.0,0.30000000000000004
Houston Texans,DST,HOU,21.0,386,0.8,0.5,2.7,0.1,0.0,0.30000000000000004
Buffalo Bills,DST,BUF,21.5,344,1.1,0.6,3.1,0.0,0.0,0.1
New England Patriots,DST,NE,21.8,402,0.9,0.6,2.8,0.1,0.1,0.1
Cleveland Browns,DST,CLE,26.5,384,0.8,0.6,2.6,0.0,0.0,0.2
New Orleans Saints,DST,NO,23.0,376,0.9,0.5,2.7,0.0,0.0,0.2
Pittsburgh Steelers,DST,PIT,24.8,420,0.8,0.5,2.4,0.1,0.1,0.2
Cincinnati Bengals,DST,CIN,24.5,388,0.9,0.5,2.5,0.0,0.1,0.1
Indianapolis Colts,DST,IND,24.5,334,1.2,0.6,3.1,0.0,0.0,0.1
Atlanta Falcons,DST,ATL,22.5,352,0.8,0.6,2.5,0.0,0.0,0.1
New York Giants,DST,NYG,22.0,354,0.8,0.5,2.1,0.0,0.1,0.2
New York Jets,DST,NYJ,25.3,339,0.9,0.5,2.3,0.0,0.0,0.1
Washington Redskins,DST,WAS,25.3,379,0.7,0.5,2.5,0.0,0.0,0.1
Baltimore Ravens,DST,BAL,25.0,379,0.7,0.5,2.2,0.1,0.0,0.2
Carolina Panthers,DST,CAR,25.0,411,0.9,0.5,2.7,0.0,0.1,0.1
Los Angeles Chargers,DST,LAC,27.8,412,0.8,0.5,2.4,0.0,0.0,0.2
Jacksonville Jaguars,DST,JAX,21.5,398,0.8,0.5,2.1,0.1,0.0,0.30000000000000004
Tampa Bay Buccaneers,DST,TB,27.5,401,0.7,0.5,2.3,0.0,0.1,0.2
Arizona Cardinals,DST,ARI,27.0,354,0.5,0.3,1.7,0.1,0.0,0.2
Minnesota Vikings,DST,MIN,27.3,399,0.6,0.4,1.9,0.0,0.0,0.1
Dallas Cowboys,DST,DAL,28.5,446,0.7,0.5,2.2,0.0,0.0,0.1
Detroit Lions,DST,DET,31.8,440,0.7,0.5,1.9,0.0,0.1,0.1
San Francisco 49ers,DST,SF,27.8,411,0.8,0.5,2.4,0.0,0.0,0.1
Oakland Raiders,DST,OAK,32.5,469,0.5,0.4,1.8,0.1,0.0,0.1
