Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Green Bay Packers,DST,GB,9.0,0.7,0.3,2.7, ,0.1
Carolina Panthers,DST,CAR,8.3,1.6,0.6,3.0, ,0.30000000000000004
Washington Redskins,DST,WAS,8.1,0.9,0.6,3.3, ,0.2
Los Angeles Rams,DST,LAR,8.1,1.0,0.6,3.3, ,0.2
Kansas City Chiefs,DST,KC,7.7,0.8,0.6,3.3, ,0.2
Miami Dolphins,DST,MIA,7.6,1.0,0.5,2.1, ,0.2
Tennessee Titans,DST,TEN,7.5,0.8,0.4,2.5, ,0.2
Chicago Bears,DST,CHI,7.4,0.9,0.5,3.0, ,0.2
Indianapolis Colts,DST,IND,6.8,0.9,0.6,2.5, ,0.2
Philadelphia Eagles,DST,PHI,6.7,0.9,0.5,2.4, ,0.2
Denver Broncos,DST,DEN,6.7,0.9,0.5,2.5, ,0.2
Houston Texans,DST,HOU,6.6,0.9,0.6,2.9, ,0.2
Atlanta Falcons,DST,ATL,6.5,1.0,0.4,2.1, ,0.2
Seattle Seahawks,DST,SEA,6.5,0.9,0.5,2.0, ,0.2
New Orleans Saints,DST,NO,6.4,0.5,0.5,3.1, ,0.2
New York Jets,DST,NYJ,6.4,0.7,0.5,2.6, ,0.2
Cleveland Browns,DST,CLE,6.4,0.8,0.6,3.0, ,0.2
New York Giants,DST,NYG,6.1,0.9,0.4,2.0, ,0.1
Buffalo Bills,DST,BUF,5.7,0.8,0.5,1.6, ,0.2
Los Angeles Chargers,DST,LAC,5.6,1.0,0.5,2.2, ,0.2
New England Patriots,DST,NE,5.4,0.8,0.5,2.3, ,0.2
Cincinnati Bengals,DST,CIN,5.3,1.0,0.4,2.2, ,0.2
Arizona Cardinals,DST,ARI,5.1,0.3,0.6,3.3, ,0.1
Minnesota Vikings,DST,MIN,4.7,0.8,0.5,2.0, ,0.2
Jacksonville Jaguars,DST,JAX,4.7,1.0,0.4,1.4, ,0.2
Baltimore Ravens,DST,BAL,4.6,0.4,0.4,2.7, ,0.1
Pittsburgh Steelers,DST,PIT,4.3,0.5,0.5,2.2, ,0.1
San Francisco 49ers,DST,SF,4.0,0.4,0.4,2.4, ,0.0
Detroit Lions,DST,DET,3.4,0.5,0.4,2.3, ,0.2
Tampa Bay Buccaneers,DST,TB,3.1,0.5,0.5,2.0, ,0.2
Oakland Raiders,DST,OAK,2.6,0.9,0.3,1.1, ,0.1
Dallas Cowboys,DST,DAL,2.6,0.4,0.5,1.6, ,0.1
