Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Green Bay Packers,DST,GB,15.5,291.0,1.2,0.6,3.0,0.0,0.3
Seattle Seahawks,DST,SEA,19.9,343.6,1.2,0.6,2.7,0.0,0.2
Carolina Panthers,DST,CAR,25.9,409.1,1.4,0.7,2.9,0.0,0.3
Chicago Bears,DST,CHI,18.9,323.3,1.0,0.7,2.9,0.0,0.2
Miami Dolphins,DST,MIA,18.1,319.2,1.1,0.6,2.5,0.0,0.2
Tennessee Titans,DST,TEN,17.3,317.6,0.9,0.6,2.7,0.0,0.2
Philadelphia Eagles,DST,PHI,19.5,336.2,1.0,0.6,2.6,0.0,0.2
Los Angeles Rams,DST,LAR,22.5,356.6,1.1,0.7,3.0,0.0,0.2
Kansas City Chiefs,DST,KC,20.1,348.7,0.9,0.8,2.8,0.0,0.2
Cleveland Browns,DST,CLE,24.5,341.0,1.1,0.7,2.9,0.0,0.2
Denver Broncos,DST,DEN,21.0,329.9,1.2,0.6,2.7,0.0,0.2
Houston Texans,DST,HOU,20.5,339.3,0.9,0.7,2.8,0.1,0.2
New Orleans Saints,DST,NO,22.4,353.8,0.8,0.7,3.0,0.0,0.2
Indianapolis Colts,DST,IND,22.4,349.0,0.9,0.8,2.6,0.0,0.2
Atlanta Falcons,DST,ATL,25.1,373.9,1.0,0.6,2.4,0.0,0.2
Washington Redskins,DST,WAS,22.9,350.6,0.8,0.7,2.7,0.0,0.2
Buffalo Bills,DST,BUF,20.9,302.9,1.0,0.6,2.2,0.0,0.2
New England Patriots,DST,NE,21.5,361.1,0.9,0.7,2.2,0.0,0.2
New York Jets,DST,NYJ,24.5,331.7,0.8,0.6,2.6,0.0,0.2
Los Angeles Chargers,DST,LAC,26.5,417.5,1.1,0.5,1.9,0.1,0.2
Jacksonville Jaguars,DST,JAX,26.6,397.4,1.1,0.6,1.8,0.1,0.2
Arizona Cardinals,DST,ARI,26.7,379.4,0.5,0.7,3.1,0.0,0.1
Cincinnati Bengals,DST,CIN,25.9,409.7,0.9,0.6,2.3,0.0,0.2
Pittsburgh Steelers,DST,PIT,26.4,391.2,0.8,0.6,2.6,0.0,0.1
Tampa Bay Buccaneers,DST,TB,29.1,426.9,0.7,0.7,2.4,0.0,0.2
Detroit Lions,DST,DET,33.6,447.3,0.6,0.6,2.3,0.1,0.2
New York Giants,DST,NYG,25.4,364.9,0.9,0.6,2.2,0.0,0.1
Minnesota Vikings,DST,MIN,27.2,382.9,0.7,0.7,2.0,0.1,0.2
Baltimore Ravens,DST,BAL,22.5,338.8,0.7,0.5,2.5,0.0,0.2
San Francisco 49ers,DST,SF,29.1,361.0,0.6,0.5,2.6,0.0,0.1
Oakland Raiders,DST,OAK,36.2,461.3,0.9,0.5,1.3,0.0,0.2
Dallas Cowboys,DST,DAL,30.2,402.8,0.6,0.6,1.6,0.0,0.1
