Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Dan Bailey,MIN,1.0,2.17,0.02,0.48,0.56,0.39,0.14,K
Randy Bullock,CIN,1.0,2.92,0.02,0.48,0.48,0.41,0.25,K
Harrison Butker,KC,1.0,2.7,0.03,0.48,0.55,0.53,0.21,K
Chandler Catanzaro,CAR,1.0,2.69,0.0,0.48,0.57,0.44,0.15,K
Phil Dawson,ARI,1.0,2.64,0.01,0.48,0.63,0.59,0.19,K
Jake Elliott,PHI,1.0,2.4,0.0,0.48,0.56,0.41,0.16,K
Ka'imi Fairbairn,HOU,1.0,2.18,0.0,0.48,0.45,0.41,0.2,K
Graham Gano,CAR,1.0,1.56,0.03,0.48,0.63,0.53,0.15,K
Stephen Gostkowski,NE,1.0,2.54,0.05,0.48,0.52,0.46,0.21,K
Robbie Gould,SF,1.0,1.19,0.0,0.48,0.55,0.44,0.19,K
Stephen Hauschka,BUF,1.0,2.0,0.0,0.48,0.51,0.61,0.29,K
Dustin Hopkins,WAS,1.0,1.9,0.0,0.48,0.49,0.39,0.23,K
Greg Joseph,CLE,1.0,1.85,0.0,0.48,0.5,0.42,0.2,K
Josh Lambo,JAX,1.0,2.11,0.0,0.48,0.51,0.43,0.25,K
Wil Lutz,NO,1.0,1.8,0.02,0.48,0.5,0.42,0.21,K
Brett Maher,DAL,1.0,2.3,0.0,0.48,0.51,0.41,0.23,K
Brandon McManus,DEN,1.0,1.8,0.04,0.48,0.47,0.53,0.27,K
Jason Myers,NYJ,1.0,2.06,0.0,0.48,0.53,0.42,0.15,K
Cody Parkey,CHI,1.0,3.17,0.0,0.48,0.51,0.44,0.21,K
Matt Prater,DET,1.0,2.12,0.09,0.48,0.5,0.52,0.21,K
Aldrick Rosas,NYG,1.0,1.96,0.02,0.48,0.52,0.43,0.19,K
Jason Sanders,MIA,1.0,2.56,0.01,0.48,0.5,0.48,0.22,K
Ryan Succop,TEN,1.0,1.41,0.05,0.48,0.46,0.45,0.19,K
Giorgio Tavecchio,ATL,1.0,2.73,0.01,0.48,0.54,0.43,0.18,K
Justin Tucker,BAL,1.0,1.54,0.03,0.48,0.58,0.44,0.25,K
Adam Vinatieri,IND,1.0,2.49,0.0,0.48,0.48,0.42,0.26,K
Greg Zuerlein,LA,1.0,2.82,0.07,0.48,0.55,0.46,0.25,K
