Player,FG,FGA,XPT,FPTS,POS
Greg Zuerlein LAR,1.9,2.2,3.6,9.4,K
Harrison Butker KC,1.9,2.2,3.4,9.2,K
Giorgio Tavecchio ATL,2.0,2.4,3.0,9.0,K
Stephen Gostkowski NE,2.0,2.1,2.6,8.5,K
Justin Tucker BAL,1.9,2.1,2.7,8.5,K
Chandler Catanzaro CAR,1.9,2.3,2.5,8.2,K
Adam Vinatieri IND,2.0,2.3,2.3,8.2,K
Josh Lambo JAC,1.9,2.1,2.2,8.1,K
Jake Elliott PHI,1.9,2.2,2.3,8.0,K
Michael Badgley LAC,1.8,2.2,2.5,7.9,K
Jason Myers NYJ,1.9,2.2,2.1,7.8,K
Randy Bullock CIN,1.7,2.0,2.7,7.8,K
Wil Lutz NO,1.9,2.1,2.2,7.7,K
Aldrick Rosas NYG,1.8,2.1,2.2,7.6,K
Brett Maher DAL,1.8,2.1,2.2,7.6,K
Robbie Gould SF,1.9,2.0,2.0,7.6,K
Cody Parkey CHI,1.8,2.0,2.2,7.5,K
Dustin Hopkins WAS,1.8,2.1,2.1,7.5,K
Matt Prater DET,1.7,2.1,2.4,7.4,K
Ryan Succop TEN,1.8,2.1,1.9,7.4,K
Brandon McManus DEN,1.6,1.9,2.4,7.3,K
Ka'imi Fairbairn HOU,1.8,2.1,1.8,7.2,K
Dan Bailey MIN,1.6,2.0,2.5,7.2,K
Greg Joseph CLE,1.5,1.8,2.4,7.0,K
Jason Sanders MIA,1.6,1.7,2.1,6.8,K
Steven Hauschka BUF,1.6,1.8,1.7,6.4,K
Cairo Santos TB,0.0,0.0,0.0,0.0,K
Zane Gonzalez ARI,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
