Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Mike Badgley,LAC,TEN,2,0,3,0,9.0,K
Randy Bullock,CIN,@KC,2,0,3,0,9.0,K
Chandler Catanzaro,TB,CLE,2,0,3,0,9.0,K
Stephen Gostkowski,NE,@CHI,2,0,3,0,9.0,K
Giorgio Tavecchio,ATL,NYG,2,0,3,0,9.0,K
Phil Dawson,ARI,DEN,2,0,2,0,8.0,K
Jake Elliott,PHI,CAR,2,0,2,0,8.0,K
Ka'imi Fairbairn,HOU,@JAC,2,0,2,0,8.0,K
Graham Gano,CAR,@PHI,2,0,2,0,8.0,K
Robbie Gould,SF,LAR,2,0,2,0,8.0,K
Dustin Hopkins,WAS,DAL,2,0,2,0,8.0,K
Josh Lambo,JAC,HOU,2,0,2,0,8.0,K
Wil Lutz,NO,@BAL,2,0,2,0,8.0,K
Brett Maher,DAL,@WAS,2,0,2,0,8.0,K
Jason Myers,NYJ,MIN,2,0,2,0,8.0,K
Cody Parkey,CHI,NE,2,0,2,0,8.0,K
Aldrick Rosas,NYG,@ATL,2,0,2,0,8.0,K
Jason Sanders,MIA,DET,2,0,2,0,8.0,K
Ryan Succop,TEN,@LAC,2,0,2,0,8.0,K
Adam Vinatieri,IND,BUF,2,0,2,0,8.0,K
Harrison Butker,KC,CIN,1,0,4,0,7.0,K
Greg Zuerlein,LAR,@SF,1,0,4,0,7.0,K
Dan Bailey,MIN,@NYJ,1,0,3,0,6.0,K
Greg Joseph,CLE,@TB,1,0,3,0,6.0,K
Brandon McManus,DEN,@ARI,1,0,3,0,6.0,K
Matt Prater,DET,@MIA,1,0,3,0,6.0,K
Justin Tucker,BAL,NO,1,0,3,0,6.0,K
Steve Hauschka,BUF,@IND,1,0,1,0,4.0,K
