Player,Team,Bye,Att,Yard,TD,Rec,Yard,TD,FPts
David Johnson,ARI,9,236,1086,10,66,545,3,241.1
Lamar Miller,HOU,9,275,1265,9,53,416,1,228.1
Adrian Peterson,MIN,6,297,1366,10,33,214,1,224.0
Todd Gurley,LAR,8,278,1281,9,32,245,1,212.6
Ezekiel Elliott,DAL,7,260,1145,9,37,271,1,201.6
Devonta Freeman,ATL,11,206,887,8,59,445,2,193.2
Le'Veon Bell,PIT,8,198,910,7,51,375,3,188.5
Eddie Lacy,GB,4,250,1098,7,31,248,1,182.6
Mark Ingram,NO,5,188,848,8,52,366,2,181.4
LeSean McCoy,BUF,10,245,1077,6,42,312,1,180.9
C.J. Anderson,DEN,11,225,1014,7,37,285,1,177.9
DeMarco Murray,TEN,13,220,967,6,40,295,2,174.2
Doug Martin,TB,6,255,1149,5,32,228,1,173.7
Jamaal Charles,KC,5,189,905,7,38,289,2,173.4
Matt Forte,NYJ,11,218,917,5,49,377,2,171.4
Jeremy Hill,CIN,9,221,927,9,17,115,1,164.2
Latavius Murray,OAK,10,232,1022,6,34,245,0,162.7
Thomas Rawls,SEA,5,205,985,6,22,165,0,151.0
Jeremy Langford,CHI,9,202,809,5,35,276,2,150.5
Jonathan Stewart,CAR,7,220,946,6,15,106,1,147.2
Carlos Hyde,SF,8,217,931,5,33,224,0,145.5
Melvin Gordon,SD,11,216,887,4,38,245,1,143.2
Matt Jones,WAS,9,195,819,5,22,172,1,135.1
Rashad Jennings,NYG,8,173,745,5,33,242,1,134.7
Arian Foster,MIA,8,170,715,5,35,267,1,134.2
Giovani Bernard,CIN,9,150,676,2,51,426,2,134.2
Duke Johnson,CLE,13,132,516,3,64,514,2,133.0
Ryan Mathews,PHI,4,168,755,5,28,206,1,132.1
Ameer Abdullah,DET,10,184,755,4,37,266,1,132.1
Frank Gore,IND,10,182,729,5,26,211,1,130.0
Danny Woodhead,SD,11,81,301,2,78,622,4,128.3
T.J. Yeldon,JAC,5,178,712,3,40,290,1,124.2
Isaiah Crowell,CLE,13,179,771,5,19,156,0,122.7
Charles Sims,TB,6,106,488,2,48,418,3,120.6
DeAngelo Williams,PIT,8,133,585,4,29,229,1,111.4
LeGarrette Blount,NE,9,153,656,7,6,37,0,111.3
Jay Ajayi,MIA,8,150,646,3,28,212,1,109.8
Theo Riddick,DET,10,53,205,0,73,599,3,98.4
Bilal Powell,NYJ,11,83,365,2,44,367,2,97.2
Chris Ivory,JAC,5,142,595,4,19,126,0,96.1
Spencer Ware,KC,5,115,516,4,28,137,1,95.3
Darren Sproles,PHI,4,80,330,3,43,316,2,94.6
Shaun Draughn,SF,8,106,412,3,43,286,1,93.8
Tevin Coleman,ATL,11,108,485,3,21,145,1,87.0
Shane Vereen,NYG,8,47,202,0,58,466,3,84.8
Devontae Booker,DEN,11,106,446,3,20,155,1,84.1
Benny Cunningham,LAR,8,82,346,2,44,275,1,80.1
Chris Thompson,WAS,9,60,272,1,43,316,2,76.8
Terrance West,BAL,8,101,425,3,20,159,0,76.4
Kenneth Dixon,BAL,8,95,416,3,23,146,0,74.2
Javorius Allen,BAL,8,81,325,2,29,229,1,73.4
James White,NE,9,57,215,1,42,327,2,72.2
James Starks,GB,4,107,426,2,20,156,0,70.2
Jordan Howard,CHI,9,104,447,3,10,74,0,70.1
DeAndre Washington,OAK,10,85,376,3,17,132,0,68.8
Derrick Henry,TEN,13,114,456,3,8,47,0,68.3
C.J. Spiller,NO,5,68,265,1,37,267,1,65.2
Christine Michael,SEA,5,106,465,2,10,65,0,65.0
Justin Forsett,BAL,8,104,456,2,11,72,0,64.8
Tim Hightower,NO,5,84,346,3,15,116,0,64.2
Jerick McKinnon,MIN,6,75,336,2,26,166,0,62.2
Alfred Morris,DAL,7,100,401,3,5,29,0,61.0
Robert Turbin,IND,10,71,285,2,21,146,0,55.1
Zach Zenner,DET,10,84,345,3,3,21,0,54.6
Chris Johnson,ARI,9,72,346,2,11,77,0,54.3
Wendell Smallwood,PHI,4,75,329,2,11,86,0,53.5
Mike Tolbert,CAR,7,56,211,2,18,135,1,52.6
C.J. Prosise,SEA,5,33,146,0,39,303,1,50.9
Rob Kelley,WAS,9,71,313,2,13,75,0,50.8
Paul Perkins,NYG,8,72,315,1,14,105,0,48.0
Andre Ellington,ARI,9,50,225,1,20,165,0,45.0
Ka'Deem Carey,CHI,9,57,246,2,9,72,0,43.8
Cameron Artis-Payne,CAR,7,75,313,1,9,63,0,43.6
Dion Lewis,NE,9,46,210,1,12,104,1,43.4
Darren McFadden,DAL,7,43,185,1,17,129,1,43.4
Charcandrick West,KC,5,51,215,2,11,81,0,41.6
Alfred Blue,HOU,9,74,287,1,8,56,0,40.3
Marcel Reece,OAK,10,14,57,0,27,210,2,38.7
Tyler Ervin,HOU,9,43,136,1,26,177,0,37.3
Antonio Andrews,TEN,13,41,187,1,15,118,0,36.5
Mike Gillislee,BUF,10,50,228,1,9,77,0,36.5
Reggie Bush,BUF,10,37,169,1,14,113,0,34.2
D.J. Foster,NE,9,42,184,1,9,66,0,31.0
Kenyan Drake,MIA,8,35,146,1,11,85,0,29.1
Jonathan Williams,BUF,10,36,155,1,4,26,0,24.1
Jordan Todman,IND,10,35,147,0,13,88,0,23.5
Brandon Bolden,NE,9,51,189,0,7,45,0,23.4
Orleans Darkwa,NYG,8,31,121,1,3,26,0,20.7
Denard Robinson,JAC,5,22,81,0,11,85,0,16.6
Jamize Olawale,OAK,10,22,86,0,12,79,0,16.5
Mike James,TB,6,31,138,0,3,22,0,16.0
Lance Dunbar,DAL,7,29,114,0,4,26,0,14.0
Jonathan Grimes,HOU,9,29,112,0,3,20,0,13.2
Mike Davis,SF,8,23,101,0,4,29,0,13.0
Zach Line,MIN,6,3,14,0,13,82,0,9.6
Rex Burkhead,CIN,9,3,11,0,12,82,0,9.3
Patrick DiMarco,ATL,11,1,5,0,11,85,0,9.0
Andre Williams,SD,11,17,76,0,2,13,0,8.9
Kenjon Barner,PHI,4,18,77,0,1,11,0,8.8
Matt Asiata,MIN,6,20,86,0,0,0,0,8.6
Darius Jackson,DAL,7,17,76,0,1,9,0,8.5
Taiwan Jones,OAK,10,8,35,0,6,50,0,8.5
Fitzgerald Toussaint,PIT,8,18,77,0,1,6,0,8.3
Terron Ward,ATL,11,17,72,0,1,6,0,7.8
Derek Watt,SD,11,7,29,0,6,46,0,7.5
Anthony Sherman,KC,5,2,7,0,8,56,0,6.3
Stepfan Taylor,ARI,9,8,44,0,1,11,0,5.5
Malcolm Brown,LAR,8,11,44,0,1,6,0,5.0
Damien Williams,MIA,8,7,26,0,3,19,0,4.5
Fozzy Whittaker,CAR,7,9,44,0,0,0,0,4.4
Daryl Richardson,PIT,8,8,26,0,1,3,0,2.9
Jay Prosch,HOU,9,6,26,0,0,0,0,2.6
De'Anthony Thomas,KC,5,1,4,0,2,17,0,2.1
Dwayne Washington,DET,10,3,11,0,0,3,0,1.4
Marcus Murphy,NO,5,3,14,0,0,0,0,1.4
Tre Mason,LAR,8,2,10,0,0,3,0,1.3
