Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,Blk,TD
Buffalo Bills,DST,BUF,18.5,324,1.2,0.7,3.5,0.0,0.0,0.1
Jacksonville Jaguars,DST,JAX,14.5,293,1.1,0.7,3.0,0.1,0.0,0.30000000000000004
Houston Texans,DST,HOU,19.3,324,0.9,0.6,3.2,0.1,0.0,0.30000000000000004
Seattle Seahawks,DST,SEA,21.8,355,1.0,0.7,3.1,0.1,0.1,0.2
Baltimore Ravens,DST,BAL,18.0,349,1.0,0.7,3.1,0.1,0.0,0.2
Atlanta Falcons,DST,ATL,17.3,308,1.0,0.7,3.2,0.0,0.0,0.2
Minnesota Vikings,DST,MIN,18.8,344,0.9,0.5,2.8,0.1,0.0,0.30000000000000004
Los Angeles Rams,DST,LAR,19.3,330,1.0,0.5,2.9,0.1,0.0,0.30000000000000004
Chicago Bears,DST,CHI,22.0,325,1.0,0.6,2.8,0.0,0.1,0.30000000000000004
Detroit Lions,DST,DET,21.0,320,1.0,0.7,2.9,0.0,0.1,0.1
Cleveland Browns,DST,CLE,24.3,375,0.8,0.6,2.7,0.0,0.0,0.30000000000000004
Tennessee Titans,DST,TEN,20.8,346,0.8,0.6,2.6,0.0,0.1,0.2
New York Giants,DST,NYG,22.3,356,0.9,0.5,2.4,0.0,0.1,0.2
Washington Redskins,DST,WAS,22.0,321,0.8,0.6,2.8,0.0,0.0,0.2
New Orleans Saints,DST,NO,22.8,365,0.8,0.5,2.6,0.0,0.0,0.2
Denver Broncos,DST,DEN,22.8,385,0.8,0.6,2.7,0.0,0.1,0.30000000000000004
New England Patriots,DST,NE,27.0,413,0.8,0.5,2.5,0.1,0.1,0.1
Dallas Cowboys,DST,DAL,23.3,377,0.9,0.6,2.7,0.0,0.0,0.1
Cincinnati Bengals,DST,CIN,22.0,373,0.8,0.5,2.4,0.0,0.1,0.1
Green Bay Packers,DST,GB,24.5,383,0.8,0.6,2.4,0.0,0.0,0.1
New York Jets,DST,NYJ,24.8,372,0.9,0.5,2.3,0.0,0.0,0.1
Arizona Cardinals,DST,ARI,26.3,367,0.7,0.4,2.2,0.1,0.0,0.2
Miami Dolphins,DST,MIA,26.3,385,0.9,0.4,2.0,0.0,0.0,0.1
Tampa Bay Buccaneers,DST,TB,26.5,357,0.6,0.5,2.3,0.0,0.1,0.2
Indianapolis Colts,DST,IND,23.3,384,1.0,0.5,2.6,0.0,0.0,0.1
Oakland Raiders,DST,OAK,23.5,354,0.7,0.6,2.4,0.1,0.0,0.1
Pittsburgh Steelers,DST,PIT,28.5,411,0.7,0.4,2.2,0.1,0.1,0.2
Philadelphia Eagles,DST,PHI,32.8,437,0.7,0.4,2.0,0.0,0.1,0.1
Kansas City Chiefs,DST,KC,25.5,418,0.8,0.5,2.2,0.0,0.0,0.1
Los Angeles Chargers,DST,LAC,29.0,457,0.7,0.4,2.0,0.0,0.0,0.2
San Francisco 49ers,DST,SF,22.3,403,0.7,0.5,2.1,0.0,0.0,0.1
Carolina Panthers,DST,CAR,27.8,428,0.7,0.5,2.3,0.0,0.1,0.1
