Player,Team,GP,Sack,Int,Fum Rec,Fum Forc,TD,Blk,Return Yds,PA,Pts Allow 0,Pts Allow 7-13,Pts Allow 14-20,Pts Allow 21-27,Pts Allow 28-34,Pts Allowed 35+,YdA,100-199 Yds Allow,200-299 Yds Allow,300-399 Yds Allow,400-449 Yds Allow,Team Def 2pt Ret,POS
San Francisco 49ers,SF,1.0,3.0,0.0,0.0,1.0,1.0,0.0,143.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,385.0,0.0,0.0,1.0,0.0,0.0,DST
Chicago Bears,CHI,1.0,5.0,1.0,0.0,0.0,0.0,0.0,128.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,323.0,0.0,0.0,1.0,0.0,0.0,DST
Cincinnati Bengals,CIN,1.0,5.0,0.0,2.0,2.0,0.0,0.0,172.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,297.0,0.0,1.0,0.0,0.0,0.0,DST
Buffalo Bills,BUF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,313.0,0.0,0.0,1.0,0.0,0.0,DST
Denver Broncos,DEN,1.0,2.0,1.0,1.0,1.0,0.0,0.0,35.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,309.0,0.0,0.0,1.0,0.0,0.0,DST
Cleveland Browns,CLE,1.0,2.0,2.0,0.0,0.0,0.0,0.0,57.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,270.0,0.0,1.0,0.0,0.0,0.0,DST
Tampa Bay Buccaneers,TB,1.0,2.0,0.0,2.0,0.0,0.0,0.0,102.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,DST
Arizona Cardinals,ARI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,435.0,0.0,0.0,0.0,1.0,0.0,DST
Los Angeles Chargers,LAC,1.0,2.0,0.0,0.0,0.0,0.0,0.0,47.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,294.0,0.0,1.0,0.0,0.0,0.0,DST
Kansas City Chiefs,KC,1.0,5.0,2.0,0.0,1.0,0.0,0.0,104.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,407.0,0.0,0.0,0.0,1.0,0.0,DST
Indianapolis Colts,IND,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,292.0,0.0,1.0,0.0,0.0,0.0,DST
Dallas Cowboys,DAL,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,370.0,0.0,0.0,1.0,0.0,0.0,DST
