Player,Team,Salary
Atlanta Falcons,ATL,2700
Indianapolis Colts,IND,2600
Tennessee Titans,TEN,2600
Washington Redskins,WAS,2400
Minnesota Vikings,MIN,3100
New Orleans Saints,NO,2700
Carolina Panthers,CAR,2000
Cincinnati Bengals,CIN,2500
Jacksonville Jaguars,JAX,3400
San Francisco 49ers,SF,2000
Kansas City Chiefs,KC,2200
Chicago Bears,CHI,2900
Denver Broncos,DEN,2500
Tampa Bay Buccaneers,TB,2200
Philadelphia Eagles,PHI,2000
Cleveland Browns,CLE,2800
Pittsburgh Steelers,PIT,2400
New England Patriots,NE,2200
Baltimore Ravens,BAL,3000
Miami Dolphins,MIA,2100
New York Jets,NYJ,2100
Houston Texans,HOU,3600
Seattle Seahawks,SEA,3300
Buffalo Bills,BUF,2800
Green Bay Packers,GB,2300
Oakland Raiders,OAK,2400
Detroit Lions,DET,2500
Dallas Cowboys,DAL,2300
New York Giants,NYG,2600
Arizona Cardinals,ARI,2200
Los Angeles Rams,LAR,2700
Los Angeles Chargers,LAC,2100
