Player,POS,Team,PA,YdA,Int,Fum Rec,Sack,Saf,TD
Los Angeles Rams,DST,LAR,16.8,313.0,1.2,0.7,2.8,0.0,0.3
New England Patriots,DST,NE,19.2,374.6,1.4,0.6,2.1,0.0,0.3
Denver Broncos,DST,DEN,19.9,346.8,0.9,0.7,3.0,0.1,0.2
Tennessee Titans,DST,TEN,19.0,340.9,0.9,0.6,2.9,0.0,0.3
Minnesota Vikings,DST,MIN,18.2,316.3,1.0,0.6,2.8,0.0,0.2
Chicago Bears,DST,CHI,18.4,310.2,0.8,0.8,2.9,0.0,0.2
Jacksonville Jaguars,DST,JAX,18.2,287.6,1.2,0.5,2.6,0.0,0.2
Atlanta Falcons,DST,ATL,22.3,348.8,1.4,0.6,2.7,0.0,0.3
Cleveland Browns,DST,CLE,20.5,339.3,1.2,0.7,2.5,0.0,0.2
Dallas Cowboys,DST,DAL,22.7,358.7,1.1,0.7,2.4,0.1,0.2
New York Jets,DST,NYJ,25.9,397.5,1.1,0.6,2.7,0.0,0.2
Baltimore Ravens,DST,BAL,23.2,350.8,1.1,0.6,2.8,0.0,0.2
Houston Texans,DST,HOU,21.4,318.4,1.2,0.7,2.3,0.0,0.2
Philadelphia Eagles,DST,PHI,26.8,398.2,1.0,0.7,2.8,0.1,0.2
Indianapolis Colts,DST,IND,21.1,358.6,0.8,0.7,3.1,0.0,0.2
Kansas City Chiefs,DST,KC,27.0,425.4,0.9,0.7,2.6,0.0,0.3
Seattle Seahawks,DST,SEA,25.7,389.8,1.0,0.8,2.5,0.0,0.2
New Orleans Saints,DST,NO,24.4,386.3,1.1,0.6,2.4,0.0,0.2
Green Bay Packers,DST,GB,22.5,334.8,1.1,0.6,2.4,0.1,0.2
Los Angeles Chargers,DST,LAC,23.6,362.8,1.1,0.5,2.3,0.0,0.2
Washington Redskins,DST,WAS,23.8,357.8,0.7,0.7,2.7,0.1,0.2
Detroit Lions,DST,DET,23.2,347.8,0.9,0.7,2.5,0.0,0.2
Carolina Panthers,DST,CAR,28.0,408.3,0.8,0.8,2.1,0.0,0.2
Miami Dolphins,DST,MIA,22.3,368.1,0.8,0.7,2.3,0.0,0.2
Arizona Cardinals,DST,ARI,28.7,389.3,0.8,0.7,2.5,0.0,0.2
New York Giants,DST,NYG,25.4,374.7,1.1,0.5,2.0,0.0,0.2
Tampa Bay Buccaneers,DST,TB,28.2,378.7,0.8,0.7,2.4,0.0,0.2
Buffalo Bills,DST,BUF,25.3,331.8,0.8,0.7,2.3,0.0,0.2
Cincinnati Bengals,DST,CIN,22.7,346.5,0.8,0.6,2.1,0.0,0.2
Oakland Raiders,DST,OAK,25.8,388.5,0.9,0.6,1.9,0.0,0.2
San Francisco 49ers,DST,SF,24.7,346.9,0.8,0.5,2.3,0.0,0.1
Pittsburgh Steelers,DST,PIT,29.4,390.2,0.6,0.7,2.2,0.0,0.2
