Player,POS,Team,PA,Int,Fum Rec,Sack,Status,TD
Houston Texans,DST,HOU,9.2,1.4,0.6,2.4, ,0.2
Atlanta Falcons,DST,ATL,9.0,0.9,0.4,2.2, ,0.2
Washington Redskins,DST,WAS,8.5,0.7,0.6,3.2, ,0.2
Jacksonville Jaguars,DST,JAX,8.4,1.3,0.4,2.5, ,0.1
Buffalo Bills,DST,BUF,7.7,0.9,0.6,2.3, ,0.2
Baltimore Ravens,DST,BAL,7.4,1.3,0.5,3.2, ,0.2
Los Angeles Rams,DST,LAR,7.2,1.0,0.6,2.5, ,0.2
Minnesota Vikings,DST,MIN,6.8,0.8,0.4,2.3, ,0.1
Detroit Lions,DST,DET,6.2,0.8,0.4,2.6, ,0.1
New York Giants,DST,NYG,6.2,0.9,0.4,2.4, ,0.1
Tennessee Titans,DST,TEN,6.0,0.6,0.4,2.7, ,0.2
Chicago Bears,DST,CHI,6.0,0.7,0.6,3.1, ,0.2
Tampa Bay Buccaneers,DST,TB,5.9,0.7,0.4,2.4, ,0.2
Indianapolis Colts,DST,IND,5.9,0.6,0.5,3.4, ,0.2
Denver Broncos,DST,DEN,5.8,0.8,0.6,2.6, ,0.2
Seattle Seahawks,DST,SEA,5.8,0.9,0.6,2.2, ,0.2
New Orleans Saints,DST,NO,5.6,0.8,0.6,2.6, ,0.2
New England Patriots,DST,NE,5.6,1.1,0.5,1.7, ,0.2
Kansas City Chiefs,DST,KC,5.5,0.6,0.6,2.4, ,0.2
Green Bay Packers,DST,GB,5.4,0.7,0.3,2.1, ,0.1
New York Jets,DST,NYJ,5.3,0.6,0.6,2.6, ,0.2
Dallas Cowboys,DST,DAL,5.3,0.9,0.6,1.7, ,0.2
Cleveland Browns,DST,CLE,5.2,0.8,0.6,2.2, ,0.2
Arizona Cardinals,DST,ARI,5.2,0.4,0.6,2.9, ,0.1
Philadelphia Eagles,DST,PHI,5.0,0.9,0.6,2.5, ,0.2
San Francisco 49ers,DST,SF,4.9,0.4,0.4,2.4, ,0.0
Cincinnati Bengals,DST,CIN,4.8,0.7,0.4,2.4, ,0.2
Miami Dolphins,DST,MIA,4.5,0.8,0.5,1.6, ,0.2
Pittsburgh Steelers,DST,PIT,4.5,0.5,0.5,2.2, ,0.2
Los Angeles Chargers,DST,LAC,4.3,0.8,0.4,2.3, ,0.2
Oakland Raiders,DST,OAK,4.1,0.6,0.3,1.2, ,0.1
Carolina Panthers,DST,CAR,3.1,0.5,0.6,1.6, ,0.2
