Player,Team,GP,Sack,Int,Fum Rec,Saf,TD,Blk,PA,POS
San Francisco 49ers,SF,1.0,2.31,0.82,0.62,0.05,0.1,0.07,21.96,DST
Chicago Bears,CHI,1.0,2.45,1.03,0.57,0.05,0.16,0.08,17.2,DST
Cincinnati Bengals,CIN,1.0,2.13,0.81,0.62,0.03,0.12,0.1,18.13,DST
Buffalo Bills,BUF,1.0,2.41,0.8,0.56,0.04,0.12,0.07,22.59,DST
Denver Broncos,DEN,1.0,2.4,0.99,0.59,0.04,0.13,0.11,18.25,DST
Cleveland Browns,CLE,1.0,2.23,0.84,0.63,0.03,0.1,0.09,24.4,DST
Tampa Bay Buccaneers,TB,1.0,2.72,0.88,0.69,0.03,0.11,0.09,27.76,DST
Arizona Cardinals,ARI,1.0,2.25,0.78,0.6,0.03,0.11,0.07,24.94,DST
Los Angeles Chargers,LAC,1.0,2.03,0.79,0.62,0.02,0.11,0.07,23.24,DST
Kansas City Chiefs,KC,1.0,2.1,0.84,0.69,0.03,0.13,0.08,20.31,DST
Indianapolis Colts,IND,1.0,2.8,0.78,0.68,0.06,0.12,0.07,21.82,DST
Dallas Cowboys,DAL,1.0,2.0,0.91,0.64,0.02,0.1,0.08,23.72,DST
Miami Dolphins,MIA,1.0,2.13,0.92,0.56,0.03,0.09,0.09,26.03,DST
Philadelphia Eagles,PHI,1.0,2.17,0.85,0.65,0.03,0.1,0.08,25.67,DST
Atlanta Falcons,ATL,1.0,2.55,1.11,0.61,0.05,0.11,0.08,17.87,DST
New York Giants,NYG,1.0,2.7,0.86,0.64,0.06,0.12,0.07,19.13,DST
Jacksonville Jaguars,JAX,1.0,2.63,1.14,0.73,0.04,0.12,0.07,20.51,DST
New York Jets,NYJ,1.0,2.66,0.77,0.53,0.06,0.1,0.1,22.75,DST
Detroit Lions,DET,1.0,2.89,0.95,0.73,0.03,0.12,0.09,21.11,DST
Green Bay Packers,GB,1.0,2.18,1.11,0.61,0.04,0.09,0.08,26.38,DST
Carolina Panthers,CAR,1.0,1.73,0.81,0.68,0.03,0.14,0.09,23.07,DST
New England Patriots,NE,1.0,1.79,0.76,0.62,0.02,0.11,0.12,25.12,DST
Oakland Raiders,OAK,1.0,2.13,0.76,0.62,0.04,0.1,0.1,24.3,DST
Los Angeles Rams,LAR,1.0,2.25,0.88,0.73,0.03,0.14,0.11,20.96,DST
Baltimore Ravens,BAL,1.0,2.45,1.13,0.73,0.05,0.13,0.08,17.48,DST
Washington Redskins,WAS,1.0,3.31,0.89,0.57,0.05,0.11,0.08,24.2,DST
New Orleans Saints,NO,1.0,2.45,1.03,0.62,0.03,0.13,0.1,20.18,DST
Seattle Seahawks,SEA,1.0,2.25,0.95,0.69,0.03,0.11,0.09,21.33,DST
Pittsburgh Steelers,PIT,1.0,2.28,0.76,0.61,0.03,0.11,0.09,21.02,DST
Houston Texans,HOU,1.0,2.65,1.03,0.66,0.03,0.11,0.08,20.36,DST
Tennessee Titans,TEN,1.0,2.42,0.81,0.54,0.03,0.11,0.08,22.21,DST
Minnesota Vikings,MIN,1.0,2.75,0.81,0.56,0.05,0.11,0.06,18.16,DST
