Player,OPP,STATUS ET,TT,SCK,FF,FR,INT,ITD,FTD,PTS,POS
Falcons D/ST D/ST,@NYJ,W 25-20,--,--,--,--,--,--,--,--,DST
Bills D/ST D/ST,Oak,W 34-14,--,--,--,--,--,--,--,--,DST
Bears D/ST D/ST,@NO,L 12-20,--,--,--,--,--,--,--,--,DST
Bengals D/ST D/ST,Ind,W 24-23,--,--,--,--,--,--,--,--,DST
Browns D/ST D/ST,Min,L 16-33,--,--,--,--,--,--,--,--,DST
Cowboys D/ST D/ST,@Wsh,W 33-19,--,--,--,--,--,--,--,--,DST
Broncos D/ST D/ST,@KC,L 19-29,--,--,--,--,--,--,--,--,DST
Lions D/ST D/ST,Pit,L 15-20,--,--,--,--,--,--,--,--,DST
Packers D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Titans D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Colts D/ST D/ST,@Cin,L 23-24,--,--,--,--,--,--,--,--,DST
Chiefs D/ST D/ST,Den,W 29-19,--,--,--,--,--,--,--,--,DST
Raiders D/ST D/ST,@Buf,L 14-34,--,--,--,--,--,--,--,--,DST
Rams D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Dolphins D/ST D/ST,@Bal,L 0-40,--,--,--,--,--,--,--,--,DST
Vikings D/ST D/ST,@Cle,W 33-16,--,--,--,--,--,--,--,--,DST
Patriots D/ST D/ST,LAC,W 21-13,--,--,--,--,--,--,--,--,DST
Saints D/ST D/ST,Chi,W 20-12,--,--,--,--,--,--,--,--,DST
Giants D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Jets D/ST D/ST,Atl,L 20-25,--,--,--,--,--,--,--,--,DST
Eagles D/ST D/ST,SF,W 33-10,--,--,--,--,--,--,--,--,DST
Cardinals D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Steelers D/ST D/ST,@Det,W 20-15,--,--,--,--,--,--,--,--,DST
Chargers D/ST D/ST,@NE,L 13-21,--,--,--,--,--,--,--,--,DST
49ers D/ST D/ST,@Phi,L 10-33,--,--,--,--,--,--,--,--,DST
Seahawks D/ST D/ST,Hou,W 41-38,--,--,--,--,--,--,--,--,DST
Buccaneers D/ST D/ST,Car,L 3-17,--,--,--,--,--,--,--,--,DST
Redskins D/ST D/ST,Dal,L 19-33,--,--,--,--,--,--,--,--,DST
Panthers D/ST D/ST,@TB,W 17-3,--,--,--,--,--,--,--,--,DST
Jaguars D/ST D/ST,** BYE **,--,--,--,--,--,--,--,--,,DST
Ravens D/ST D/ST,Mia,W 40-0,--,--,--,--,--,--,--,--,DST
Texans D/ST D/ST,@Sea,L 38-41,--,--,--,--,--,--,--,--,DST
