Player,Team,GP,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,Fum Lost,2PT,POS
Josh Allen,BUF,1.0,187.91,0.98,0.84,29.87,0.21,0.15,0.08,QB
C.J. Beathard,SF,1.0,231.48,1.24,1.0,24.57,0.19,0.1,0.07,QB
Blake Bortles,JAX,1.0,253.41,1.56,0.82,25.35,0.16,0.05,0.13,QB
Tom Brady,NE,1.0,307.41,1.94,0.55,4.34,0.1,0.03,0.13,QB
Jacoby Brissett,IND,1.0,12.23,0.05,0.06,0.04,0.01,0.01,0.03,QB
Derek Carr,OAK,1.0,261.89,1.69,0.79,5.52,0.08,0.07,0.19,QB
Kirk Cousins,MIN,1.0,264.65,1.8,0.75,9.79,0.12,0.09,0.06,QB
Andy Dalton,CIN,1.0,265.06,1.96,0.89,6.59,0.07,0.06,0.0,QB
Chase Daniel,CHI,1.0,10.84,0.03,0.07,0.0,0.01,0.01,0.02,QB
Sam Darnold,NYJ,1.0,226.79,1.24,0.9,10.88,0.11,0.07,0.07,QB
Joshua Dobbs,PIT,1.0,13.26,0.07,0.1,0.02,0.01,0.01,0.04,QB
Jeff Driskel,CIN,1.0,14.13,0.04,0.09,0.04,0.01,0.01,0.04,QB
Ryan Fitzpatrick,TB,1.0,15.38,0.08,0.07,0.06,0.01,0.0,0.02,QB
Joe Flacco,BAL,1.0,242.63,1.3,0.98,6.52,0.07,0.04,0.13,QB
Nick Foles,PHI,1.0,11.88,0.05,0.07,0.06,0.0,0.0,0.03,QB
Blaine Gabbert,TEN,1.0,13.42,0.04,0.09,0.0,0.01,0.0,0.03,QB
Mike Glennon,ARI,1.0,10.62,0.07,0.07,0.0,0.0,0.0,0.06,QB
Jared Goff,LA,1.0,279.49,1.87,0.83,8.33,0.11,0.07,0.04,QB
Taylor Heinicke,CAR,1.0,14.81,0.04,0.08,0.02,0.01,0.01,0.03,QB
Chad Henne,KC,1.0,10.45,0.03,0.04,0.14,0.0,0.01,0.02,QB
Brian Hoyer,NE,1.0,7.32,0.03,0.04,0.0,0.02,0.01,0.01,QB
Brett Hundley,SEA,1.0,12.87,0.05,0.07,0.04,0.01,0.01,0.03,QB
Lamar Jackson,BAL,1.0,32.47,0.12,0.11,1.25,0.04,0.03,0.03,QB
Case Keenum,DEN,1.0,237.24,1.35,0.98,3.83,0.07,0.04,0.03,QB
Chad Kelly,,1.0,13.08,0.05,0.12,0.07,0.01,0.01,0.04,QB
Cody Kessler,JAX,1.0,13.12,0.04,0.05,0.0,0.0,0.0,0.03,QB
DeShone Kizer,GB,1.0,18.56,0.07,0.08,0.09,0.02,0.01,0.03,QB
Andrew Luck,IND,1.0,278.72,1.83,0.98,8.19,0.11,0.09,0.13,QB
Patrick Mahomes,KC,1.0,301.56,2.05,0.96,18.29,0.13,0.09,0.07,QB
Eli Manning,NYG,1.0,266.63,1.63,0.85,3.58,0.05,0.03,0.06,QB
Sean Mannion,LA,1.0,10.05,0.03,0.05,0.06,0.0,0.0,0.03,QB
Marcus Mariota,TEN,1.0,205.78,1.06,0.76,34.65,0.2,0.09,0.03,QB
Baker Mayfield,CLE,1.0,248.4,1.35,1.16,13.26,0.11,0.09,0.08,QB
AJ McCarron,OAK,1.0,9.47,0.03,0.04,0.0,0.0,0.0,0.03,QB
Josh McCown,NYJ,1.0,20.38,0.08,0.09,0.0,0.01,0.01,0.02,QB
Colt McCoy,WAS,1.0,9.94,0.03,0.09,0.0,0.0,0.0,0.03,QB
Nick Mullens,SF,1.0,16.4,0.05,0.09,0.02,0.01,0.01,0.04,QB
Cam Newton,CAR,1.0,218.13,1.16,0.83,46.21,0.36,0.04,0.13,QB
Brock Osweiler,MIA,1.0,14.31,0.03,0.09,0.01,0.01,0.0,0.06,QB
Nathan Peterman,OAK,1.0,6.69,0.02,0.08,0.0,0.0,0.0,0.03,QB
Dak Prescott,DAL,1.0,199.97,1.1,0.88,22.78,0.16,0.03,0.07,QB
Philip Rivers,LAC,1.0,282.34,1.97,0.84,2.44,0.04,0.02,0.06,QB
Aaron Rodgers,GB,1.0,278.94,2.13,0.58,14.04,0.12,0.06,0.1,QB
Ben Roethlisberger,PIT,1.0,303.58,1.93,0.99,8.34,0.09,0.06,0.19,QB
Josh Rosen,ARI,1.0,212.96,1.09,0.9,12.65,0.1,0.08,0.08,QB
Cooper Rush,DAL,1.0,7.79,0.03,0.07,0.32,0.01,0.01,0.03,QB
Matt Ryan,ATL,1.0,312.47,2.03,0.71,12.12,0.12,0.06,0.09,QB
Matt Schaub,ATL,1.0,11.31,0.06,0.08,0.01,0.01,0.0,0.1,QB
Trevor Siemian,MIN,1.0,23.6,0.04,0.1,0.2,0.01,0.0,0.03,QB
Alex Smith,WAS,1.0,259.6,1.76,0.53,17.16,0.13,0.02,0.06,QB
Geno Smith,LAC,1.0,9.96,0.04,0.08,0.04,0.0,0.01,0.03,QB
Alex Tanney,NYG,1.0,13.69,0.04,0.07,0.0,0.01,0.0,0.03,QB
Tyrod Taylor,CLE,1.0,14.23,0.06,0.07,0.02,0.01,0.0,0.02,QB
Mitchell Trubisky,CHI,1.0,231.9,1.23,0.75,20.42,0.14,0.1,0.08,QB
Deshaun Watson,HOU,1.0,261.13,1.73,0.98,35.18,0.25,0.13,0.15,QB
Joe Webb,HOU,1.0,7.58,0.02,0.04,0.08,0.02,0.01,0.0,QB
Brandon Weeden,HOU,1.0,16.52,0.05,0.07,0.02,0.01,0.0,0.06,QB
Carson Wentz,PHI,1.0,262.02,1.73,0.95,21.04,0.11,0.1,0.22,QB
Russell Wilson,SEA,1.0,226.62,1.47,0.64,16.35,0.13,0.03,0.09,QB
Jameis Winston,TB,1.0,284.52,1.75,0.89,12.27,0.14,0.09,0.13,QB
