Player,POS,Team,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD
Matt Ryan,QB,ATL,315,3,1,5,0
Jameis Winston,QB,TB,315,3,0,5,0
Tom Brady,QB,NE,315,3,0,0,0
Jared Goff,QB,LAR,300,3,1,5,0
Deshaun Watson,QB,HOU,285,2,1,40,0
Aaron Rodgers,QB,GB,300,2,0,15,0
Kirk Cousins,QB,MIN,300,2,1,10,0
Baker Mayfield,QB,CLE,280,2,1,20,0
Ben Roethlisberger,QB,PIT,310,2,1,5,0
Patrick Mahomes,QB,KC,295,2,0,10,0
Blake Bortles,QB,JAX,245,2,2,30,0
Andy Dalton,QB,CIN,285,2,1,10,0
Cam Newton,QB,CAR,245,2,1,30,0
Carson Wentz,QB,PHI,275,2,1,15,0
Andrew Luck,QB,IND,275,2,1,10,0
Philip Rivers,QB,LAC,290,2,0,0,0
C.J. Beathard,QB,SF,265,2,2,10,0
Joe Flacco,QB,BAL,270,2,0,5,0
Case Keenum,QB,DEN,265,2,1,0,0
Russell Wilson,QB,SEA,245,2,0,10,0
Eli Manning,QB,NYG,245,2,1,5,0
Mitchell Trubisky,QB,CHI,225,1,1,30,0
Derek Carr,QB,OAK,265,1,1,5,0
Alex Smith,QB,WAS,245,1,0,15,0
Dak Prescott,QB,DAL,210,1,0,25,0
Brock Osweiler,QB,MIA,225,1,1,10,0
Marcus Mariota,QB,TEN,200,1,1,20,0
Sam Darnold,QB,NYJ,215,1,1,5,0
Josh Rosen,QB,ARI,175,1,1,10,0
Josh Allen,QB,BUF,150,1,1,20,0
