NFL $3.25M Roman Fantasy Football Millionaire [$1M to 1st]	$20.00	$3,250,000	150	191,176	191,176	23%	242.80	$1,000,000	154.66	$30.00
NFL $1.25M Play-Action [$100K to 1st]	$3.00	$1,250,000	20	495,441	495,441	25%	246.40	$100,000	152.60	$5.00
NFL $1.2M Wildcat [$200K to 1st]	$333.00	$1,200,000	120	4,004	3,987	21%	219.94	$200,000	157.26	$500.00
NFL $850K Luxury Box [$200K to 1st]	$3,000.00	$850,000	9	300	300	20%	200.00	$200,000	158.74	$6,000.00
NFL $500K Slant	$9.00	$500,000	150	65,359	60,052	21%	242.96	$50,000	154.90	$18.00
NFL $500K Power Sweep [3 Entry Max, $100K to 1st]	$150.00	$500,000	3	3,703	3,703	23%	227.22	$100,000	155.92	$225.00
NFL $200K Three-Point Stance [5 Entry Max]	$33.00	$200,000	5	7,067	7,067	24%	216.52	$25,000	155.00	$50.00
NFL $200K Spy [Single Entry, $30K to 1st]	$100.00	$200,000	1	2,222	2,222	20%	215.62	$30,000	157.02	$200.00
NFL $200K First Down	$1.00	$200,000	20	237,812	237,812	25%	240.66	$10,000	152.30	$2.00
NFL MASSIVE $25 Double Up	$25.00	$150,000	150	6,896	6,896	44%	203.90	$50	144.44	$50.00
NFL MASSIVE $25 Double Up [Single Entry]	$25.00	$150,000	1	6,896	6,896	44%	215.40	$50	143.40	$50.00
NFL $150K Fair Catch [Single Entry]	$12.00	$150,000	1	14,705	14,705	24%	228.30	$15,000	153.70	$18.00
$10M Fantasy Football World Championship Double Qualifier #78-79	$1,100.00	$127,722	4	135	131	3%	197.12	$0	180.14	$1,100.00
NFL MASSIVE $5 Double Up	$5.00	$125,000	150	28,735	28,735	44%	219.30	$10	145.18	$10.00
NFL $125K Checkdown Pass [3 Entry Max]	$777.00	$125,000	3	178	178	23%	188.90	$20,000	158.84	$1,250.00
NFL $102K Game Changer [Single Entry]	$1,500.00	$102,000	1	72	72	24%	184.88	$25,000	157.74	$2,500.00
NFL $100K Power Sweep [3 Entry Max]	$150.00	$100,000	3	740	740	23%	211.42	$15,000	155.70	$250.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	235.20	$10	145.38	$10.00
NFL $100K Nickel [3 Entry Max]	$5.00	$100,000	3	23,781	23,781	27%	231.96	$10,000	151.74	$8.00
NFL $100K Juke [3 Entry Max]	$400.00	$100,000	3	277	277	21%	200.72	$20,000	162.16	$800.00
NFL MASSIVE $50 Double Up [Single Entry]	$50.00	$100,000	1	2,272	2,272	44%	214.70	$100	144.20	$100.00
NFL $100K Pylon [Single Entry]	$3.00	$100,000	1	39,635	39,635	25%	241.30	$10,000	152.40	$5.00
NFL $100K Red Zone [Single Entry]	$50.00	$100,000	1	2,272	2,272	23%	214.70	$10,000	155.44	$75.00
NFL MASSIVE $100 Double Up [Single Entry]	$100.00	$100,000	1	1,111	1,111	45%	204.10	$200	144.10	$200.00
NFL $100K Thunderdome [Single Entry]	$5,300.00	$100,000	1	20	20	25%	180.14	$40,000	165.44	$10,000.00
NFL $75K Flea Flicker	$5.00	$75,000	150	17,835	17,835	26%	227.42	$7,500	152.76	$8.00
NFL GIANT $250 Double Up [Single Entry]	$250.00	$75,000	1	333	333	45%	190.44	$500	144.10	$500.00
NFL GIANT $10 Double Up	$10.00	$75,000	150	8,620	8,620	44%	213.80	$20	144.04	$20.00
NFL $75K Spy [Single Entry]	$100.00	$75,000	1	833	833	25%	207.14	$7,500	154.84	$150.00
NFL $75K Super Booster [Top 75 Win $1,000]	$27.00	$75,000	97	3,239	3,239	2%	215.38	$1,000	186.90	$1,000.00
$10M Fantasy Football World Championship Qualifier #77	$500.00	$71,811	5	167	153	7%	188.70	$0	174.40	$500.00
$10M Fantasy Football World Championship Qualifier #73	$5.00	$70,096	150	16,669	15,971	7%	239.22	$0	171.64	$5.00
$10M Fantasy Football World Championship Qualifier #74	$16.00	$68,991	150	5,072	4,526	6%	239.22	$0	172.44	$16.00
$10M Fantasy Football World Championship Qualifier #76	$150.00	$68,111	16	534	523	5%	195.36	$0	179.36	$150.00
$10M Fantasy Football World Championship Qualifier #75	$75.00	$66,011	31	1,035	901	4%	210.46	$0	177.96	$75.00
$10M Fantasy Football World Championship Qualifier #80	$5,600.00	$62,611	1	13	13	8%	180.14	$0	180.14	$0.00
NFL $50K Mini-MAX [150 Max Entry]	$0.50	$50,000	150	118,906	118,906	22%	247.12	$5,000	155.86	$1.00
NFL GIANT $25 Double Up [Single Entry]	$25.00	$50,000	1	2,298	2,298	44%	217.44	$50	146.04	$50.00
NFL $50K Engage Eight [3 Entry Max]	$8.00	$50,000	3	7,352	7,352	25%	226.22	$5,000	154.20	$12.00
NFL GIANT $5 Double Up [Single Entry]	$5.00	$50,000	1	11,494	11,494	44%	214.70	$10	143.26	$10.00
NFL GIANT $25 Double Up	$25.00	$50,000	68	2,298	2,298	44%	201.34	$50	147.14	$50.00
NFL GIANT $10 Double Up [Single Entry]	$10.00	$50,000	1	5,747	5,747	44%	215.52	$20	144.46	$20.00
NFL GIANT $1,060 50-50	$1,060.00	$40,000	1	40	40	50%	169.94	$2,000	140.14	$2,000.00
NFL GIANT $2,120 50-50	$2,120.00	$40,000	1	20	20	50%	169.94	$4,000	138.94	$4,000.00
NFL $40K Quarter Jukebox [Just $0.25!]	$0.25	$40,000	20	190,249	190,249	24%	245.32	$1,500	153.08	$0.50
NFL GIANT $530 50-50	$530.00	$35,000	2	70	70	50%	181.84	$1,000	140.54	$1,000.00
NFL $35K Hot Route	$100.00	$35,000	11	388	388	23%	205.12	$5,000	157.26	$200.00
NFL $35K Hail Mary	$12.00	$35,000	102	3,431	3,431	26%	210.92	$3,000	154.34	$18.00
NFL GIANT $50 Double Up	$50.00	$35,000	23	795	795	44%	201.34	$100	143.10	$100.00
NFL GIANT $100 Double Up	$100.00	$35,000	11	388	388	45%	201.34	$200	144.24	$200.00
NFL $35K Chop Block [$5K to 1st]	$50.00	$35,000	23	795	795	21%	205.22	$5,000	157.60	$75.00
NFL $30K Touchdown	$200.00	$30,100	5	167	167	23%	197.12	$7,500	157.44	$300.00
NFL $30K Stiff Arm [Single Entry]	$555.00	$30,000	1	60	60	23%	188.32	$7,500	157.04	$1,000.00
NFL $30K Spin Move [Single Entry]	$300.00	$30,000	1	111	111	23%	198.12	$5,000	161.44	$600.00
NFL GIANT $2 Double Up	$2.00	$30,000	20	17,241	17,241	44%	221.10	$4	146.24	$4.00
NFL $530 50-50!	$530.00	$25,000	1	50	0	50%		$0		$0.00
NFL GIANT $25 Double Up [Single Entry]	$25.00	$25,000	1	1,149	1,149	44%	209.80	$50	145.34	$50.00
NFL GIANT $50 Double Up [Single Entry]	$50.00	$25,000	1	568	568	44%	198.60	$100	143.14	$100.00
NFL GIANT $100 Double Up [Single Entry]	$100.00	$25,000	1	277	277	45%	191.22	$200	146.24	$200.00
NFL GIANT $250 Double Up [Single Entry]	$250.00	$25,000	1	111	111	45%	188.14	$500	145.44	$500.00
NFL GIANT $10 Double Up	$10.00	$25,000	86	2,873	2,873	44%	206.92	$20	147.14	$20.00
NFL GIANT $10 Double Up [Single Entry]	$10.00	$25,000	1	2,873	2,873	44%	205.04	$20	145.14	$20.00
NFL GIANT $5 Double Up [Single Entry]	$5.00	$25,000	1	5,747	5,747	44%	210.80	$10	144.92	$10.00
NFL GIANT $250 Double Up	$250.00	$25,000	3	111	111	45%	173.52	$500	140.56	$500.00
NFL GIANT $25 Double Up [Single Entry]	$25.00	$25,000	1	1,149	1,149	44%	222.76	$50	144.64	$50.00
NFL $25K Fair Catch [Single Entry]	$12.00	$25,000	1	2,450	2,450	20%	222.76	$2,000	156.10	$25.00
NFL $20K Singleback [3 Entry Max]	$1.00	$20,000	3	23,781	23,781	24%	235.42	$1,500	153.80	$2.00
NFL $20K Super Booster [Top 200 Win $100]	$4.00	$20,000	20	5,882	5,882	3%	217.86	$100	179.00	$100.00
NFL $20K Mini-MAX [150 Max Entry]	$0.50	$20,000	150	47,562	47,562	22%	233.72	$1,500	156.92	$1.00
NFL $20K Spy [Single Entry]	$100.00	$20,000	1	222	222	26%	200.72	$3,000	151.12	$150.00
NFL $20K Red Zone [Single Entry]	$50.00	$20,000	1	454	454	20%	193.74	$3,500	155.62	$100.00
NFL $20K Red Zone [Single Entry]	$50.00	$20,000	1	454	454	20%	200.72	$3,500	158.64	$100.00
NFL $15K Three-Point Stance [3 Entry Max]	$33.00	$15,000	3	530	530	24%	200.72	$1,500	153.90	$50.00
NFL $15K Power Sweep [3 Entry Max]	$150.00	$15,000	3	111	111	23%	211.54	$3,000	155.34	$250.00
NFL Single Entry $25 Double Up	$25.00	$15,000	1	689	689	44%	206.50	$50	141.48	$50.00
NFL $15K Safety	$2.00	$15,000	20	8,917	8,917	25%	231.04	$1,500	153.36	$3.00
NFL $14.2K Luxury Box [Single Entry]	$1,500.00	$14,200	1	10	0	0%		$0		$0.00
Sports Betting National Championship Qualifier [$1M to 1st]	$27.00	$13,130	17	567	529	4%	208.00	$0	178.22	$0.00
NFL $25 Double Up	$25.00	$12,000	16	551	551	44%	203.94	$50	144.08	$50.00
NFL $1,060 50-50 [Top 50% Win]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL $530 50-50 [Top 50% Win]	$530.00	$10,000	1	20	20	50%	175.20	$1,000	136.70	$1,000.00
NFL $10K First Down [20 Entry Max]	$1.00	$10,000	20	11,890	11,890	26%	238.92	$500	151.24	$1.50
NFL Single Entry $5 Double Up	$5.00	$10,000	1	2,298	2,298	44%	212.50	$10	143.10	$10.00
NFL BIG 10x Booster [Top 500 Win $20]	$2.00	$10,000	20	5,882	5,882	9%	235.30	$20	168.84	$20.00
NFL Single Entry $5 Double Up	$5.00	$10,000	1	2,298	2,298	44%	217.44	$10	142.64	$10.00
NFL $10K Daily Dollar [Single Entry]	$1.00	$10,000	1	11,890	11,890	26%	224.92	$500	152.00	$1.50
NFL Single Entry $100 Double Up	$100.00	$10,000	1	111	111	45%	191.82	$200	138.52	$200.00
NFL Single Entry $10 Double Up	$10.00	$10,000	1	1,149	1,149	44%	205.56	$20	145.40	$20.00
NFL $530 50-50 [Top 50% Win]	$530.00	$10,000	1	20	20	50%	165.44	$1,000	138.52	$1,000.00
NFL $1,060 50-50 [Top 50% Win]	$1,060.00	$10,000	1	10	0	0%		$0		$0.00
NFL Single Entry $2 Double Up	$2.00	$10,000	1	5,747	5,747	44%	220.02	$4	144.64	$4.00
NFL $10K Engage Eight [3 Entry Max]	$8.00	$10,000	3	1,470	1,470	20%	224.76	$1,500	156.26	$15.00
NFL Fantasy Football Millionaire SUPERSatellite [500x]	$1.00	$10,000	20	11,890	11,890	4%	239.22	$0	177.00	$0.00
NFL $1M King of the Beach Qualifier #	$20.00	$8,598	5	505	505	6%	211.82	$0	173.92	$30.00
NFL $1M King of the Beach Qualifier #	$20.00	$8,598	5	505	505	6%	201.92	$0	175.26	$30.00
NFL $1M King of the Beach Qualifier #	$4.00	$8,558	5	2,543	2,253	5%	239.22	$0	174.24	$6.00
NFL $1M King of the Beach Qualifier #	$12.00	$8,538	5	837	767	5%	239.22	$0	173.36	$20.00
NFL $8K Stiff Arm [Single Entry]	$555.00	$8,000	1	16	16	25%	169.12	$3,500	152.34	$1,000.00
NFL Single Entry $10 Double Up	$10.00	$8,000	1	919	919	44%	206.34	$20	145.94	$20.00
NFL $50 Double Up	$50.00	$6,000	4	136	136	44%	190.44	$100	142.12	$100.00
NFL Single Entry $50 Double Up	$50.00	$6,000	1	136	136	44%	191.82	$100	142.94	$100.00
NFL $5,600 FFWC Qualifier Satellite	$565.00	$5,600	1	11	9	9%	180.14	$0	180.14	$0.00
NFL $5,425 FFWC MEGAQualifier Satellite	$600.00	$5,425	1	10	0	0%		$0		$0.00
NFL $5K Hail Mary	$12.00	$5,000	14	490	490	18%	201.06	$750	158.52	$25.00
NFL $530 50-50 [Top 50% Win]	$530.00	$5,000	1	10	0	0%		$0		$0.00
NFL $530 50-50 [Top 50% Win]	$530.00	$5,000	1	10	0	0%		$0		$0.00
NFL $530 50-50 [Top 50% Win]	$530.00	$5,000	1	10	0	0%		$0		$0.00
NFL $5K Singleback [3 Entry Max]	$1.00	$5,000	3	5,945	5,945	24%	224.42	$250	153.26	$2.00
NFL $5K Mini Hail Mary	$12.00	$5,000	14	490	490	25%	197.32	$500	153.48	$18.00
NFL $25 Double Up	$25.00	$5,000	6	229	229	44%	191.92	$50	141.92	$50.00
NFL $5K Mini Play-Action	$3.00	$5,000	20	1,981	1,981	28%	221.42	$250	152.68	$5.00
NFL $5K Mini Flea Flicker	$5.00	$5,000	35	1,189	1,189	26%	216.04	$500	152.04	$8.00
NFL $5K Mini Slant	$9.00	$5,000	19	653	653	22%	206.50	$500	156.08	$20.00
NFL $5K Mini Gridiron	$27.00	$5,000	6	215	215	24%	204.20	$750	157.86	$40.00
NFL $5K Stiff Arm	$555.00	$5,000	1	10	0	0%		$0		$0.00
NFL Single Entry $50 Double Up	$50.00	$5,000	1	113	113	44%	191.82	$100	140.64	$100.00
Casual NFL $5K Front Four	$4.00	$5,000	10	1,486	1,486	25%	213.54	$500	153.84	$6.00
NFL $10 Double Up	$10.00	$5,000	17	574	574	44%	208.50	$20	143.20	$20.00
NFL Fourth Down Conversion Satellite	$410.00	$4,444	1	12	10	8%	169.12	$0	169.12	$0.00
NFL Fourth Down Conversion Satellite	$5.00	$4,444	31	1,056	638	0%	239.22	$0	239.22	$0.00
NFL Fourth Down Conversion Satellite	$410.00	$4,444	1	12	9	8%	169.12	$0	169.12	$0.00
NFL Fantasy Football Millionaire SUPERSatellite [200x]	$0.25	$4,000	20	19,024	19,024	1%	242.80	$0	190.68	$0.00
NFL Fantasy Football Millionaire SUPERSatellite [200x]	$5.00	$4,000	28	951	928	21%	202.34	$0	155.46	$0.00
NFL Fantasy Football Millionaire SUPERSatellite [200x]	$3.00	$4,000	20	1,585	1,585	13%	202.70	$0	163.50	$0.00
NFL BIG 10x Booster [Top 15 Win $250]	$25.00	$3,750	5	176	176	9%	202.46	$250	169.62	$250.00
Spookyexpress.com Newsletter and Bonuses Championship #1	$20.00	$3,600	1	200	0	50%		$0		$0.00
NFL $2 Double Up	$2.00	$3,000	20	1,724	1,724	44%	216.52	$4	139.24	$4.00
NFL $3 Double Up	$3.00	$3,000	20	1,149	1,149	44%	188.12	$6	141.00	$6.00
