Player,Team,GP,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Return Yds,Fum,Tack,Ast,Fum Rec,POS
Jimmy Graham,GB,1.0,0.0,0.0,5.0,104.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Xavier Grimble,PIT,1.0,0.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
David Grinnage,,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Rob Gronkowski,NE,1.0,0.0,0.0,3.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Chris Herndon,NYJ,1.0,0.0,0.0,2.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,0.0,0.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Gabe Holmes,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,9.0,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,0.0,0.0,4.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hayden Hurst,BAL,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,0.0,0.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Blake Jarwin,DAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,0.0,0.0,5.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,0.0,0.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt LaCosse,DEN,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Chris Manhertz,CAR,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vance McDonald,PIT,1.0,0.0,0.0,7.0,68.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,TE
David Njoku,CLE,1.0,0.0,0.0,7.0,55.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,4.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,3.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Greg Olsen,CAR,1.0,0.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Brian Parker,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Niles Paul,,1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Josh Perkins,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TE
Jordan Reed,WAS,1.0,0.0,0.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,0.0,0.0,4.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ricky Seals-Jones,ARI,1.0,0.0,0.0,5.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Scott Simonson,NYG,1.0,0.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeremy Sprinkle,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,TE
Neal Sterling,NYJ,1.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Geoff Swaim,DAL,1.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Erik Swoope,IND,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyrone Swoopes,SEA,1.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
