Player,Team,GP,Rush Att,Rush Yds,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Fum Lost,Fum,Tack,POS
Stephen Anderson,NE,1.0,0.0,0.0,4.0,44.0,0.0,0.0,0.0,0.0,0.0,TE
Cameron Brate,TB,1.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,0.0,0.0,2.0,41.0,1.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,TE
Garrett Celek,SF,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,0.0,0.0,8.0,126.0,0.0,1.0,0.0,0.0,1.0,TE
Vernon Davis,WAS,1.0,0.0,0.0,6.0,72.0,0.0,0.0,0.0,0.0,0.0,TE
A.J. Derby,MIA,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Jack Doyle,IND,1.0,0.0,0.0,8.0,63.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Ebron,IND,1.0,0.0,0.0,3.0,35.0,0.0,0.0,0.0,0.0,0.0,TE
Rhett Ellison,NYG,1.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,TE
Evan Engram,NYG,1.0,0.0,0.0,4.0,70.0,1.0,0.0,0.0,0.0,0.0,TE
Gerald Everett,LA,1.0,1.0,13.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,TE
Darren Fells,CLE,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,TE
Coby Fleener,,1.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,0.0,0.0,5.0,59.0,0.0,0.0,0.0,0.0,0.0,TE
MarQueis Gray,MIA,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,2.0,23.0,1.0,0.0,0.0,0.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Higbee,LA,1.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,TE
Austin Hooper,ATL,1.0,0.0,0.0,3.0,36.0,0.0,0.0,0.0,0.0,0.0,TE
O.J. Howard,TB,1.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,TE
Travis Kelce,KC,1.0,0.0,0.0,7.0,73.0,1.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,0.0,0.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,TE
George Kittle,SF,1.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,TE
Tyler Kroft,CIN,1.0,0.0,0.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0,TE
Marcedes Lewis,GB,1.0,0.0,0.0,3.0,49.0,0.0,0.0,0.0,0.0,0.0,TE
Troy Niklas,,1.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,4.0,51.0,0.0,0.0,1.0,1.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,TE
Austin Seferian-Jenkins,JAX,1.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,TE
Jonnu Smith,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeremy Sprinkle,WAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Stocker,TEN,1.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,TE
Julius Thomas,,1.0,0.0,0.0,6.0,84.0,1.0,0.0,0.0,0.0,0.0,TE
Logan Thomas,BUF,1.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,TE
Levine Toilolo,DET,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,TE
Eric Tomlinson,NYJ,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,TE
Ross Travis,IND,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,TE
C.J. Uzomah,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Delanie Walker,TEN,1.0,0.0,0.0,5.0,71.0,0.0,0.0,0.0,0.0,1.0,TE
Benjamin Watson,NO,1.0,0.0,0.0,7.0,41.0,0.0,0.0,0.0,0.0,2.0,TE
Maxx Williams,BAL,1.0,0.0,0.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,TE
Luke Willson,DET,1.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,TE
