Player,OPP,STATUS ET,C/A,YDS,TD,INT,RUSH,YDS,TD,REC,YDS,TD,PTS,POS
"Jason Witten, Dal TE",KC,W 28-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Antonio Gates, LAC TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Kellen Winslow, NYJ TE",Buf,W 34-21,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Benjamin Watson, NO TE",TB,W 30-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Alex Smith, Wsh TE",@Sea,W 17-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Vernon Davis, Wsh TE",@Sea,W 17-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Marcedes Lewis, Jax TE",Cin,W 23-7,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony Fasano, Mia TE",Oak,L 24-27,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Owen Daniels, Den TE",@Phi,L 23-51,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Delanie Walker, Ten TE",Bal,W 23-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Daniel Fells, NYG TE",LAR,L 17-51,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Greg Olsen, Car TE",Atl,W 20-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matt Spaeth, Pit TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Scott Chandler*, NE TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Brent Celek, Phi TE",Den,W 51-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clark Harris, Cin TE",@Jax,L 7-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Fred Davis, Wsh TE",@Sea,W 17-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Martellus Bennett, NE TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Craig Stevens, Ten TE",Bal,W 23-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Gary Barnidge, Cle TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Jacob Tamme, Atl TE",@Car,L 17-20,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Kellen Davis, NYJ TE",Buf,W 34-21,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Matthew Mulligan, Det TE",@GB,W 30-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"David Johnson, Pit TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"James Casey, Den TE",@Phi,L 23-51,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Chase Coffman, Ind TE",@Hou,W 20-14,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jared Cook, Oak TE",@Mia,W 27-24,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Bear Pascoe, NE TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Brandon Pettigrew, Det TE",@GB,W 30-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"John Phillips, NO TE",TB,W 30-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Zach Miller*, Chi TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Brandon Myers, TB TE",@NO,L 10-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jermaine Gresham, Ari TE",@SF,W 20-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Rob Gronkowski, NE TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Dennis Pitta*, Bal TE",@Ten,L 20-23,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Jimmy Graham, GB TE",Det,L 17-30,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Ed Dickson, Sea TE",Wsh,L 14-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Tony Moeaki, Chi TE",** BYE **,--/--,--,--,--,--,--,--,--,--,--,--,,TE
"Jim Dray, Ari TE",@SF,W 20-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Garrett Graham, Den TE",@Phi,L 23-51,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Clay Harbor, NO TE",TB,W 30-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Michael Hoomanawanui, NO TE",TB,W 30-10,--/--,--,--,--,--,--,--,--,--,--,--,TE
"Anthony McCoy, Sea TE",Wsh,L 14-17,--/--,--,--,--,--,--,--,--,--,--,--,TE
