Player,Team,Receptions,Rec Yds,Rec TD,Pass Yds,Pass TD,Pass Int,Rush Yds,Rush TD,2PT
Ryan Griffin,HOU,3.0,40.0,0.15,0.0,0.0,0.0,0.03,0.0,0.0
Ryan Hewitt,IND,0.3,3.9221047247949548,0.02,0.0,0.0,0.0,0.03,0.0,0.0
Scott Simonson,NYG,0.32,5.102576607970326,0.03,0.0,0.0,0.0,0.03,0.0,0.0
Seth DeValve,CLE,1.0,10.9,0.26998077621476635,0.0,0.0,0.0,0.03,0.0,0.0
Temarrick Hemingway,DEN,0.2,3.1280024128750163,0.02,0.0,0.0,0.0,0.02,0.0,0.0
Travis Kelce,KC,7.0,91.5,1.0,0.0,0.0,0.0,0.14,0.0,0.0
Trey Burton,CHI,4.0,40.0,0.3,0.0,0.0,0.0,0.29,0.0,0.0
Tyler Conklin,MIN,1.7,15.1,0.2,0.0,0.0,0.0,0.02,0.0,0.0
Tyler Higbee,LAR,2.2,25.7,0.2,0.0,0.0,0.0,0.01,0.0,0.0
Vance McDonald,PIT,3.5,45.9,0.3,0.0,0.0,0.0,0.09,0.0,0.0
Virgil Green,LAC,1.7,18.78,0.2,0.0,0.0,0.0,0.15,0.0,0.0
Xavier Grimble,PIT,0.6,5.4,0.02,0.0,0.0,0.0,0.03,0.0,0.0
Zach Ertz,PHI,6.7,69.9,0.5,0.0,0.0,0.0,0.08,0.0,0.0
