player,team,pos,proj,salary
Marcus Mariota,TEN,QB,11.14336666666667,6800.0
Christian McCaffrey,CAR,RB,20.437000000000005,7900.0
James Conner,PIT,RB,19.03666666666667,8000.0
Julio Jones,ATL,WR,25.146666666666665,8500.0
D.J. Moore,CAR,WR,14.657666666666666,5300.0
Jarvis Landry,CLE,WR,19.598000000000003,6600.0
Keenan Allen,LAC,WR,19.924,7400.0
Jared Cook,OAK,TE,14.613333333333333,5900.0
Denver Broncos,DEN,DST,3.0360000000000005,3400.0
,,,147.59270000000004,59800.0
