Player,Team,PA,YdA,TD,Sack,Int,Fum Rec,Saf,Blk
Arizona Cardinals,ARI,26.65,358.9,0.1,2.62,0.69,0.6,0.0,0.035
Atlanta Falcons,ATL,24.4,403.6,0.1,2.7,1.1,0.67,0.0,0.04
Baltimore Ravens,BAL,16.675,310.0,0.2,2.2,0.9,0.64,0.1,0.035
Buffalo Bills,BUF,17.87,304.5,0.11,3.0,1.0,0.65,0.0,0.03
Carolina Panthers,CAR,27.83,373.0,0.1,2.4,0.7,0.76,0.0,0.09
Chicago Bears,CHI,21.715,336.0,0.2,2.49,0.9,0.67,0.0,0.08
Cincinnati Bengals,CIN,29.55,429.0,0.11,1.59,1.0,0.5,0.0,0.055
Cleveland Browns,CLE,24.880000000000003,325.0,0.2,2.4,0.84,0.6,0.0,0.045
Dallas Cowboys,DAL,22.299999999999997,342.0,0.11,2.44,0.7,0.56,0.0,0.035
Denver Broncos,DEN,24.05,375.8,0.2,2.27,0.79,0.6,0.0,0.1
Detroit Lions,DET,27.1,390.0,0.1,2.8,0.6,0.6,0.0,0.095
Green Bay Packers,GB,19.9,352.6,0.2,2.9,0.9,0.6,0.0,0.04
Houston Texans,HOU,16.630000000000003,315.0,0.2,2.6,1.0,0.7,0.1,0.04
Indianapolis Colts,IND,20.395,309.0,0.11,2.78,0.9,0.6,0.0,0.045
Jacksonville Jaguars,JAX,24.25,347.4,0.2,2.9,0.84,0.58,0.02,0.035
Kansas City Chiefs,KC,19.700000000000003,349.4,0.2,3.3,0.8,0.8,0.0,0.055
Los Angeles Chargers,LAC,18.95,332.0,0.2,2.6,0.92,0.5,0.0,0.045
Los Angeles Rams,LAR,19.6,354.5,0.2,2.7,1.1,0.7,0.015,0.055
Miami Dolphins,MIA,21.604999999999997,324.5,0.11,2.2,1.02,0.53,0.0,0.055
Minnesota Vikings,MIN,17.65,313.4,0.2,2.5,0.94,0.6,0.1,0.03
New England Patriots,NE,17.715,308.7,0.2,2.3,1.2,0.6,0.015,0.10500000000000001
New Orleans Saints,NO,19.25,371.6,0.2,3.1,1.3,0.7,0.0,0.05
New York Giants,NYG,17.8,320.0,0.2,2.57,1.0,0.6,0.0,0.08
New York Jets,NYJ,30.5,408.0,0.1,1.7,0.7,0.57,0.0,0.05
Oakland Raiders,OAK,33.73937120482198,449.2210141372361,0.1,1.5,0.8,0.5,0.01000460038193543,0.045
Philadelphia Eagles,PHI,19.799999999999997,317.0,0.2,2.75,1.3,0.61,0.015,0.095
Pittsburgh Steelers,PIT,17.3,287.0,0.2,2.8,0.85,0.65,0.03,0.10500000000000001
San Francisco 49ers,SF,30.75,397.7,0.1,2.2,0.8,0.6,0.060000000000000005,0.04
Seattle Seahawks,SEA,13.85,287.3,0.2,2.8,1.17,0.8,0.025,0.09
Tampa Bay Buccaneers,TB,25.450000000000003,411.3,0.2,2.6,0.7,0.7,0.0,0.09
Tennessee Titans,TEN,23.450000000000003,397.8,0.2,1.7,1.0,0.59,0.065,0.085
Washington Redskins,WAS,24.0,369.0,0.11,2.3,0.8,0.7,0.0,0.03
