Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Josh Adams,PHI,1.0,27.75,0.16,0.47,2.83,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Javorius Allen,BAL,1.0,14.66,0.15,2.1,19.36,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,1.9,0.02,0.13,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,10.17,0.08,0.68,5.91,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,60.26,0.37,1.45,11.32,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,87.87,0.66,6.56,56.98,0.28,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,15.2,0.1,2.89,21.53,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.03
Kapri Bibbs,GB,1.0,18.5,0.1,2.09,18.63,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,22.4,0.15,0.39,2.93,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,34.61,0.19,0.8,7.14,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.05
Tommy Bohanon,JAX,1.0,1.22,0.01,0.5,3.79,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,10.5,0.06,2.22,18.24,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Malcolm Brown,LAR,1.0,12.88,0.1,0.53,4.36,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Carson,SEA,1.0,68.79,0.44,1.18,10.89,0.06,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tra Carson,GB,1.0,3.66,0.02,0.48,3.25,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,1.0,21.74,0.16,1.75,13.63,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tarik Cohen,CHI,1.0,36.07,0.17,3.88,37.52,0.23,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Derrick Coleman,ARI,1.0,0.45,0.01,0.28,2.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,59.4,0.34,2.76,26.32,0.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Collins,BAL,1.0,59.61,0.53,1.65,14.62,0.07,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,85.29,0.61,3.58,34.31,0.14,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dalvin Cook,MIN,1.0,57.63,0.31,2.88,22.1,0.07,0.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,2.95,0.02,0.47,4.16,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Davis,LAR,1.0,0.46,0.01,0.35,3.36,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,34.37,0.22,2.25,20.04,0.08,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dalyn Dawkins,TEN,1.0,8.36,0.05,0.63,4.79,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,17.86,0.11,1.27,10.14,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Gus Edwards,BAL,1.0,10.11,0.08,0.26,2.27,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,25.18,0.18,1.58,16.46,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ezekiel Elliott,DAL,1.0,83.8,0.63,3.88,32.45,0.21,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Leonard Fournette,JAX,1.0,52.78,0.36,2.4,21.6,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Royce Freeman,DEN,1.0,37.05,0.29,0.68,5.94,0.03,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wayne Gallman,NYG,1.0,8.54,0.06,0.62,6.18,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Melvin Gordon,LAC,1.0,89.72,0.57,4.26,36.04,0.25,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Todd Gurley,LAR,1.0,93.03,0.85,4.35,48.09,0.25,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Ham,MIN,1.0,0.66,0.01,0.57,2.59,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derrick Henry,TEN,1.0,37.81,0.26,1.02,10.5,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brian Hill,ATL,1.0,4.14,0.03,0.27,2.58,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nyheim Hines,IND,1.0,23.31,0.16,2.32,19.64,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Howard,CHI,1.0,56.32,0.39,1.06,7.83,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Buddy Howell,HOU,1.0,3.66,0.02,0.46,4.16,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kareem Hunt,FA,1.0,81.8,0.6,3.31,35.38,0.3,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Carlos Hyde,JAX,1.0,17.52,0.11,0.5,3.44,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Ingram,NO,1.0,41.34,0.36,2.33,16.63,0.09,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Jackson,LAC,1.0,3.5,0.03,0.34,2.52,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Andy Janovich,DEN,1.0,0.47,0.0,0.52,2.5,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Johnson,ARI,1.0,72.52,0.55,4.23,45.18,0.26,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kerryon Johnson,DET,1.0,59.12,0.38,3.18,26.08,0.13,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Aaron Jones,GB,1.0,77.2,0.64,2.53,18.82,0.07,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alvin Kamara,NO,1.0,55.75,0.54,5.72,48.28,0.29,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.27
Dion Lewis,TEN,1.0,59.28,0.35,3.34,28.79,0.17,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Phillip Lindsay,DEN,1.0,42.74,0.32,2.32,19.54,0.08,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.05
Zach Line,NO,1.0,0.52,0.01,0.79,4.69,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
T.J. Logan,ARI,1.0,2.65,0.03,0.41,2.58,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marlon Mack,IND,1.0,71.17,0.49,2.41,20.24,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tre Madden,SEA,1.0,0.03,0.01,0.23,1.55,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Doug Martin,OAK,1.0,67.53,0.39,1.9,16.18,0.07,0.19,0.03,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Christian McCaffrey,CAR,1.0,70.7,0.48,4.95,43.19,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Lamar Miller,HOU,1.0,61.27,0.38,1.84,15.48,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Joe Mixon,CIN,1.0,73.71,0.48,2.96,24.62,0.11,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
