Player,FG,FGA,XPT,FPTS,POS
Greg Zuerlein LAR,2.4,2.6,3.3,10.5,K
Harrison Butker KC,1.8,2.1,4.0,9.5,K
Wil Lutz NO,2.1,2.3,3.1,9.4,K
Stephen Gostkowski NE,2.1,2.4,2.7,9.1,K
Sebastian Janikowski SEA,1.9,2.2,3.2,9.0,K
Ka'imi Fairbairn HOU,2.0,2.4,2.6,8.7,K
Ryan Succop TEN,2.0,2.3,2.3,8.3,K
Adam Vinatieri IND,1.9,2.2,2.5,8.2,K
Brandon McManus DEN,1.8,2.1,2.6,8.2,K
Justin Tucker BAL,1.9,2.1,2.2,7.9,K
Cairo Santos TB,1.7,2.0,2.7,7.9,K
Mason Crosby GB,1.7,2.1,2.8,7.9,K
Brett Maher DAL,1.9,2.2,2.2,7.9,K
Matt Bryant ATL,1.8,2.0,2.5,7.8,K
Jake Elliott PHI,1.8,2.2,2.3,7.8,K
Matt Prater DET,1.9,2.1,2.2,7.7,K
Jason Sanders MIA,1.8,2.1,2.1,7.5,K
Greg Joseph CLE,1.8,2.0,2.0,7.3,K
Robbie Gould SF,1.8,2.0,1.8,7.3,K
Michael Badgley LAC,1.6,1.8,2.5,7.2,K
Aldrick Rosas NYG,1.8,2.0,1.8,7.2,K
Cody Parkey CHI,1.6,1.9,2.4,7.1,K
Dustin Hopkins WAS,1.7,2.0,1.9,7.0,K
Josh Lambo JAC,1.7,1.9,2.0,7.0,K
Randy Bullock CIN,1.6,2.0,2.1,6.9,K
Daniel Carlson OAK,1.6,2.0,2.0,6.8,K
Dan Bailey MIN,1.5,1.9,2.3,6.7,K
Steven Hauschka BUF,1.5,1.6,1.8,6.2,K
Jason Myers NYJ,1.5,1.7,1.6,6.1,K
Zane Gonzalez ARI,1.1,1.4,1.6,4.9,K
Chandler Catanzaro CAR,0.0,0.0,0.0,0.0,K
Eddy Pineiro OAK,0.0,0.0,0.0,0.0,K
Sam Ficken SEA,0.0,0.0,0.0,0.0,K
Kai Forbath JAC,0.0,0.0,0.0,0.0,K
Matt McCrane PIT,0.0,0.0,0.0,0.0,K
