Player,Team,GP,PAT Made,FG 0-19,FG 20-29,FG 30-39,FG 40-49,FG Miss 50+,POS
Mike Badgley,LAC,1.0,1.92,0.02,0.48,0.48,0.45,0.2,K
Dan Bailey,MIN,1.0,1.48,0.04,0.48,0.56,0.47,0.15,K
Chris Boswell,PIT,1.0,2.69,0.0,0.48,0.49,0.4,0.18,K
Matt Bryant,ATL,1.0,2.14,0.04,0.48,0.53,0.4,0.25,K
Randy Bullock,CIN,1.0,2.36,0.09,0.48,0.48,0.46,0.18,K
Harrison Butker,KC,1.0,3.0,0.03,0.48,0.46,0.35,0.2,K
Daniel Carlson,OAK,1.0,2.27,0.0,0.48,0.48,0.39,0.17,K
Mason Crosby,GB,1.0,2.26,0.04,0.47,0.6,0.48,0.13,K
Jake Elliott,PHI,1.0,2.66,0.01,0.48,0.5,0.42,0.21,K
Ka'imi Fairbairn,HOU,1.0,3.11,0.0,0.48,0.51,0.37,0.22,K
Graham Gano,CAR,1.0,2.24,0.0,0.48,0.48,0.34,0.17,K
Zane Gonzalez,ARI,1.0,1.58,0.07,0.48,0.56,0.5,0.11,K
Stephen Gostkowski,NE,1.0,3.1,0.04,0.48,0.47,0.41,0.22,K
Robbie Gould,SF,1.0,2.33,0.0,0.48,0.53,0.46,0.23,K
Stephen Hauschka,BUF,1.0,1.63,0.01,0.48,0.52,0.48,0.26,K
Dustin Hopkins,WAS,1.0,1.49,0.06,0.48,0.48,0.36,0.25,K
Sebastian Janikowski,SEA,1.0,2.47,0.02,0.47,0.52,0.45,0.23,K
Greg Joseph,CLE,1.0,2.4,0.01,0.47,0.55,0.44,0.21,K
Josh Lambo,JAX,1.0,1.08,0.02,0.48,0.47,0.38,0.21,K
Wil Lutz,NO,1.0,3.37,0.04,0.48,0.5,0.42,0.28,K
Brett Maher,DAL,1.0,2.85,0.0,0.48,0.5,0.39,0.2,K
Brandon McManus,DEN,1.0,2.57,0.01,0.48,0.48,0.41,0.22,K
Jason Myers,NYJ,1.0,0.77,0.06,0.48,0.5,0.5,0.26,K
Cody Parkey,CHI,1.0,1.97,0.03,0.48,0.5,0.37,0.16,K
Matt Prater,DET,1.0,2.21,0.04,0.48,0.47,0.64,0.31,K
Aldrick Rosas,NYG,1.0,2.09,0.02,0.48,0.57,0.4,0.22,K
Jason Sanders,MIA,1.0,2.39,0.1,0.47,0.5,0.5,0.2,K
Cairo Santos,TB,1.0,2.63,0.0,0.48,0.54,0.33,0.16,K
Ryan Succop,TEN,1.0,2.12,0.07,0.48,0.51,0.43,0.22,K
Justin Tucker,BAL,1.0,2.05,0.01,0.48,0.58,0.44,0.23,K
Adam Vinatieri,IND,1.0,2.37,0.08,0.48,0.49,0.35,0.17,K
Greg Zuerlein,LA,1.0,1.8,0.03,0.48,0.54,0.43,0.26,K
