Player,Team,Opp,FG Made,FG Miss,XP Made,XP Miss,FFPts,POS
Greg Zuerlein,LAR,@DET,3,0,3,0,12.0,K
Ka'imi Fairbairn,HOU,CLE,2,0,3,0,9.0,K
Graham Gano,CAR,@TB,2,0,3,0,9.0,K
Stephen Gostkowski,NE,MIN,2,0,3,0,9.0,K
Sebastian Janikowski,SEA,SF,2,0,3,0,9.0,K
Wil Lutz,NO,@DAL,2,0,3,0,9.0,K
Brandon McManus,DEN,@CIN,2,0,3,0,9.0,K
Cairo Santos,TB,CAR,2,0,3,0,9.0,K
Randy Bullock,CIN,DEN,2,0,2,0,8.0,K
Daniel Carlson,OAK,KC,2,0,2,0,8.0,K
Jake Elliott,PHI,WAS,2,0,2,0,8.0,K
Robbie Gould,SF,@SEA,2,0,2,0,8.0,K
Dustin Hopkins,WAS,@PHI,2,0,2,0,8.0,K
Greg Joseph,CLE,@HOU,2,0,2,0,8.0,K
Brett Maher,DAL,NO,2,0,2,0,8.0,K
Matt Prater,DET,LAR,2,0,2,0,8.0,K
Aldrick Rosas,NYG,CHI,2,0,2,0,8.0,K
Jason Sanders,MIA,BUF,2,0,2,0,8.0,K
Ryan Succop,TEN,NYJ,2,0,2,0,8.0,K
Justin Tucker,BAL,@ATL,2,0,2,0,8.0,K
Adam Vinatieri,IND,@JAC,2,0,2,0,8.0,K
Harrison Butker,KC,@OAK,1,0,4,0,7.0,K
Mike Badgley,LAC,@PIT,1,0,3,0,6.0,K
Dan Bailey,MIN,@NE,1,0,3,0,6.0,K
Matt Bryant,ATL,BAL,1,0,3,0,6.0,K
Mason Crosby,GB,ARI,1,0,3,0,6.0,K
Cody Parkey,CHI,@NYG,1,0,3,0,6.0,K
Zane Gonzalez,ARI,@GB,1,0,2,0,5.0,K
Steve Hauschka,BUF,@MIA,1,0,2,0,5.0,K
Josh Lambo,JAC,IND,1,0,2,0,5.0,K
Jason Myers,NYJ,@TEN,1,0,2,0,5.0,K
Chris Boswell,PIT,LAC,0,0,4,0,4.0,K
