Player,OPP,STATUS ET,1-39,40-49,50+,TOT,XP,PTS,POS
"Greg Zuerlein, LAR K",@Det,W 30-16,1.2/1.3,0.6/0.7,0.2/0.4,2.1/2.4,3.3/3.4,10.3,K
"Wil Lutz, NO K",@Dal,L 10-13,1.1/1.2,0.5/0.7,0.2/0.3,1.9/2.2,3/3.1,9.4,K
"Stephen Gostkowski, NE K",Min,W 24-10,1.2/1.3,0.6/0.7,0.2/0.4,2/2.3,2.5/2.7,9.2,K
"Ka'imi Fairbairn, Hou K",Cle,W 29-13,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.5/2.8,9.1,K
"Brett Maher, Dal K",NO,W 13-10,1.2/1.3,0.6/0.7,0.2/0.4,2/2.4,2.2/2.4,8.9,K
"Mason Crosby, GB K",Ari,L 17-20,1.2/1.3,0.5/0.7,0.2/0.4,1.9/2.4,2.6/2.9,8.9,K
"Ryan Succop, Ten K",NYJ,W 26-22,1.2/1.3,0.6/0.7,0.2/0.3,2/2.3,2.2/2.3,8.9,K
"Matt Prater, Det K",LAR,L 16-30,1.2/1.2,0.5/0.7,0.2/0.3,1.9/2.2,2.3/2.4,8.8,K
"Justin Tucker, Bal K",@Atl,W 26-16,1.1/1.1,0.5/0.6,0.2/0.3,1.9/2,2.3/2.3,8.6,K
"Harrison Butker, KC K",@Oak,W 40-33,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,3.8/4.1,8.5,K
"Matt Bryant, Atl K",Bal,L 16-26,1.1/1.1,0.5/0.6,0.2/0.3,1.8/2,2.2/2.2,8.5,K
"Adam Vinatieri, Ind K",@Jax,L 0-6,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.7/2.8,8.3,K
"Sebastian Janikowski, Sea K Q",SF,W 43-16,0.9/1,0.4/0.6,0.2/0.3,1.6/1.9,3.1/3.3,8.3,K
"Mike Badgley, LAC K",@Pit,W 33-30,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.3/2.5,7.9,K
"Chris Boswell*, Pit K IR",LAC,L 30-33,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.7/2.9,7.9,K
"Jake Elliott, Phi K",Wsh,W 28-13,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2.1/2.3,7.7,K
"Cairo Santos, TB K",Car,W 24-17,0.9/0.9,0.4/0.5,0.2/0.3,1.5/1.7,2.9/3.1,7.7,K
"Graham Gano*, Car K IR",@TB,L 17-24,0.8/0.9,0.4/0.5,0.2/0.2,1.4/1.6,3.1/3.3,7.7,K
"Dan Bailey, Min K",@NE,L 10-24,1/1.1,0.5/0.6,0.2/0.3,1.7/2,2/2.2,7.6,K
"Aldrick Rosas, NYG K",Chi,W 30-27,1.1/1.2,0.5/0.7,0.2/0.3,1.8/2.2,1.7/1.8,7.6,K
"Daniel Carlson, Oak K",KC,L 33-40,1.1/1.2,0.5/0.7,0.2/0.3,1.7/2.2,1.9/2.1,7.5,K
"Brandon McManus, Den K",@Cin,W 24-10,0.9/1,0.4/0.5,0.2/0.3,1.5/1.8,2.5/2.7,7.4,K
"Jason Sanders, Mia K",Buf,W 21-17,1/1,0.5/0.6,0.2/0.3,1.6/1.9,2/2.2,7.3,K
"Greg Joseph, Cle K",@Hou,L 13-29,1/1.1,0.5/0.6,0.2/0.3,1.6/2,2/2.2,7.3,K
"Dustin Hopkins, Wsh K",@Phi,L 13-28,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.7/1.9,7.3,K
"Josh Lambo*, Jax K IR",Ind,W 6-0,1/1,0.5/0.6,0.2/0.3,1.6/1.9,1.8/1.9,7.2,K
"Cody Parkey, Chi K",@NYG,L 27-30,0.9/1,0.4/0.6,0.2/0.3,1.5/1.9,2.2/2.4,7.2,K
"Robbie Gould, SF K",@Sea,L 16-43,1/1,0.5/0.6,0.2/0.3,1.6/1.8,1.6/1.6,7.1,K
"Jason Myers, NYJ K",@Ten,L 22-26,1/1.1,0.5/0.6,0.2/0.3,1.7/2,1.3/1.3,7.1,K
"Stephen Hauschka, Buf K",@Mia,L 17-21,0.9/0.9,0.4/0.5,0.2/0.2,1.4/1.6,1.5/1.6,6.3,K
"Randy Bullock, Cin K",Den,L 10-24,0.7/0.8,0.3/0.4,0.1/0.2,1.2/1.5,2.2/2.5,6.2,K
"Zane Gonzalez, Ari K",@GB,W 20-17,0.6/0.7,0.3/0.4,0.1/0.2,1/1.2,1.5/1.7,4.7,K
"Phil Dawson*, Ari K IR",@GB,W 20-17,0/0,0/0,0/0,0/0,0/0,0,K
"Mike Nugent*, Oak K IR",KC,L 33-40,0/0,0/0,0/0,0/0,0/0,0,K
"Nick Novak, LAC K",@Pit,W 33-30,0/0,0/0,0/0,0/0,0/0,0,K
"Nick Folk, TB K",Car,W 24-17,0/0,0/0,0/0,0/0,0/0,0,K
"Dan Carpenter, Buf K",@Mia,L 17-21,0/0,0/0,0/0,0/0,0/0,0,K
"Connor Barth, Chi K",@NYG,L 27-30,0/0,0/0,0/0,0/0,0/0,0,K
"Kai Forbath, Jax K",Ind,W 6-0,0/0,0/0,0/0,0/0,0/0,0,K
"Blair Walsh, Sea K",SF,W 43-16,0/0,0/0,0/0,0/0,0/0,0,K
"Giorgio Tavecchio, Atl K",Bal,L 16-26,0/0,0/0,0/0,0/0,0/0,0,K
"Caleb Sturgis, LAC K",@Pit,W 33-30,0/0,0/0,0/0,0/0,0/0,0,K
"Travis Coons, LAC K",@Pit,W 33-30,0/0,0/0,0/0,0/0,0/0,0,K
"Chandler Catanzaro, Car K",@TB,L 17-24,0/0,0/0,0/0,0/0,0/0,0,K
"Kasey Redfern, Det K Q",LAR,L 16-30,0/0,0/0,0/0,0/0,0/0,0,K
"Patrick Murray, TB K",Car,W 24-17,0/0,0/0,0/0,0/0,0/0,0,K
"Andrew Franks, Mia K",Buf,W 21-17,0/0,0/0,0/0,0/0,0/0,0,K
