Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,POS
Jordan Akins,HOU,1.0,0.02,0.0,0.68,7.87,0.05,TE
Mo Alie-Cox,IND,1.0,0.09,0.0,1.14,14.96,0.11,TE
Dwayne Allen,NE,1.0,0.02,0.0,0.31,2.16,0.03,TE
Mark Andrews,BAL,1.0,0.03,0.0,1.52,19.99,0.15,TE
Antony Auclair,TB,1.0,0.02,0.0,0.35,1.94,0.02,TE
Blake Bell,JAX,1.0,0.06,0.0,0.64,6.54,0.03,TE
Nick Boyle,BAL,1.0,0.03,0.0,1.35,10.81,0.07,TE
Cameron Brate,TB,1.0,0.06,0.0,2.47,27.6,0.25,TE
Ben Braunecker,CHI,1.0,0.06,0.0,0.26,2.6,0.04,TE
Daniel Brown,CHI,1.0,0.04,0.0,0.21,1.73,0.03,TE
Trey Burton,CHI,1.0,0.29,0.0,2.43,27.3,0.19,TE
Derek Carrier,OAK,1.0,0.02,0.0,0.53,4.42,0.03,TE
Garrett Celek,SF,1.0,0.02,0.0,0.69,6.27,0.05,TE
Tyler Conklin,MIN,1.0,0.02,0.0,0.37,3.59,0.04,TE
Jared Cook,OAK,1.0,0.05,0.0,4.16,56.47,0.38,TE
Jason Croom,BUF,1.0,0.09,0.0,1.21,14.42,0.08,TE
Seth DeValve,CLE,1.0,0.03,0.0,0.39,5.21,0.05,TE
Garrett Dickerson,NYG,1.0,0.03,0.0,0.06,0.0,0.02,TE
Ed Dickson,SEA,1.0,0.07,0.0,1.33,17.55,0.13,TE
Ross Dwelley,SF,1.0,0.03,0.0,0.18,3.32,0.03,TE
Eric Ebron,IND,1.0,1.63,0.0,4.12,46.05,0.43,TE
Rhett Ellison,NYG,1.0,0.08,0.0,0.78,12.2,0.07,TE
Evan Engram,NYG,1.0,0.85,0.0,4.35,50.23,0.36,TE
Donnie Ernsberger,TB,1.0,0.03,0.0,0.2,1.56,0.02,TE
Zach Ertz,PHI,1.0,0.08,0.0,5.78,63.03,0.42,TE
Gerald Everett,LAR,1.0,0.06,0.0,2.59,30.36,0.17,TE
Darren Fells,CLE,1.0,0.06,0.0,0.28,3.25,0.04,TE
Anthony Firkser,TEN,1.0,0.03,0.0,1.43,17.55,0.15,TE
Matt Flanagan,WAS,1.0,0.11,0.0,0.49,8.31,0.06,TE
Antonio Gates,LAC,1.0,0.04,0.0,1.88,23.85,0.16,TE
Rico Gathers,DAL,1.0,0.03,0.0,0.25,3.13,0.04,TE
Mike Gesicki,MIA,1.0,0.04,0.0,1.39,15.62,0.09,TE
Dallas Goedert,PHI,1.0,0.07,0.0,2.05,21.77,0.16,TE
Jimmy Graham,GB,1.0,0.12,0.0,2.95,33.77,0.23,TE
Virgil Green,LAC,1.0,0.15,0.0,1.7,18.78,0.11,TE
Jermaine Gresham,ARI,1.0,0.05,0.0,0.59,7.08,0.03,TE
Ryan Griffin,HOU,1.0,0.03,0.0,1.92,21.33,0.15,TE
Xavier Grimble,PIT,1.0,0.03,0.0,0.18,1.42,0.02,TE
Rob Gronkowski,NE,1.0,0.09,0.0,3.82,54.09,0.36,TE
Clark Harris,CIN,1.0,0.02,0.0,0.05,0.84,0.01,TE
Demetrius Harris,KC,1.0,0.05,0.0,1.04,10.69,0.06,TE
Temarrick Hemingway,DEN,1.0,0.02,0.0,0.18,2.37,0.02,TE
Chris Herndon,NYJ,1.0,0.04,0.0,2.9,39.11,0.23,TE
Ryan Hewitt,IND,1.0,0.03,0.0,0.05,0.22,0.02,TE
Tyler Higbee,LAR,1.0,0.01,0.0,1.91,21.92,0.12,TE
Josh Hill,NO,1.0,0.01,0.0,0.69,9.99,0.08,TE
Austin Hooper,ATL,1.0,0.07,0.0,3.19,30.22,0.24,TE
Hayden Hurst,BAL,1.0,0.11,0.0,0.84,9.97,0.07,TE
Jesse James,PIT,1.0,0.06,0.0,1.82,22.0,0.15,TE
Blake Jarwin,DAL,1.0,0.1,0.0,2.11,21.83,0.12,TE
Travis Kelce,KC,1.0,0.14,0.0,6.16,78.95,0.57,TE
Lance Kendricks,GB,1.0,0.09,0.0,1.2,11.15,0.07,TE
George Kittle,SF,1.0,0.59,0.0,5.37,75.05,0.41,TE
Ben Koyack,JAX,1.0,0.03,0.0,0.22,1.68,0.02,TE
Matt LaCosse,DEN,1.0,0.08,0.0,2.52,28.84,0.17,TE
Jordan Leggett,NYJ,1.0,0.02,0.0,0.98,11.89,0.08,TE
Matt Lengel,CIN,1.0,0.02,0.0,0.79,7.86,0.03,TE
Marcedes Lewis,GB,1.0,0.03,0.0,0.19,1.71,0.02,TE
Chris Manhertz,CAR,1.0,0.07,0.0,0.14,1.55,0.03,TE
Vance McDonald,PIT,1.0,0.09,0.0,3.23,30.88,0.21,TE
David Morgan,MIN,1.0,0.05,0.0,0.07,1.83,0.02,TE
Johnny Mundt,LAR,1.0,0.04,0.0,0.31,3.09,0.03,TE
David Njoku,CLE,1.0,0.07,0.0,3.14,32.87,0.23,TE
Nick O'Leary,MIA,1.0,0.02,0.0,0.89,7.72,0.07,TE
James O'Shaughnessy,JAX,1.0,0.06,0.0,1.65,16.61,0.09,TE
Brian Parker,DEN,1.0,0.02,0.0,0.77,6.52,0.07,TE
Logan Paulsen,ATL,1.0,0.02,0.0,0.18,1.59,0.02,TE
John Phillips,ARI,1.0,0.03,0.0,0.1,1.18,0.02,TE
MyCole Pruitt,TEN,1.0,0.09,0.0,1.01,11.31,0.06,TE
Richard Rodgers,PHI,1.0,0.04,0.0,0.22,2.67,0.03,TE
Kyle Rudolph,MIN,1.0,0.05,0.0,3.01,29.08,0.2,TE
Eric Saubert,ATL,1.0,0.08,0.0,0.62,5.51,0.05,TE
Dalton Schultz,DAL,1.0,0.12,0.0,1.66,18.35,0.1,TE
Ricky Seals-Jones,ARI,1.0,0.03,0.0,2.4,21.98,0.17,TE
Adam Shaheen,CHI,1.0,0.2,0.0,0.84,13.33,0.1,TE
Scott Simonson,NYG,1.0,0.03,0.0,0.32,2.67,0.03,TE
Lee Smith,OAK,1.0,0.02,0.0,0.53,5.33,0.03,TE
Durham Smythe,MIA,1.0,0.06,0.0,0.38,5.39,0.04,TE
Jeremy Sprinkle,WAS,1.0,0.06,0.0,0.56,4.78,0.05,TE
Luke Stocker,TEN,1.0,0.84,0.0,0.71,8.49,0.04,TE
Ian Thomas,CAR,1.0,0.06,0.0,3.03,31.24,0.18,TE
Jordan Thomas,HOU,1.0,0.02,0.0,1.18,12.02,0.06,TE
Logan Thomas,BUF,1.0,0.02,0.0,1.13,9.28,0.07,TE
Levine Toilolo,DET,1.0,0.07,0.0,1.71,21.56,0.11,TE
Eric Tomlinson,NYJ,1.0,0.03,0.0,0.58,5.27,0.04,TE
C.J. Uzomah,CIN,1.0,0.06,0.0,2.61,28.44,0.2,TE
Nick Vannett,SEA,1.0,0.07,0.0,1.42,17.63,0.11,TE
Benjamin Watson,NO,1.0,0.21,0.0,1.9,24.92,0.17,TE
Maxx Williams,BAL,1.0,1.29,0.01,0.6,7.01,0.06,TE
Luke Willson,DET,1.0,0.07,0.0,0.71,7.84,0.05,TE
