Player,Team,GP,Receptions,Rec Yds,Rec TD,100-199 Rec Yds,Return Yds,Fum Lost,Fum,Tack,Ast,POS
Dwayne Allen,NE,1.0,3.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Stephen Anderson,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick Boyle,BAL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Daniel Brown,CHI,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Trey Burton,CHI,1.0,5.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Derek Carrier,OAK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,TE
Garrett Celek,SF,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Charles Clay,BUF,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jared Cook,OAK,1.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Alan Cross,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Vernon Davis,WAS,1.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Seth DeValve,CLE,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,TE
Ed Dickson,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TE
Jack Doyle,IND,1.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Eric Ebron,IND,1.0,6.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Zach Ertz,PHI,1.0,13.0,139.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Gavin Escobar,,1.0,1.0,7.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,TE
Darren Fells,CLE,1.0,1.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jimmy Graham,GB,1.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Virgil Green,LAC,1.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jermaine Gresham,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ryan Griffin,HOU,1.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Clark Harris,CIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,TE
Demetrius Harris,KC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Hunter Henry,LAC,1.0,4.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jeff Heuerman,DEN,1.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Jesse James,PIT,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Travis Kelce,KC,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Lance Kendricks,GB,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Ben Koyack,JAX,1.0,3.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Matt Lengel,CIN,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Nick O'Leary,MIA,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,TE
James O'Shaughnessy,JAX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Greg Olsen,CAR,1.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
John Phillips,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
MyCole Pruitt,TEN,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Jordan Reed,WAS,1.0,5.0,40.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,TE
Richard Rodgers,PHI,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
Kyle Rudolph,MIN,1.0,11.0,117.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,TE
Dion Sims,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TE
Luke Stocker,TEN,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE
