Player,Team,GP,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD,Fum Lost,2PT,Tack,Ast,Sack,Int,Frc Fum,Fum Rec,Pass Def,POS,TD
Ameer Abdullah,MIN,1.0,4.11,0.04,0.54,3.87,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Josh Adams,PHI,1.0,63.71,0.43,2.29,16.89,0.07,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.07
Javorius Allen,BAL,1.0,5.16,0.05,1.01,10.17,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alex Armah,CAR,1.0,1.98,0.03,0.15,0.44,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Cameron Artis-Payne,CAR,1.0,10.47,0.09,0.66,6.59,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kalen Ballage,MIA,1.0,8.9,0.05,0.68,6.32,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Peyton Barber,TB,1.0,59.23,0.37,1.27,10.18,0.05,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Saquon Barkley,NYG,1.0,81.65,0.63,5.93,48.07,0.28,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Giovani Bernard,CIN,1.0,21.57,0.2,2.67,21.15,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Kapri Bibbs,GB,1.0,12.36,0.07,1.35,10.35,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
LeGarrette Blount,DET,1.0,42.07,0.26,0.59,5.08,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alfred Blue,HOU,1.0,29.83,0.16,0.61,6.33,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.04
Tommy Bohanon,JAX,1.0,0.0,0.0,0.39,2.83,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brandon Bolden,MIA,1.0,6.3,0.03,0.54,6.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Devontae Booker,DEN,1.0,18.36,0.1,1.87,16.97,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Matt Breida,SF,1.0,62.41,0.53,1.74,14.65,0.12,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Trenton Cannon,NYJ,1.0,13.95,0.08,1.3,10.2,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Carson,SEA,1.0,61.19,0.42,1.01,8.37,0.04,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tra Carson,GB,1.0,2.34,0.01,0.38,2.96,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nick Chubb,CLE,1.0,86.94,0.82,1.58,11.81,0.07,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Corey Clement,PHI,1.0,17.92,0.13,1.53,12.75,0.04,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tarik Cohen,CHI,1.0,26.19,0.16,3.86,36.92,0.24,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.01
Derrick Coleman,ARI,1.0,0.86,0.0,0.48,2.4,0.03,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Tevin Coleman,ATL,1.0,60.8,0.31,3.09,28.13,0.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Conner,PIT,1.0,76.87,0.53,3.64,31.79,0.15,0.09,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dalvin Cook,MIN,1.0,62.45,0.39,2.83,22.51,0.09,0.28,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Isaiah Crowell,NYJ,1.0,53.52,0.37,1.52,11.82,0.06,0.11,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Benny Cunningham,CHI,1.0,1.8,0.01,0.43,2.79,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mike Davis,SEA,1.0,32.26,0.19,2.23,19.09,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Matt Dayes,SF,1.0,6.01,0.04,0.58,3.86,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
James Develin,NE,1.0,0.4,0.01,0.49,2.87,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Patrick DiMarco,BUF,1.0,0.0,0.01,0.21,1.52,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kenyan Drake,MIA,1.0,32.74,0.19,2.63,23.5,0.1,0.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chase Edmonds,ARI,1.0,16.03,0.1,0.9,6.98,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Gus Edwards,BAL,1.0,63.2,0.48,0.99,8.18,0.05,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Austin Ekeler,LAC,1.0,25.77,0.18,1.83,18.9,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Ezekiel Elliott,DAL,1.0,88.03,0.55,3.7,33.82,0.21,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Leonard Fournette,JAX,1.0,75.48,0.57,2.2,21.81,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Royce Freeman,DEN,1.0,28.48,0.26,0.9,6.49,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Wayne Gallman,NYG,1.0,10.63,0.06,0.74,6.11,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Melvin Gordon,LAC,1.0,84.9,0.56,3.99,38.1,0.24,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Frank Gore,MIA,1.0,60.94,0.3,1.49,11.96,0.07,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
C.J. Ham,MIN,1.0,0.41,0.01,0.34,2.63,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Derrick Henry,TEN,1.0,40.84,0.25,0.91,7.22,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Brian Hill,ATL,1.0,3.11,0.02,0.28,1.77,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Dontrell Hilliard,CLE,1.0,3.26,0.02,0.59,4.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Nyheim Hines,IND,1.0,22.64,0.19,2.15,18.97,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Jordan Howard,CHI,1.0,63.77,0.41,1.03,7.76,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Buddy Howell,HOU,1.0,2.33,0.02,0.43,4.71,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Carlos Hyde,JAX,1.0,19.85,0.13,0.47,2.35,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Mark Ingram,NO,1.0,59.18,0.52,2.27,21.11,0.11,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Chris Ivory,BUF,1.0,29.96,0.15,1.65,12.95,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Justin Jackson,LAC,1.0,3.59,0.03,0.32,2.47,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Andy Janovich,DEN,1.0,0.82,0.01,0.57,3.64,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
David Johnson,ARI,1.0,73.02,0.54,3.99,43.45,0.23,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Duke Johnson,CLE,1.0,13.81,0.11,3.69,29.67,0.2,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Aaron Jones,GB,1.0,78.37,0.59,2.97,24.04,0.12,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Kyle Juszczyk,SF,1.0,0.0,0.02,2.35,21.93,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Alvin Kamara,NO,1.0,55.07,0.61,5.97,56.99,0.35,0.05,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.29
Dion Lewis,TEN,1.0,49.08,0.26,3.15,25.61,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Phillip Lindsay,DEN,1.0,64.32,0.5,2.83,24.1,0.11,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.07
Zach Line,NO,1.0,0.42,0.02,0.44,3.39,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
T.J. Logan,ARI,1.0,2.71,0.02,0.23,1.4,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
Marlon Mack,IND,1.0,74.27,0.63,2.3,19.13,0.09,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0
