Player,POS,Team,Rush Yds,Rush TD,Receptions,Rec Yds,Rec TD
Alvin Kamara,RB,NO,59.6,0.8,6.2,56.0,0.6
Ezekiel Elliott,RB,DAL,94.0,0.7,4.3,35.4,0.2
Saquon Barkley,RB,NYG,73.8,0.6,6.0,49.5,0.2
Melvin Gordon,RB,LAC,71.1,0.8,4.1,39.5,0.2
James Conner,RB,PIT,78.6,0.8,4.6,36.5,0.1
Christian McCaffrey,RB,CAR,65.2,0.6,5.5,47.5,0.2
Nick Chubb,RB,CLE,89.2,0.8,1.2,9.2,0.0
Matt Breida,RB,SF,78.8,0.6,2.7,23.2,0.1
David Johnson,RB,ARI,70.1,0.6,4.5,38.8,0.1
Leonard Fournette,RB,JAX,75.5,0.6,3.2,27.1,0.1
Joe Mixon,RB,CIN,65.1,0.7,3.3,27.1,0.1
Marlon Mack,RB,IND,70.3,0.7,1.9,17.1,0.1
Aaron Jones,RB,GB,65.5,0.6,3.0,23.8,0.1
Mark Ingram,RB,NO,58.9,0.7,2.8,22.2,0.1
Phillip Lindsay,RB,DEN,60.5,0.6,2.8,22.2,0.1
Dalvin Cook,RB,MIN,63.3,0.5,3.4,24.8,0.1
Gus Edwards,RB,BAL,71.4,0.6,0.9,8.1,0.0
Sony Michel,RB,NE,66.9,0.7,1.0,7.2,0.0
Lamar Miller,RB,HOU,62.9,0.5,2.2,17.7,0.1
Tevin Coleman,RB,ATL,45.6,0.5,2.9,30.0,0.2
Adrian Peterson,RB,WAS,64.3,0.5,1.8,14.6,0.0
Chris Carson,RB,SEA,66.3,0.5,1.5,13.3,0.1
Josh Adams,RB,PHI,55.0,0.6,1.5,11.2,0.1
Jordan Howard,RB,CHI,66.3,0.4,1.1,10.0,0.0
Tarik Cohen,RB,CHI,29.9,0.2,4.6,42.0,0.4
James White,RB,NE,19.0,0.2,5.6,48.7,0.4
Peyton Barber,RB,TB,55.8,0.5,1.3,10.1,0.0
Frank Gore,RB,MIA,50.5,0.4,1.4,12.7,0.0
Dion Lewis,RB,TEN,45.7,0.2,3.7,27.6,0.1
LeSean McCoy,RB,BUF,51.3,0.2,2.6,20.4,0.0
Kenyan Drake,RB,MIA,34.4,0.2,3.8,29.3,0.1
Isaiah Crowell,RB,NYJ,50.9,0.2,1.5,13.2,0.0
Duke Johnson,RB,CLE,18.7,0.1,4.6,42.4,0.2
LeGarrette Blount,RB,DET,40.1,0.4,0.9,6.4,0.0
Elijah McGuire,RB,NYJ,35.8,0.1,2.8,26.3,0.1
Jalen Richard,RB,OAK,20.0,0.3,4.5,34.3,0.1
Austin Ekeler,RB,LAC,31.9,0.1,2.2,21.8,0.1
Theo Riddick,RB,DET,18.6,0.1,5.6,39.4,0.1
Doug Martin,RB,OAK,40.1,0.2,1.6,10.9,0.0
Nyheim Hines,RB,IND,22.5,0.1,2.7,20.9,0.1
Ito Smith,RB,ATL,27.2,0.3,1.7,13.2,0.0
Derrick Henry,RB,TEN,34.9,0.2,1.0,7.5,0.0
Royce Freeman,RB,DEN,34.3,0.2,0.8,5.7,0.0
Giovani Bernard,RB,CIN,17.4,0.1,2.7,21.0,0.1
Latavius Murray,RB,MIN,24.2,0.2,1.2,8.3,0.0
Kapri Bibbs,RB,GB,13.2,0.1,2.7,21.2,0.1
Chris Ivory,RB,BUF,23.9,0.1,1.2,11.1,0.0
Rashaad Penny,RB,SEA,28.4,0.1,0.8,6.2,0.0
Alfred Blue,RB,HOU,27.2,0.1,0.9,7.2,0.0
T.J. Yeldon,RB,JAX,10.9,0.0,2.7,22.9,0.1
Zach Zenner,RB,DET,19.1,0.1,1.5,10.1,0.0
Corey Clement,RB,PHI,17.4,0.1,1.0,8.0,0.0
Kyle Juszczyk,RB,SF,3.8,0.0,2.4,24.3,0.1
DeAndre Washington,RB,OAK,20.6,0.1,0.9,6.4,0.0
Javorius Allen,RB,BAL,13.0,0.1,1.5,11.2,0.1
Matt Dayes,RB,SF,14.7,0.2,0.8,6.3,0.0
Wendell Smallwood,RB,PHI,11.3,0.1,1.4,12.4,0.1
Jacquizz Rodgers,RB,TB,11.6,0.1,1.7,12.8,0.0
Jamaal Williams,RB,GB,15.7,0.1,0.9,7.7,0.0
Jordan Wilkins,RB,IND,17.1,0.1,0.3,2.3,0.0
Devontae Booker,RB,DEN,8.0,0.0,1.7,14.0,0.0
Ty Montgomery,RB,BAL,7.0,0.1,0.7,6.8,0.0
Wayne Gallman,RB,NYG,8.3,0.1,1.2,8.9,0.0
Cameron Artis-Payne,RB,CAR,11.5,0.1,0.2,1.5,0.0
Carlos Hyde,RB,JAX,11.9,0.1,0.4,2.6,0.0
Chase Edmonds,RB,ARI,9.6,0.0,1.0,6.2,0.0
Trenton Cannon,RB,NYJ,4.6,0.0,1.2,10.3,0.0
Marcus Murphy,RB,BUF,7.9,0.0,0.9,6.3,0.0
Rod Smith,RB,DAL,8.4,0.1,0.4,3.0,0.0
Jaylen Samuels,RB,PIT,5.7,0.1,0.3,2.5,0.0
Stevan Ridley,RB,PIT,4.1,0.0,0.4,2.2,0.0
James Develin,RB,NE,0.6,0.0,0.5,3.3,0.0
Alex Armah,RB,CAR,3.0,0.0,0.1,0.3,0.0
Kalen Ballage,RB,MIA,2.0,0.0,0.4,3.4,0.0
Tra Carson,RB,GB,1.6,0.0,0.3,2.0,0.0
Taquan Mizzell,RB,CHI,2.8,0.0,0.1,0.9,0.0
Andy Janovich,RB,DEN,0.7,0.0,0.3,2.6,0.0
Ameer Abdullah,RB,MIN,2.1,0.0,0.2,2.1,0.0
Justin Jackson,RB,LAC,2.1,0.0,0.1,1.1,0.0
Zach Line,RB,NO,0.6,0.0,0.2,1.9,0.0
Brandon Bolden,RB,MIA,1.2,0.0,0.1,1.2,0.0
Brian Hill,RB,ATL,1.1,0.0,0.2,1.3,0.0
Roosevelt Nix,RB,PIT,0.0,0.0,0.3,2.7,0.0
Mark Walton,RB,CIN,1.9,0.0,0.1,0.7,0.0
Patrick DiMarco,RB,BUF,0.7,0.0,0.2,1.8,0.0
Keith Smith,RB,OAK,0.4,0.0,0.3,2.3,0.0
C.J. Ham,RB,MIN,0.6,0.0,0.3,1.9,0.0
Elijhaa Penny,RB,NYG,0.9,0.0,0.1,0.9,0.0
Derrick Coleman,RB,ARI,0.7,0.0,0.2,1.5,0.0
Dwayne Washington,RB,NO,1.9,0.0,0.0,0.1,0.0
Senorise Perry,RB,MIA,0.8,0.0,0.1,0.8,0.0
Benny Cunningham,RB,CHI,0.2,0.0,0.1,1.2,0.0
T.J. Logan,RB,ARI,0.6,0.0,0.2,1.2,0.0
Derek Watt,RB,LAC,1.1,0.0,0.0,0.3,0.0
Tommy Bohanon,RB,JAX,0.0,0.0,0.2,1.4,0.0
Tre Madden,RB,SEA,0.4,0.0,0.1,0.8,0.0
Jamize Olawale,RB,DAL,0.3,0.0,0.1,0.9,0.0
Dontrell Hilliard,RB,CLE,0.2,0.0,0.1,0.6,0.0
Brandon Wilson,RB,CIN,0.0,0.0,0.0,0.0,0.0
