NFL $4M Roman 100th Millionaire Special [$1M to 1st]	$100.00	$4,000,000	150	44,444	44,444	22%	232.24	$1,000,000	155.70	$150.00
NFL $2M Mini 100th Special	$10.00	$2,000,000	150	235,294	235,294	22%	240.64	$200,000	155.20	$20.00
NFL $1M Mega 100th Special [$200K to 1st]	$1,000.00	$1,000,000	33	1,111	1,111	18%	212.70	$200,000	162.70	$2,000.00
NFL $800K Play-Action	$3.00	$800,000	20	317,082	317,082	24%	248.94	$50,000	152.70	$5.00
NFL $500K Power Sweep [3 Entry Max, $100K to 1st]	$150.00	$500,000	3	3,703	3,703	23%	214.60	$100,000	155.94	$225.00
NFL $300K Luxury Box [$100K to 1st]	$3,180.00	$300,000	3	100	100	20%	212.70	$100,000	166.96	$6,000.00
NFL $250K Week 13 Special	$20.00	$250,000	150	14,705	14,705	21%	245.90	$25,000	157.90	$40.00
NFL $250K Wildcat [3 Entry Max, $50K to 1st]	$333.00	$250,000	3	834	834	24%	213.50	$50,000	157.20	$500.00
NFL $200K Three-Point Stance [5 Entry Max]	$33.00	$200,000	5	7,067	7,067	24%	228.34	$25,000	155.44	$50.00
NFL $150K Micro 100th Special	$1.00	$150,000	20	178,359	178,359	24%	238.20	$7,500	153.00	$2.00
NFL $150K Goal Line [Single Entry]	$75.00	$150,000	1	2,272	2,272	21%	236.60	$20,000	158.80	$150.00
NFL $150K Fair Catch [Single Entry]	$12.00	$150,000	1	14,705	14,705	24%	238.60	$15,000	154.70	$18.00
NFL MASSIVE $25 Double Up [Single Entry]	$25.00	$125,000	1	5,747	5,747	44%	216.20	$50	148.08	$50.00
NFL MASSIVE $25 Double Up	$25.00	$125,000	150	5,747	5,747	44%	211.80	$50	158.80	$50.00
NFL $102K Game Changer [Single Entry]	$1,500.00	$102,000	1	72	72	24%	194.70	$25,000	163.08	$2,500.00
NFL $100K Play-Action [20 Entry Max]	$3.00	$100,000	20	39,635	39,635	25%	241.30	$10,000	150.84	$5.00
NFL $100K Red Zone [Single Entry]	$50.00	$100,000	1	2,272	2,272	23%	218.46	$10,000	157.30	$75.00
NFL MASSIVE $50 Double Up [Single Entry]	$50.00	$100,000	1	2,272	2,272	44%	216.40	$100	148.70	$100.00
NFL MASSIVE $5 Double Up	$5.00	$100,000	150	22,988	22,988	44%	229.64	$10	154.36	$10.00
NFL MASSIVE $100 Double Up [Single Entry]	$100.00	$100,000	1	1,111	1,111	45%	211.80	$200	148.44	$200.00
NFL $100K Thunder 100th Special	$10,600.00	$100,000	1	10	0	0%		$0		$0.00
NFL $100K Nickel [3 Entry Max]	$5.00	$100,000	3	23,781	23,781	27%	230.74	$10,000	152.50	$8.00
